quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score
2025-2Q,3082,3908.T,コラボス,情報・通信業,0.3046135059602675,-6.906906906906906,-5.775075987841949,9.400797433097695,13.725490196078429,0.0004768401279888,33.76623376623377,33.33333333333333,63.13645621181263,0.0,310.0,2703,-5.487804878048785,2025-03-31,2025-03-31,9.7,9.7,25.3,9.7,9.7,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
9.7
(26.3>
18.1
实PER
高值平均
44.0
安值平均
28.1
PBR
1.20
株倡(2/26)
311月
最低購人额
3万1100m
自特
3908
情",1072.png,0.9331046312178388,0.5845427569463179,0.2901881382504271,0.4793731532255235
2025-2Q,2575,7931.T,未来工業,化学,0.3883038157561628,-11.374407582938383,3.030303030303028,9.213932458975734,10.504201680672276,0.23089391959786,35.16129032258064,33.33333333333333,78.40670859538784,25.0,3740.0,1760,-16.143497757847534,2025-03-31,2025-03-31,11.6,11.6,25.3,11.6,11.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
11.6
(26.3>
12.3
实PER
高值平均
13.8
安值平均
7.9
PBR
1.08
2
株倡(2/26)
3460m
最低購人额
34万6000P
速豹特
7931
花
2色",3106.png,0.5829268292682926,0.548887240356083,0.461398968652384,0.4793440736745915
2025-2Q,2450,4251.T,恵和,化学,0.4071412218624615,-9.13884007029877,3.400000000000003,18.96305752466391,26.190476190476183,0.2323404624858357,47.54738015607581,41.66666666666667,57.127071823204425,45.0,1034.0,1552,-7.843137254901967,2025-03-31,2025-03-31,9.1,9.1,25.12,9.1,9.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.12>
9.1
<26.12>
7.4
实PER
高值平均
13.8
安值平均
7.4
PBR
1.03
株倡(2/26)
1230m
最低購人额
12万3000F
4251
花",1282.png,0.7878048780487805,0.3992514162395468,0.4991047370161118,0.4793402024087391
2025-2Q,2108,1899.T,福田組,建設業,0.4556605864169988,-7.14285714285714,-0.952380952380949,10.865567121487592,14.040728831725623,0.2406027152194413,32.72727272727273,41.66666666666667,78.54984894259819,80.0,5200.0,6276,-6.810035842293905,2025-03-31,2025-03-31,9.7,9.7,25.12,9.7,9.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.12>
9.7
(26.12>
9.1
实PER
高值平均
11.8
安值平均
9.1
PBR
0.49
株倡(2/26)
2
5060F
十万件
最低購人额
50万6000P
1899
建",151.png,0.6923076923076923,0.3911990828162934,0.4971358608755099,0.4789252374156563
2025-2Q,3167,5575.T,Ｇｌｏｂｅｅ,情報・通信業,0.2866957205712389,-28.36052836052836,1.318681318681314,16.44741429883888,26.477272727272737,0.7468127047772198,50.06242197253433,25.0,54.10798122065727,0.0,922.0,669,-27.856025039123637,2025-03-31,2025-03-31,18.6,18.6,25.5,18.6,18.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.5>
18.6
<26.5>
14.8
实PER
高值平均
98.9
安值平均
24.1
PBR
6-50
株幅（2/26）
3
991A
最低購人额
9万9100P
5575
情",1853.png,0.5403087478559176,0.7413407067709737,0.3756824066893471,0.4785269217627828
2025-2Q,1537,1982.T,日比谷総合設備,建設業,0.5382413720865601,7.462173314993126,-16.555407209612817,18.34562271901916,31.968503937007878,0.4487299672929135,33.78666666666666,58.333333333333336,74.58233890214797,0.0,3125.0,6276,5.183439919219124,2025-03-31,2025-03-31,14.3,14.3,25.3,14.3,14.3,medium,medium,low,low,low,"4190
株伍指标
予想PER
（倍）
<25.3>
14.3
(26.3>
14.3
实PER
高值平均
12.4
安值平均
9.4
PBR
1.06
株福(2/26)
万群
3240m
最低購人额
32万4000F
1982
建",200.png,0.3006993006993007,0.5337671971944968,0.4259000634874788,0.4780431818946113
2025-2Q,1360,5990.T,スーパーツール,金属製品,0.5653949711685903,-4.514563106796121,2.769070010449326,8.176131563472115,12.368421052631584,0.2784309460439144,14.864864864864868,50.0,88.6036036036036,50.0,1967.0,6535,-6.997635933806146,2025-03-31,2025-03-31,26.3,13.5,25.3,13.5,13.5,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
(26.3>
13.5
实PER
高值平均
14.8
安值平均
12.0
PBR
0.45
株幅(2/26)
9
19569
万祥
最低購人额
19万5600m9
17速の特
5990
金
结座色",2004.png,0.1569767441860465,0.494469921769625,0.5443049322099014,0.4779321235724598
2025-2Q,1135,5139.T,オープンワーク,情報・通信業,0.6034527609337564,11.42061281337048,4.712041884816753,18.5221539141056,27.50977835723598,0.2796811425651111,45.84450402144772,41.66666666666667,81.79959100204499,15.0,800.0,789,11.888111888111895,2025-03-31,2025-03-31,23.4,2.93,25.12,2.93,2.93,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.12>
23.4
<26.12>
20.8
实PER
高宿平均
48.1
安值平均
24.7
PBR
2.93
株幅（2/26）
894m
最低購人额
8万9400P
5139
持
情",1732.png,0.4193825042881646,0.2527785271108713,0.6417018145539622,0.47767669543669
2025-2Q,2411,4275.T,カーリット,化学,0.4124211731105996,-5.535714285714288,-13.77343113284434,12.126952148965836,13.575525812619492,0.0025655068089845,33.13686967910936,66.66666666666666,67.00443318556049,0.0,1058.0,6276,2.519379844961245,2025-03-31,2025-03-31,9.0,9.0,25.3,9.0,9.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
9.0
(26.3>
8.9
实PER
高值平均
9.6
安值平均
6.2
PBR
0-67
株倡(2/26)
10729
CIER
最低購人额
10万7200m
4275
少特
化",1297.png,0.7975609756097561,0.5435055300782303,0.2571434223055781,0.4774479321148376
2025-2Q,1370,4397.T,チームスピリット,情報・通信業,0.5636490392951244,-4.888888888888888,23.699421965317917,16.754485395626553,24.77876106194689,0.0044769842687217,36.631578947368425,58.333333333333336,82.7852998065764,70.0,428.0,1844,-1.382488479262678,2025-03-31,2025-03-31,65.3,8.0,25.8,8.0,8.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.8>
65.3
<26-8>
30.1
实PER
高值平均
安值平均
PBR
5.43
株倡(2/26)
4189
最低購人额
4万1800m
4397
情",1367.png,0.04631217838765,0.5120245481521446,0.6004134037921576,0.4772795909374062
