W,L,tau_enter,tau_exit,worst_gap,avg_gap,avg_total_return,avg_n_trades,avg_win_rate,avg_max_dd,avg_hold_days,bull_gap,range_gap
100,50,0.001,0.002,-42.63,-29.32,17.7,10.5,0.486,-18.61,56.3,-37.51,-21.13
100,50,0.001,0.0,-42.74,-31.4,15.61,10.5,0.486,-18.49,55.8,-41.36,-21.45
80,40,0.0,0.002,-42.78,-34.49,12.52,11.5,0.419,-22.04,51.58,-41.86,-27.13
100,50,0.0,0.002,-43.69,-30.03,16.98,10.8,0.475,-19.23,55.2,-38.2,-21.86
100,50,0.001,0.001,-43.72,-31.53,15.49,10.5,0.486,-18.96,56.0,-41.58,-21.47
100,50,0.0,0.0,-44.02,-32.17,14.85,10.8,0.475,-19.15,54.6,-42.16,-22.18
80,40,0.001,0.002,-44.16,-35.6,11.42,11.5,0.419,-22.16,51.35,-43.42,-27.78
100,50,0.002,0.002,-44.47,-31.67,15.34,10.5,0.486,-19.36,55.78,-39.86,-23.48
100,50,0.002,0.0,-44.58,-33.69,13.33,10.5,0.486,-19.31,55.22,-43.62,-23.76
100,50,0.005,0.002,-44.6,-32.64,14.38,10.2,0.548,-19.11,56.05,-41.32,-23.94
100,50,0.002,0.001,-45.56,-33.82,13.2,10.5,0.465,-19.69,55.42,-43.86,-23.77
80,40,0.002,0.002,-45.77,-35.8,11.22,11.5,0.419,-21.96,51.05,-43.2,-28.4
100,50,0.0,0.001,-45.78,-32.48,14.53,10.8,0.475,-19.74,54.85,-42.78,-22.18
80,40,0.005,0.002,-48.02,-35.55,11.46,11.2,0.43,-22.66,51.5,-41.86,-29.25
80,40,0.0,0.0,-48.41,-34.79,12.22,11.5,0.458,-21.02,50.98,-46.3,-23.28
80,40,0.0,0.001,-49.02,-36.41,10.61,11.5,0.419,-22.63,51.28,-46.51,-26.3
100,50,0.005,0.001,-51.07,-34.88,12.13,10.2,0.548,-19.42,55.72,-45.54,-24.23
80,40,0.001,0.0,-51.47,-35.87,11.15,11.5,0.44,-21.13,50.75,-47.78,-23.96
100,50,0.005,0.0,-51.54,-34.99,12.02,10.2,0.548,-19.12,55.58,-45.77,-24.21
80,40,0.001,0.001,-52.05,-37.47,9.55,11.5,0.419,-22.74,51.05,-47.97,-26.96
80,40,0.002,0.0,-53.01,-36.08,10.94,11.5,0.44,-20.96,50.45,-47.54,-24.62
80,40,0.002,0.001,-53.57,-37.64,9.38,11.5,0.419,-22.55,50.75,-47.72,-27.56
80,40,0.005,0.0,-55.15,-35.56,11.46,11.2,0.433,-21.77,50.88,-45.58,-25.52
80,40,0.005,0.001,-55.68,-37.37,9.65,11.2,0.412,-23.11,51.18,-46.34,-28.4
40,20,0.002,0.001,-63.62,-42.44,4.58,17.5,0.505,-23.95,33.3,-60.32,-24.56
40,20,0.002,0.0,-64.54,-43.95,3.07,17.8,0.47,-24.32,32.58,-61.18,-26.73
40,20,0.002,0.002,-65.37,-42.31,4.7,17.0,0.486,-23.55,34.17,-60.96,-23.66
40,20,0.0,0.0,-65.39,-42.84,4.18,18.8,0.455,-23.18,31.02,-61.21,-24.48
40,20,0.005,0.001,-65.54,-43.01,4.0,17.5,0.457,-24.37,32.85,-60.26,-25.76
40,20,0.001,0.001,-65.93,-42.73,4.29,17.8,0.497,-23.33,32.85,-60.65,-24.8
40,20,0.001,0.0,-66.38,-44.12,2.89,18.0,0.462,-23.7,32.22,-61.28,-26.96
40,20,0.005,0.0,-66.6,-44.54,2.47,17.8,0.424,-24.74,32.15,-61.18,-27.9
40,20,0.0,0.001,-66.92,-42.26,4.76,18.5,0.461,-23.46,31.67,-62.26,-22.25
40,20,0.005,0.002,-67.26,-42.77,4.25,17.0,0.454,-23.92,33.8,-60.89,-24.65
40,20,0.001,0.002,-67.65,-42.59,4.42,17.2,0.479,-22.93,33.78,-61.28,-23.9
40,20,0.0,0.002,-68.62,-42.5,4.51,18.0,0.444,-23.28,32.58,-63.2,-21.8
50,25,0.0,0.002,-76.99,-47.88,-0.86,15.0,0.385,-26.07,38.85,-67.67,-28.08
50,25,0.001,0.002,-77.16,-47.51,-0.49,14.8,0.395,-25.8,39.48,-66.78,-28.24
50,25,0.002,0.002,-78.19,-48.14,-1.12,14.8,0.395,-26.19,39.35,-67.61,-28.66
50,25,0.0,0.001,-78.67,-48.9,-1.88,15.0,0.385,-26.86,38.67,-67.9,-29.9
50,25,0.001,0.001,-78.85,-48.5,-1.48,14.8,0.395,-26.61,39.33,-66.94,-30.06
50,25,0.005,0.002,-79.09,-50.77,-3.75,14.8,0.357,-27.34,38.72,-68.94,-32.6
50,25,0.002,0.001,-79.87,-49.12,-2.1,14.8,0.395,-26.94,39.15,-67.78,-30.47
50,25,0.0,0.0,-80.49,-48.35,-1.34,15.0,0.385,-26.92,38.58,-67.68,-29.02
50,25,0.001,0.0,-80.66,-47.93,-0.92,14.8,0.395,-26.66,39.2,-66.69,-29.17
50,25,0.005,0.001,-80.76,-51.74,-4.72,14.8,0.357,-27.92,38.58,-69.11,-34.36
50,25,0.002,0.0,-81.67,-48.57,-1.55,14.8,0.395,-27.0,39.05,-67.53,-29.6
50,25,0.005,0.0,-82.54,-51.22,-4.2,14.8,0.376,-27.94,38.45,-68.88,-33.57
60,30,0.001,0.0,-83.4,-48.06,-1.04,14.0,0.358,-27.59,41.72,-61.54,-34.58
60,30,0.005,0.0,-84.08,-48.57,-1.56,14.0,0.342,-27.64,40.8,-64.61,-32.53
60,30,0.002,0.0,-85.1,-49.72,-2.7,14.0,0.342,-28.51,41.45,-64.55,-34.9
60,30,0.0,0.0,-85.36,-48.0,-0.99,14.2,0.351,-27.84,41.48,-62.86,-33.16
60,30,0.001,0.001,-86.64,-47.64,-0.62,13.8,0.348,-27.76,42.88,-62.3,-32.98
60,30,0.005,0.001,-87.29,-48.68,-1.66,13.8,0.327,-27.8,42.1,-65.4,-31.96
60,30,0.001,0.002,-87.36,-48.61,-1.6,13.8,0.364,-27.84,43.12,-63.58,-33.64
60,30,0.0,0.001,-87.6,-47.29,-0.28,14.0,0.342,-27.84,42.65,-63.12,-31.46
60,30,0.005,0.002,-88.02,-49.63,-2.61,13.8,0.343,-27.88,42.35,-66.64,-32.62
60,30,0.0,0.002,-88.26,-48.27,-1.25,13.8,0.364,-27.9,43.48,-64.38,-32.16
60,30,0.002,0.001,-88.27,-49.26,-2.24,13.8,0.327,-28.68,42.62,-65.31,-33.21
60,30,0.002,0.002,-88.99,-50.2,-3.19,13.8,0.343,-28.75,42.85,-66.55,-33.86
