strategy,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
long,2022-04-14,2022-06-24,48,26926.0,26228.0,-2.59,False
long,2022-07-26,2022-10-11,52,27682.0,26757.0,-3.34,False
long,2022-12-07,2023-01-13,25,27670.0,26392.0,-4.62,False
long,2023-03-09,2023-08-17,110,28648.0,31622.0,10.38,True
long,2023-11-20,2024-04-30,108,33560.0,38313.0,14.16,True
long,2024-07-08,2024-08-09,24,40863.0,35272.0,-13.68,False
long,2024-10-22,2025-01-08,52,38934.0,39879.0,2.43,True
long,2025-02-17,2025-03-03,10,39094.0,37618.0,-3.78,False
long,2025-05-27,2025-12-30,149,37523.0,50339.0,34.16,True
