strategy,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,win
long,2009-01-14,2009-03-05,36,8426.0,7336.0,-12.93,False
long,2009-04-09,2009-07-21,69,8665.0,9513.0,9.78,True
long,2009-08-10,2009-10-23,50,10531.0,10335.0,-1.85,False
long,2009-12-28,2010-03-17,54,10522.0,10789.0,2.54,True
long,2010-04-07,2010-05-27,33,11296.0,9419.0,-16.62,False
long,2010-08-19,2010-09-03,12,9243.0,9098.0,-1.57,False
long,2010-09-30,2011-03-15,111,9555.0,9442.0,-1.18,False
long,2011-06-14,2011-08-17,46,9447.0,9048.0,-4.22,False
long,2011-11-10,2012-01-12,41,8597.0,8423.0,-2.03,False
long,2012-02-03,2012-05-07,63,8849.0,9198.0,3.94,True
long,2012-08-03,2012-11-01,63,8540.0,8932.0,4.59,True
long,2012-11-29,2012-12-28,21,9370.0,10395.0,10.94,True
