date,ticker,action,price,shares,phase,table_regime,rule_name,reason,pnl
2024-07-01,5889.T,BUY,3024.7,900,stable,standard,normal,entry,0.0
2024-07-01,4275.T,BUY,1468.705,100,stable,standard,normal,entry,0.0
2024-07-02,5889.T,SELL,2965.0,900,uptrend,standard,normal,sell_signal,-53730.0
2024-07-02,4275.T,SELL,1527.0,100,uptrend,standard,normal,sell_signal,5829.5
2024-07-02,7721.T,BUY,3695.0,700,uptrend,standard,normal,entry,0.0
2024-07-04,5889.T,BUY,3151.575,100,uptrend,standard,normal,entry,0.0
2024-07-11,5889.T,SELL,2950.0,100,uptrend,standard,normal,stop_loss,-20157.5
2024-07-16,7721.T,SELL,4025.0,700,overheated_range,standard,normal,take_profit,231000.0
2024-07-18,2425.T,BUY,924.15,3400,high_vol,high_vol,defensive,entry,0.0
2024-07-19,2425.T,SELL,916.0,3400,normal,high_vol,defensive,sell_signal,-27710.0
2024-07-22,2425.T,BUY,927.0,3300,high_vol,high_vol,defensive,entry,0.0
2024-07-24,2425.T,SELL,904.0,3300,normal,high_vol,defensive,sell_signal,-75900.0
2024-07-24,7721.T,BUY,3623.5499999999997,800,normal,standard,normal,entry,0.0
2024-07-25,7721.T,SELL,3330.0,800,normal,standard,normal,stop_loss,-234840.0
2024-07-31,2415.T,BUY,1638.22,1700,high_vol,high_vol,defensive,entry,0.0
2024-08-01,2415.T,SELL,1592.0,1700,crash,high_vol,defensive,sell_signal,-78574.0
2024-09-04,2108.T,BUY,2613.88,1000,high_vol,high_vol,defensive,entry,0.0
2024-09-06,2108.T,SELL,2717.0,1000,crash,high_vol,defensive,sell_signal,103120.0
2024-09-18,9028.T,BUY,2238.0,1200,high_vol,high_vol,defensive,entry,0.0
2024-09-20,9028.T,SELL,2359.0,1200,high_vol,high_vol,defensive,take_profit,145200.0
