dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct,earnings_pre_days,earnings_post_days,phase_shift_days,phase_proxy_mode,rebuild_interval_trading_days,high_vol_take_profit_pct,weak_uptrend_take_profit_pct,phase_pnl,variant
q2_2024,3116697.896179199,3.8899298726399634,47,-7.171855821565842,1,5,1,difficult_v11,10,,,"{'capitulation_end': 25200.0, 'crash': 86305.64630126953, 'downtrend': 57350.0, 'normal': -86077.55078125, 'overheated_range': -175.349609375, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}",normal_after_postcrash_highvol_candidate
q3,3871848.68511963,29.06162283732099,80,-3.6215317173912798,1,5,1,difficult_v11,10,,,"{'normal': 366083.99975585984, 'overheated_range': 7810.0, 'settling': 297770.4248046875, 'stable': -39054.150390625, 'uptrend': 239238.4109497075}",normal_after_postcrash_highvol_candidate
q4,3214506.99987793,7.150233329264344,43,-8.395131930715804,1,5,1,difficult_v11,10,,,"{'high_vol': -55798.50012206985, 'normal': 201205.5, 'stable': 3400.0, 'surge': 65700.0, 'uptrend': 0.0}",normal_after_postcrash_highvol_candidate
4q2,3129484.5,4.3161500000000075,82,-7.05801292641004,1,5,1,difficult_v11,10,,,"{'crash': -59153.0, 'high_vol': 67687.0, 'normal': 93916.75, 'settling': 51964.75, 'stable': -10831.0, 'surge': -14100.0}",normal_after_postcrash_highvol_candidate
