quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,future_return_2024Q3_pct,selected_rank
2024Q2_PRE_ALIGNED,156,9900.T,サガミホールディングス,小売業,0.8568053785170215,34.57869634340223,12.119205298013249,6.306521540769788,12.018288700195946,0.7863086745644856,10.313588850174217,75.0,98.71720116618076,100.0,1693.0,6273,34.57869634340223,2024-06-30,2024-06-30,7.4,7.4,25.3,7.4,7.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
7.4
(26.3>
7.4
实PER
高值平均
10.1
安值平均
8.6
PBR
0-54
株福(5/27)
9
1499
最低購人额
21
5.2
14万99009
2902
特
食
T",4463.png,0.9537037037037036,0.5949265505984765,0.8458378394883524,0.7898152283982145,-2.992957746478875,16
2024Q2_PRE_ALIGNED,474,9059.T,カンダホールディングス,陸運業,0.7663674387273952,28.07663964627856,1.637426900584793,8.378147523480633,12.688442211055271,0.8444033594366941,12.0978120978121,66.66666666666666,95.4945054945055,45.0,869.0,5434,28.07663964627856,2024-06-30,2024-06-30,8.3,8.3,25.3,8.3,8.3,medium,medium,low,low,low,"910布ER
株伍指标
予想PER
（倍）
<25.3>
8.3
(26.3>
8.1
实PER
高值平均
7.6
安值平均
5.7
PBR
0.78
株倡(5/27)
2
山
8799
最低購人额
24
9.9
8万7900P
9059",7454.png,0.9444444444444444,0.6129964635473341,0.7241324143367902,0.7381809025264077,-6.750572082379858,17
2024Q2_PRE_ALIGNED,605,4491.T,コンピューターマネージメント,情報・通信業,0.7335053111560184,16.793365583966825,7.369758576874208,5.490897826155639,11.03853690398433,0.7209612567802606,7.588235294117651,58.333333333333336,99.41176470588236,100.0,1690.0,1465,16.793365583966825,2024-06-30,2024-06-30,9.9,9.9,25.3,9.9,9.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
9.9
(26.3>
8'8
实PER
高值平均
10.4
安值平均
8.2
PBR
1.02
株倡(5/27)
2
15999
最低購人额
24
10.8
15万9900m
4491
连中特
情
日之精医色",5344.png,0.9382716049382716,0.6342491838955386,0.7377007783526903,0.7347485162073534,-1.729278473464524,18
2024Q2_PRE_ALIGNED,214,9709.T,ＮＣＳ＆Ａ,情報・通信業,0.8416813513653559,34.72868217054263,10.139416983523454,8.606266099903564,15.870967741935482,0.8095911117621335,9.346846846846846,83.33333333333334,96.7706013363029,65.0,869.0,6470,34.72868217054263,2024-06-30,2024-06-30,10.1,10.1,25.3,10.1,10.1,medium,medium,low,low,low,"898
株伍指标
予想PER
（倍）
<25.3>
10.1
(26.3>
8.7
实PER
高值平均
9.1
安值平均
6.7
PBR
1.08
株倡(5/27)
821月
十万件
最低購人额
24
13.4
8万2100m
9709
特
情",7746.png,0.9338624338624338,0.6379760609357997,0.8158607903444295,0.7886869096104165,-4.831460674157306,19
2024Q2_PRE_ALIGNED,625,7040.T,サン・ライフホールディング,サービス業,0.729337960516089,22.401847575057744,3.112840466926059,7.902983839218658,11.046511627906971,0.7852760854537424,11.111111111111116,66.66666666666666,92.4956369982548,45.0,1060.0,1816,22.401847575057744,2024-06-30,2024-06-30,8.1,8.1,25.3,8.1,8.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
8.1
(26.3>
7.8
实敏PER
高值平均
11.5
安值平均
9.5
PBR
1.08
株倡(5/27)
9
确
1055F
最低購人额
24
20.2
10万55009
他速社特
7040",6539.png,0.9322200392927308,0.6071749183895538,0.7032643234660568,0.7172806448890765,-3.490566037735854,20
2024Q2_PRE_ALIGNED,234,9799.T,旭情報サービス,情報・通信業,0.8371288460541998,29.858215179316105,10.818505338078287,8.084886812498048,10.729312762973354,0.8372306269585361,9.715475364330327,75.0,98.60671310956302,65.0,778.5,6235,29.858215179316105,2024-06-30,2024-06-30,10.5,10.5,25.3,10.5,10.5,medium,medium,low,low,low,"1470
株伍指标
予想PER
（倍）
<25.3>
10.5
(26.3>
6'6
实PER
高值平均
11.3
安值平均
9.4
PBR
1.02
株倡(5/27)
1440m
最低購人额
24
10.1
14万4000m
9799
15m",7789.png,0.9153439153439152,0.6410432535364526,0.8079868368457285,0.7835621316056347,4.932735426008961,21
2024Q2_PRE_ALIGNED,205,3143.T,オーウイル,卸売業,0.8444124876936631,32.818531235354655,15.436239878737478,7.850338337554014,11.496594487404344,0.8075491500219709,8.988762094492586,66.66666666666666,99.59466578906104,80.0,573.3333129882812,4257,32.818531235354655,2024-06-30,2024-06-30,7.0,7.0,25.3,7.0,7.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
7.0
(26.3>
6.5
实PER
高宿平均
6.7
安值平均
5.2
PBR
1.11
株倡(5/27)
1627P
最低購人额
21
16.1
16万27009
3143
特
卸",4593.png,0.913793103448276,0.5821341131664852,0.8398405598365571,0.774646187774348,-4.360294834471812,22
2024Q2_PRE_ALIGNED,821,2933.T,紀文食品,食料品,0.6883460490180839,26.09999999999999,0.7993605115907298,8.171298646045756,13.309352517985618,0.5613544923172622,14.087759815242496,58.333333333333336,95.3857791225416,65.0,1261.0,1197,26.09999999999999,2024-06-30,2024-06-30,9.0,9.0,25.3,9.0,9.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
9.0
(26.3>
8.2
实PER
高值平均
32.9
安值平均
20.9
PBR
1.44
株佰(5/27)
8
1185F
最低購人额
21
11万85009
2933
食",4486.png,0.9112903225806452,0.6153971708378672,0.6702967344718083,0.6957666446818118,-8.760852407261243,23
2024Q2_PRE_ALIGNED,221,9445.T,フォーバルテレコム,情報・通信業,0.8404397119021711,32.647058823529406,9.73236009732361,6.062804087154983,14.180929095354532,0.9070232628377776,7.0460704607046125,66.66666666666666,96.57387580299786,90.0,451.0,6273,32.647058823529406,2024-06-30,2024-06-30,10.6,10.6,25.3,10.6,10.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
10.6
(26.3>
6'6
实PER
高值平均
11.0
安值平均
9.3
PBR
2.57
株倡(5/27)
445F
最低購人额
28.1
4万4500F
9445
情",7642.png,0.91005291005291,0.6421177910772577,0.8405933412538029,0.7907892975579786,-4.231625835189313,24
2024Q2_PRE_ALIGNED,347,9739.T,ＮＳＷ,情報・通信業,0.8032236488937251,34.90451036164161,6.240000000000001,9.320609870195671,12.776831345826237,0.7477440246907807,13.093093093093088,66.66666666666666,97.93510324483776,55.00000000000001,3320.0,6276,34.90451036164161,2024-06-30,2024-06-30,10.9,10.9,25.3,10.9,10.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
10.9
(26.3>
10.5
实PER
高值平均
10.8
安值平均
7.6
PBR
1.38
株佰(5/27)
3065P
最低購人额
24
13.6
30万6500F
又速特
9739
S精7色",7760.png,0.8977072310405644,0.6451509793253537,0.7759638193688793,0.763789076895176,-10.370370370370374,25
