date,nikkei_phase,table_key,equity
2025-10-01,uptrend,standard,3028292.5
2025-10-02,uptrend,standard,3024292.5
2025-10-03,uptrend,standard,3023892.5
2025-10-06,surge,standard,3007392.5
2025-10-07,surge,standard,3007392.5
2025-10-08,surge,standard,3007392.5
2025-10-09,surge,standard,3007392.5
2025-10-10,surge,standard,3007392.5
2025-10-14,high_vol,high_vol,3002528.0
2025-10-15,high_vol,high_vol,3007928.0
2025-10-16,high_vol,high_vol,3007628.0
2025-10-17,high_vol,high_vol,2993492.0000000005
2025-10-20,high_vol,high_vol,3020292.0000000005
2025-10-21,surge,standard,2986192.0000000005
2025-10-22,high_vol,high_vol,2979253.000000001
2025-10-23,high_vol,high_vol,2972653.000000001
2025-10-24,high_vol,high_vol,2973553.000000001
2025-10-27,surge,standard,2996453.000000001
2025-10-28,surge,standard,2996453.000000001
2025-10-29,surge,standard,2996453.000000001
2025-10-30,surge,standard,2996453.000000001
2025-10-31,surge,standard,2996453.000000001
2025-11-04,surge,standard,2996453.000000001
2025-11-05,high_vol,high_vol,3051863.000000001
2025-11-06,high_vol,high_vol,3006263.000000001
2025-11-07,high_vol,high_vol,2987063.000000001
2025-11-10,high_vol,high_vol,2858663.000000001
2025-11-11,high_vol,high_vol,2800463.000000001
2025-11-12,high_vol,high_vol,2824463.000000001
2025-11-13,high_vol,high_vol,2828553.0000000014
2025-11-14,high_vol,high_vol,2812553.0000000014
2025-11-17,normal,standard,2989953.0000000014
2025-11-18,high_vol,high_vol,2988043.0000000014
2025-11-19,high_vol,high_vol,2991543.0000000014
2025-11-20,high_vol,high_vol,3005543.0000000014
2025-11-21,high_vol,high_vol,3032828.5000000014
2025-11-25,high_vol,high_vol,3078528.5000000014
2025-11-26,high_vol,high_vol,3134128.5000000014
2025-11-27,high_vol,high_vol,3149428.5000000014
2025-11-28,high_vol,high_vol,3185498.5000000014
2025-12-01,high_vol,high_vol,3180798.5000000014
2025-12-02,high_vol,high_vol,3145898.5000000014
2025-12-03,normal,standard,3114164.0000000014
2025-12-04,normal,standard,3117764.0000000014
2025-12-05,normal,standard,3113864.0000000014
2025-12-08,normal,standard,3109664.0000000014
2025-12-09,normal,standard,3114164.0000000014
2025-12-10,normal,standard,3116464.0000000014
2025-12-11,normal,standard,3124374.0000000014
2025-12-12,normal,standard,3112174.0000000014
2025-12-15,normal,standard,3117674.0000000014
2025-12-16,normal,standard,3115474.0000000014
2025-12-17,normal,standard,3116574.0000000014
2025-12-18,stable,standard,3125374.0000000014
2025-12-19,normal,standard,3140519.0000000014
2025-12-22,normal,standard,3212170.0000000014
2025-12-23,normal,standard,3236270.0000000014
2025-12-24,normal,standard,3237770.0000000014
2025-12-25,normal,standard,3250770.0000000014
2025-12-26,normal,standard,3257460.0000000014
2025-12-29,normal,standard,3256760.0000000014
2025-12-30,stable,standard,3240860.0000000014
