quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score
2025Q4_PRE,126,1718.T,美樹工業,建設業,0.8479350718467269,69.86899563318778,17.52265861027191,14.46891575893999,17.524115755627,0.8192570463934812,11.142857142857142,91.66666666666666,96.64596273291926,50.0,7780.0,5539,69.86899563318778,2025-09-30,2025-09-30,6.7,6.7,25.12,6.7,6.7,medium,medium,low,low,low,"8200布E校
株伍指标
予想PER
（倍）
<25.12>
6.7
(26.12>
6.3
实PER
高值平均
7.1
安值平均
5.9
PBR
0-51
幅(8/27)
7640
CLR
最低購人额
5
76万4000P
1718
建",68.png,0.9633333333333334,0.4048895689196381,0.8102847259180415,中間型,建設業,0.0,3.0,6.7,0.8479350718467269
2025Q4_PRE,281,1798.T,守谷商会,建設業,0.8045263437998937,49.13793103448276,33.59073359073359,17.98954672651345,26.422250316055628,0.7416313463565549,17.70573566084788,75.0,93.34532374100719,90.0,5190.0,6534,49.13793103448276,2025-09-30,2025-09-30,6.7,6.7,26.3,6.7,6.7,medium,medium,low,low,low,"5000布E校
株伍指标
予想PER
（倍）
<26.3>
6.7
<27.3>
6.3
实PER
高值平均
5.8
安值平均
4.1
PBR
0-65
株倡(8/27)
8
万群
4905F
最低購人额
5
0.9
49万500P
1798
建
30",99.png,0.9633333333333334,0.5877594465141033,0.8798430015965939,業績急伸型,建設業,0.0,3.0,6.7,0.8045263437998937
2025Q4_PRE,246,9441.T,ベルパーク,情報・通信業,0.8126184140500268,64.65005931198102,45.874934314240676,19.8836779991985,29.984218832193577,0.5819508188138125,18.953880764904383,58.333333333333336,99.28469241773963,75.0,2776.0,6433,64.65005931198102,2025-09-30,2025-09-30,8.2,8.2,25.12,8.2,8.2,medium,medium,low,low,low,"株伍指标
E格
予想PER
（倍）
<25.12>
8.2
(26.12>
7.5
实PER
高值平均
15.5
安值平均
12.1
PBR
1.20
株幅(8/27)
3
2527F
万祥
CL
最低購人额
25万2700m
9441
持
情",3737.png,0.962624584717608,0.4221726982437466,0.8026543374135178,中間型,情報・通信業,0.0,3.0,8.2,0.8126184140500268
2025Q4_PRE,250,7887.T,南海プライウッド,その他製品,0.8106279936136244,41.53005464480874,30.58823529411765,12.527504189091353,17.999999999999993,0.6072424876827442,19.110378912685334,66.66666666666666,100.0,100.0,7770.0,6470,41.53005464480874,2025-09-30,2025-09-30,6.1,6.1,26.3,6.1,6.1,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<26.3>
6.1
<27.3>
6.1
实PER
高值平均
38.2
安值平均
26.7
PBR
0.28
株倡(8/27)
2
确
6910m
最低購人额
5
0.4
69万1000m
7887",3137.png,0.9622641509433962,0.5848789249600852,0.8312998935604043,中間型,その他製品,0.0,3.0,6.1,0.8106279936136244
2025Q4_PRE,669,5284.T,ヤマウホールディングス,ガラス・土石製品,0.7255721128259714,48.41222288795686,20.829268292682922,13.238972759667735,22.195474241694747,0.6523892058042817,26.39691714836223,58.333333333333336,96.11951882033371,60.0,2477.0,6532,48.41222288795686,2025-09-30,2025-09-30,6.8,6.8,26.3,6.8,6.8,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
6.8
<27.3>
6.7
实PER
高值平均
6.5
安值平均
3.3
PBR
1.19
株佰（8/27)
3
2340m
最低購人额
5
1.0
23万4000m
稳锋速九特
5284",1856.png,0.9607843137254902,0.5877128791910591,0.7090207557211282,中間型,ガラス・土石製品,0.0,3.0,6.8,0.7255721128259714
2025Q4_PRE,565,6643.T,戸上電機製作所,電気機器,0.7427621075039915,23.088685015290512,16.666666666666675,14.06814203550888,18.60465116279071,0.7199886586737085,16.01131541725601,75.0,95.49228944246738,90.0,4025.0,6273,23.088685015290512,2025-09-30,2025-09-30,7.3,7.3,26.3,7.3,7.3,medium,medium,low,low,low,"4065栋E校
株伍指标
予想PER
（倍）
<26.3>
7.3
<27.3>
6°9
实PER
高值平均
7.1
安值平均
4.7
PBR
0-87
株倡(8/27)
2
4030F
最低購人额
5
1.1
40万3000F
6643
金",2465.png,0.9605263157894736,0.5906333155934007,0.7723257051623205,中間型,電気機器,0.0,3.0,7.3,0.7427621075039915
2025Q4_PRE,268,8023.T,ＤＡＩＫＯ ＸＴＥＣＨ,情報・通信業,0.8067243214475787,54.487179487179496,20.98393574297188,15.352084153870482,17.203219315895367,0.8740674992322098,18.709677419354843,58.333333333333336,98.6895986895987,75.0,1205.0,6273,54.487179487179496,2025-09-30,2025-09-30,8.6,8.6,26.3,8.6,8.6,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
8.6
<27.3>
7.8
实PER
高值平均
8.0
安值平均
4.6
PBR
1.15
株佰（8/27)
11149
十万件
最低購人额
3.8
11万14009
8023
情",3224.png,0.9601328903654484,0.6079430548163917,0.7975585417775412,業績急伸型,情報・通信業,0.0,3.0,8.6,0.8067243214475787
2025Q4_PRE,306,6376.T,日機装,精密機器,0.7969877594465143,50.101214574898776,15.588464536243185,9.496484202948125,13.207547169811315,0.7437051766336777,27.934111187371315,75.0,97.05497382198953,55.00000000000001,1483.0,6276,50.101214574898776,2025-09-30,2025-09-30,9.5,9.5,25.12,9.5,9.5,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.12>
9.5
(26.12>
7.7
实PER
高值平均
8.1
安值平均
5.7
PBR
69-0
株佰（8/27)
2
1479
最低購人额
5
14万79009
6376
6Y
精
大",2305.png,0.96,0.432543906333156,0.7627062267163385,中間型,精密機器,0.0,3.0,9.5,0.7969877594465143
2025Q4_PRE,373,3482.T,ロードスターキャピタル,不動産業,0.784039382650346,40.26258205689277,15.955137481910263,9.972033918550578,13.619676945668123,0.6836214384347461,27.75625220147939,75.0,87.68809849521205,100.0,3205.0,2078,40.26258205689277,2025-09-30,2025-09-30,6.6,6.6,25.12,6.6,6.6,medium,medium,low,low,low,"株伍指标
布正校
予想PER
（倍）
<25.12>
6.6
(26.12>
5.5
实PER
高值平均
8.0
安值平均
3.9
PBR
1.77
株（8/27)
2
3035P
最低購人额
5
30万3500P
3482
特
宋",926.png,0.9583333333333334,0.4031998403406067,0.7856772219265566,中間型,不動産業,0.0,3.0,6.6,0.784039382650346
2025Q4_PRE,740,3236.T,プロパスト,不動産業,0.7104177754124534,35.00000000000001,15.714285714285726,15.505772434441225,19.718309859154925,0.6147646172578322,15.934065934065933,50.0,96.81274900398407,100.0,243.0,4724,35.00000000000001,2025-09-30,2025-09-30,6.6,6.6,26.5,6.6,6.6,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.5>
6.6
<27.5>
3.4
实PER
高值平均
4.0
安值平均
2.6
PBR
0-60
株倡(8/27)
216m
最低購人额
5
2万1600F
单2特
3236
宋
反",801.png,0.9583333333333334,0.6943387440127727,0.7555149015433742,中間型,不動産業,0.0,3.0,6.6,0.7104177754124534
2025Q4_PRE,774,6356.T,日本ギア工業,機械,0.7031319850984569,57.494407158836694,28.23315118397085,21.44891732112827,25.384615384615383,0.5840167022785616,28.54442344045368,58.333333333333336,89.1139240506329,70.0,704.0,6273,57.49440715883669,2025-09-30,2025-09-30,6.9,6.9,26.3,6.9,6.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
6.9
<27.3>
8°9
实PER
高值平均
8.6
安值平均
4.0
PBR
0.79
株倡(8/27)
7139
最低購人额
5
3.1
7万1300P
6356
电特",2290.png,0.9583333333333334,0.5874068653539116,0.7402807344332092,中間型,機械,0.0,3.0,6.9,0.7031319850984569
2025Q4_PRE,366,8065.T,佐藤商事,卸売業,0.785635976583289,43.90955506929248,29.97364953886692,12.693137180659503,19.15393654524089,0.6205305212626697,21.83186951066499,66.66666666666666,100.0,85.0,1973.0,6276,43.90955506929248,2025-09-30,2025-09-30,6.4,6.4,26.3,6.4,6.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
6.4
<27.3>
6.2
实PER
高值平均
5.9
安值平均
4.1
PBR
0-53
株（8/27)
1710m
最低購人额
5
9.0
17万1000m
8065
卸
晟横
2",3248.png,0.9567474048442908,0.5847791378392763,0.7819651410324641,中間型,卸売業,0.0,3.0,6.4,0.785635976583289
2025Q4_PRE,742,8070.T,東京産業,卸売業,0.7099654071314528,31.313131313131315,16.36828644501278,11.310385383256111,16.336633663366328,0.5686966408983279,18.533333333333335,83.33333333333334,95.28795811518324,70.0,910.0,6276,31.313131313131315,2025-09-30,2025-09-30,6.4,6.4,26.3,6.4,6.4,medium,medium,low,low,low,"940
株伍指标
（倍）
予想PER
<26.3>
6.4
<27.3>
6.4
实PER
高值平均
9.1
安值平均
7.2
PBR
1.08
株（8/27)
2
905F
最低購人额
0.6
9万500P
活速o特
8070
卸",3250.png,0.9567474048442908,0.5847791378392763,0.6967269824374667,中間型,卸売業,0.0,3.0,6.4,0.7099654071314528
2025Q4_PRE,1011,8078.T,阪和興業,卸売業,0.6596168174560937,28.834355828220847,15.808823529411775,10.285276395162915,16.11111111111112,0.5207996754112953,22.967863894139885,58.333333333333336,94.73684210526315,60.0,6300.0,6276,28.834355828220847,2025-09-30,2025-09-30,6.4,6.4,26.3,6.4,6.4,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<26.3>
6.4
<27.3>
6.0
实PER
高值平均
5.3
安值平均
3.3
PBR
0-67
株倡(8/27)
6380F
l
最低購人额
5
24
63万80009
8078
夕连铁特
卸
特色",3256.png,0.9567474048442908,0.5847791378392763,0.6369877594465141,中間型,卸売業,0.0,3.0,6.4,0.6596168174560937
2025Q4_PRE,1087,9063.T,岡山県貨物運送,陸運業,0.6436136242682278,16.693679092382485,6.5088757396449815,7.123351857905631,8.270676691729317,0.7199062752668077,17.251051893408132,58.333333333333336,96.90444145356662,70.0,3600.0,6259,16.693679092382485,2025-09-30,2025-09-30,7.9,7.9,26.3,7.9,7.9,medium,medium,low,low,low,"株伍指标
作正K
予想PER
（倍）
<26.3>
7.9
<27.3>
7.7
实PER
高值平均
6.9
安值平均
5.8
PBR
0-31
株倡（8/27)
万排
3550m
最低購人额
5
12
35万5000P
9063",3559.png,0.956140350877193,0.59308142629058,0.6166777541245344,中間型,陸運業,0.0,3.0,7.9,0.6436136242682278
2025Q4_PRE,5,9691.T,両毛システムズ,情報・通信業,0.9302182011708356,119.75609756097563,43.70015948963317,20.57663679323439,23.01480484522207,0.8956124739009153,15.467625899280579,83.33333333333334,100.0,75.0,4505.0,6533,119.75609756097565,2025-09-30,2025-09-30,9.0,9.0,26.3,9.0,9.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
9.0
<27.3>
6'8
实PER
高值平均
8.3
安值平均
5.0
PBR
1.01
株倡(8/27)
3975F
最低購人额
5
21
39万75009
速理特
9691
情
克0y1",3827.png,0.9543189368770764,0.6095130388504524,0.910557477381586,業績急伸型,情報・通信業,0.0,3.0,9.0,0.9302182011708356
2025Q4_PRE,379,3184.T,ＩＣＤＡホールディングス,小売業,0.7828605641298564,56.363636363636374,11.111111111111116,9.501600108411257,16.33986928104576,0.85517893738934,11.428571428571432,83.33333333333334,95.44950055493896,95.0,4300.0,3123,56.36363636363637,2025-09-30,2025-09-30,7.2,7.2,26.3,7.2,7.2,medium,medium,low,low,low,"4450
株伍指标
（倍）
予想PER
<26.3>
7.2
<27.3>
6.9
实PER
高值平均
6.6
安值平均
5.0
PBR
0-85
株倡(8/27)
6
4300m
确
最低購人额
3.0
43万門
3184
微",776.png,0.9539877300613496,0.5886242682277806,0.7772884513038851,中間型,小売業,0.0,3.0,7.2,0.7828605641298564
2025Q4_PRE,87,6149.T,小田原エンジニアリング,機械,0.8670143693453966,95.34412955465588,44.75,18.408543765586693,26.881720430107524,0.751262154351166,21.898928024502297,58.333333333333336,98.46938775510205,100.0,2895.0,6534,95.34412955465588,2025-09-30,2025-09-30,7.4,7.4,25.12,7.4,7.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.12>
7.4
(26.12>
8.9
实PER
高值平均
15.5
安值平均
7.9
PBR
0.76
株（8/27)
3
2340m
最低購人额
23万4000m
6149",2161.png,0.9537037037037036,0.4064928153273017,0.8913318254390633,業績急伸型,機械,0.0,3.0,7.4,0.8670143693453966
2025Q4_PRE,300,7273.T,イクヨ,輸送用機器,0.799542309739223,385.1109988112684,12.704402515723267,66.60526580616786,95.1909476661952,0.8800864197728002,32.23703794126157,75.0,70.44025157232704,50.0,896.0,6276,385.1109988112684,2025-09-30,2025-09-30,6.9,6.9,26.3,6.9,6.9,medium,medium,low,low,low,"1010布E楼
株伍指标
予想PER
（倍）
<26.3>
6.9
<27.3>
37.3
实PER
高值平均
11.2
安值平均
3.4
PBR
2.14
株倡(8/27)
2
1026m
最低購人额
5
07
10万2600m
速计特
7273
输
支4色",2812.png,0.9534883720930232,0.5863158594997339,0.8640766365087812,業績急伸型,輸送用機器,0.0,3.0,6.9,0.799542309739223
