"uptrend_rebuild_interval_trading_days","total_return_pct","final_capital","num_buys","max_drawdown_pct","pnl_high_vol","pnl_normal","pnl_stable","pnl_surge","pnl_uptrend"
"10","7.150233329264344","3214506.99987793","43","-8.395131930715804","-55798.50012206985","201205.5","3400","65700","0"
"15","7.150233329264344","3214506.99987793","43","-8.395131930715804","-55798.50012206985","201205.5","3400","65700","0"
"20","7.150233329264344","3214506.99987793","43","-8.395131930715804","-55798.50012206985","201205.5","3400","65700","0"
