ticker,company_name,sector,promising_score,start_date,start_close,end_date,end_close,return_pct_to_2026_03_01,period_high,period_low,max_gain_from_start_pct,max_drawdown_from_start_pct,rows
1814.T,大末建設,大幅増額/建設,0.7793082436002363,2026-01-05,3715.0,2026-02-27,4460.0,20.05383580080753,4495.0,3715.0,20.995962314939433,0.0,37
4977.T,新田ゼラチン,化学/食品,0.7417590149543003,2026-01-05,1229.0,2026-02-27,1473.0,19.85353946297803,1473.0,1229.0,19.85353946297803,0.0,37
1946.T,トーエネック,建設/設備工事,0.781045537414407,2026-01-05,2014.0,2026-02-27,2397.0,19.01688182720953,2397.0,2000.0,19.01688182720953,-0.6951340615690138,37
6331.T,三菱化工機,機械/産業機械,0.7707459155858882,2026-01-05,3210.0,2026-02-27,3815.0,18.847352024922117,3920.0,3210.0,22.118380062305288,0.0,37
5444.T,大和工業,鉄鋼/鉄鋼,0.7580136554555342,2026-01-05,10950.0,2026-02-27,13005.0,18.76712328767123,13005.0,10950.0,18.76712328767123,0.0,37
9867.T,ソレキア,卸売/電子部品・産業用電子機器,0.7694181780804337,2026-01-05,9750.0,2026-02-27,11500.0,17.948717948717952,11880.0,9750.0,21.846153846153847,0.0,37
9063.T,岡山県貨物運送,陸運/陸運,0.7478058195988915,2026-01-05,4175.0,2026-02-27,4825.0,15.568862275449092,4830.0,4155.0,15.68862275449101,-0.4790419161676662,37
7231.T,トピー工業,輸送用機器/自動車部品,0.773967731565736,2026-01-05,3155.0,2026-02-27,3635.0,15.213946117274158,3635.0,3085.0,15.213946117274158,-2.2187004754358197,37
8877.T,エスリード,不動産/不動産(住宅),0.7271131925057895,2026-01-05,6610.0,2026-02-27,7540.0,14.069591527987901,7540.0,6610.0,14.069591527987901,0.0,37
7235.T,東京ラヂエーター製造,輸送用機器/自動車部品,0.7835995554810049,2026-01-05,1612.0,2026-02-27,1834.0,13.771712158808924,1834.0,1593.0,13.771712158808924,-1.1786600496277888,37
3352.T,バッファロー,小売/他消費財小売り,0.7325147795279611,2026-01-05,1619.0,2026-02-27,1840.0,13.650401482396536,1990.0,1582.0,22.91537986411365,-2.285361334156888,37
7299.T,フジオーゼックス,輸送用機器/自動車部品,0.7511179946626105,2026-01-05,1914.0,2026-02-27,2170.0,13.375130616509923,2185.0,1914.0,14.15882967607105,0.0,37
5834.T,SBIリーシングサービス,証券先物/金融サービス,0.782425580849468,2026-01-05,5800.0,2026-02-27,6540.0,12.758620689655164,7020.0,5800.0,21.034482758620697,0.0,37
1965.T,テクノ菱和,建設/設備工事,0.7595415126647993,2026-01-05,6870.0,2026-02-27,7740.0,12.66375545851528,8930.0,6870.0,29.985443959243096,0.0,37
5105.T,TOYO TIRE,ゴム/タイヤ・ゴム,0.7421134701705052,2026-01-05,4310.0,2026-02-27,4827.0,11.995359628770297,4827.0,4132.0,11.995359628770297,-4.1299303944315575,37
7102.T,日本車輌製造,輸送用機器/建設農業機械・産業車両,0.7310989562892304,2026-01-05,3800.0,2026-02-27,4250.0,11.842105263157897,4420.0,3665.0,16.315789473684216,-3.552631578947374,37
8154.T,加賀電子,卸売/電子部品・産業用電子機器,0.7300614631823648,2026-01-05,3915.0,2026-02-27,4360.0,11.366538952745842,4360.0,3805.0,11.366538952745842,-2.8097062579821253,37
9845.T,パーカーコーポレーション,化学/化学,0.799999011519894,2026-01-05,1558.0,2026-02-27,1731.0,11.103979460847246,1754.0,1461.0,12.58023106546855,-6.225930680359437,37
7483.T,ドウシシャ,卸売/他個人サービス・製品,0.8014384624085068,2026-01-05,3350.0,2026-02-27,3710.0,10.746268656716417,3710.0,3135.0,10.746268656716417,-6.4179104477612,37
7241.T,フタバ産業,輸送用機器/自動車部品,0.7268988748200461,2026-01-05,1065.0,2026-02-27,1173.0,10.140845070422543,1173.0,1030.0,10.140845070422543,-3.2863849765258246,37
