ticker,company_name,sector,promising_score,start_date,start_close,latest_date,latest_close,return_pct_to_latest,max_gain_from_start_pct,max_drawdown_from_start_pct
4022.T,ラサ工業,化学/化学,0.7258839901108347,2026-01-05,6140.0,2026-03-10,8990.0,46.416938110749186,71.6612377850163,0.0
7456.T,松田産業,卸売/非鉄金属・金属製品,0.7297914619422294,2026-01-05,5300.0,2026-03-10,7490.0,41.320754716981135,65.09433962264151,0.0
8393.T,宮崎銀行,銀行/地方銀行,0.7995446735934474,2026-01-05,6590.0,2026-03-10,9170.0,39.150227617602425,47.49620637329286,0.0
5714.T,DOWAホールディングス,225/非鉄金属,0.7297433974704677,2026-01-05,7538.0,2026-03-10,10055.0,33.39081984611303,56.9381798885646,0.0
7184.T,富山第一銀行,銀行/地方銀行,0.7321200560489718,2026-01-05,1826.0,2026-03-10,2433.0,33.24205914567359,56.078860898138004,0.0
8386.T,百十四銀行,増額/銀行,0.7285030653607133,2026-01-05,6730.0,2026-03-10,8850.0,31.50074294205052,53.34323922734028,0.0
8344.T,山形銀行,銀行/地方銀行,0.7500410153296752,2026-01-05,1966.0,2026-03-10,2554.0,29.908443540183114,40.4883011190234,0.0
7173.T,東京きらぼしフィナンシャルグループ,銀行/地方銀行,0.7297793401320464,2026-01-05,8830.0,2026-03-10,11310.0,28.08607021517553,38.391845979614956,0.0
1847.T,イチケン,建設/建設・土木,0.7575411083508592,2026-01-05,4850.0,2026-03-10,6210.0,28.04123711340205,36.28865979381444,0.0
8343.T,秋田銀行,銀行/地方銀行,0.7224846370986018,2026-01-05,4080.0,2026-03-10,5220.0,27.941176470588225,40.441176470588225,0.0
8387.T,四国銀行,銀行/地方銀行,0.7511202349021999,2026-01-05,1799.0,2026-03-10,2297.0,27.682045580878256,36.8538076709283,0.0
8345.T,岩手銀行,銀行/地方銀行,0.7239273670308123,2026-01-05,5260.0,2026-03-10,6700.0,27.376425855513297,35.171102661596954,0.0
8399.T,琉球銀行,銀行/地方銀行,0.7391445368015866,2026-01-05,1885.0,2026-03-10,2351.0,24.721485411140588,36.44562334217507,0.0
4028.T,石原産業,化学/化学,0.7985944061082215,2026-01-05,2762.0,2026-03-10,3410.0,23.461259956553214,43.01230992034757,-0.5430847212165135
8346.T,東邦銀行,銀行/地方銀行,0.7334384201525807,2026-01-05,548.0,2026-03-06,663.0,20.985401459854014,39.23357664233578,0.0
6890.T,フェローテック,電気機器/電子デバイス製造装置,0.7420626545351413,2026-01-05,5140.0,2026-03-10,6170.0,20.038910505836572,32.1011673151751,-0.3891050583657574
1938.T,日本リーテック,建設/設備工事,0.7411966588037824,2026-01-05,2290.0,2026-03-10,2741.0,19.694323144104796,40.39301310043668,-2.7947598253275086
7887.T,南海プライウッド,その他製品/住宅設備・機器,0.8262161817418898,2026-01-05,9370.0,2026-03-10,11200.0,19.530416221985057,32.337246531483466,0.0
9531.T,東京ガス,225/電気ガス,0.7240436506693848,2026-01-05,6259.0,2026-03-10,7447.0,18.980667838312826,25.595142994088516,-1.5337913404697257
9867.T,ソレキア,卸売/電子部品・産業用電子機器,0.7694181780804337,2026-01-05,9750.0,2026-03-10,11550.0,18.461538461538463,21.846153846153847,0.0
8395.T,佐賀銀行,銀行/地方銀行,0.779543416797321,2026-01-05,4090.0,2026-03-10,4835.0,18.215158924205376,28.850855745721283,0.0
7167.T,めぶきフィナンシャルグループ,銀行/地方銀行,0.7202864715779205,2026-01-05,1071.0,2026-03-06,1255.5,17.226890756302527,25.396825396825395,0.0
5830.T,いよぎんホールディングス,銀行/地方銀行,0.7426081746622457,2026-01-05,2605.5,2026-03-10,3040.0,16.676261753981958,39.51256956438303,0.0
7350.T,おきなわフィナンシャルグループ,銀行/地方銀行,0.7665027914401656,2026-01-05,4830.0,2026-03-10,5570.0,15.320910973084878,24.430641821946164,0.0
6480.T,日本トムソン,機械/産業機械,0.7539911402223158,2026-01-05,826.0,2026-03-10,924.0,11.864406779661007,35.108958837772384,0.0
8600.T,トモニホールディングス,銀行/地方銀行,0.7592396737065124,2026-01-05,800.0,2026-03-10,890.0,11.250000000000004,23.0,0.0
4977.T,新田ゼラチン,化学/食品,0.7417590149543003,2026-01-05,1229.0,2026-03-10,1364.0,10.984540276647682,19.85353946297803,0.0
5444.T,大和工業,鉄鋼/鉄鋼,0.7580136554555342,2026-01-05,10950.0,2026-03-10,12075.0,10.273972602739722,18.76712328767123,0.0
1768.T,ソネック,建設/建設・土木,0.7354280589725626,2026-01-05,1366.0,2026-03-10,1504.0,10.102489019033678,28.0380673499268,0.0
3465.T,ケイアイスター不動産,不動産/不動産(住宅),0.7869256953447048,2026-01-05,6400.0,2026-03-10,7040.0,10.000000000000009,29.218750000000004,-4.374999999999996
8411.T,みずほフィナンシャルグループ,225/銀行,0.7289661385824827,2026-01-05,5874.0,2026-03-10,6451.0,9.82294858699353,33.929179434797405,0.0
1814.T,大末建設,大幅増額/建設,0.7793082436002363,2026-01-05,3715.0,2026-03-10,4025.0,8.344549125168243,20.995962314939433,0.0
