quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score
2024Q2_PRE_ALIGNED,3273,3679.T,じげん,情報・通信業,0.23487005544328723,-22.7390180878553,-2.922077922077926,16.901063717693926,31.712062256809336,0.08350334308073304,42.39802224969098,41.66666666666667,72.30955259975816,40.0,598.0,3022,-22.7390180878553,2024-06-30,2024-06-30,14.7,14.7,25.3,14.7,14.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
14.7
<26.3>
12.5
实PER
高值平均
21.1
安值平均
11.6
PBR
3-24
株倡(5/27)
606m
n
最低購人额
24
6万600F
21.4
3679",4864.png,0.7257495590828924,0.6754488574537542,0.31267652839155247,0.45548792083971784
2024Q2_PRE_ALIGNED,2266,3641.T,パピレス,情報・通信業,0.410446561998031,-5.516549648946844,3.1763417305586072,3.904637064312022,5.862068965517242,0.07753802235260776,16.966067864271462,41.66666666666667,92.3529411764706,40.0,942.0,3863,-5.516549648946844,2024-06-30,2024-06-30,26.1,17.8,25.3,17.8,17.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
26.1
(26.3>
17.8
实PER
高值平均
41.2
安值平均
25.8
PBR
0-87
株幅(5/27)
9029
最低購人额
2.2
9万200F
速t特
3641
情
a",4835.png,0.25220458553791886,0.6171857997823721,0.4439059037107771,0.45546046438379484
2024Q2_PRE_ALIGNED,1440,6907.T,ジオマテック,電気機器,0.5646090781905798,9.430255402750486,12.072434607645866,7.265385077748437,13.91129032258065,0.0015013867362279054,12.453531598513013,50.0,98.58407079646018,80.0,557.0,6535,9.430255402750486,2024-06-30,2024-06-30,26.3,0.44,25.3,0.44,0.44,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
(26.3>
77.0
实PER
高宿平均
安值平均
PBR
0.44
株佰(5/27)
485P
最低購人额
24
17.8
4万8500F
電单强特
6907
子钟安色",6467.png,0.17105263157894737,0.37951577801958647,0.5966616386489307,0.45544659323577086
2024Q2_PRE_ALIGNED,2859,6336.T,石井表記,機械,0.306130400538888,-25.672645739910315,-5.555555555555558,6.1709407888854315,10.312499999999991,0.7785272223087562,29.418221734357854,41.66666666666667,72.45901639344262,0.0,663.0,6273,-25.672645739910315,2024-06-30,2024-06-30,5.1,5.1,25.1,5.1,5.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.1>
5.1
<26.1>
5.2
实PER
高值平均
6.0
安值平均
3.9
PBR
0-63
株幅(5/27)
6
675P
最低購人额
21
13.7
6万7500P
6336
欧",6139.png,0.9906976744186047,0.46170429815016323,0.3100853078990029,0.45538889872162136
2024Q2_PRE_ALIGNED,1148,8133.T,伊藤忠エネクス,卸売業,0.6198525001295404,23.65853658536585,-3.0592734225621365,6.312804735231969,9.806537691794537,0.39304165866593865,10.012674271229404,66.66666666666666,90.75178997613365,0.0,1521.0,6276,23.65853658536585,2024-06-30,2024-06-30,12.9,6.0,6.0,6.0,6.0,medium,medium,low,low,low,"6
株伍指标
（倍）
予想PER
<25.3>
12.9
(26.3>
12.0
实PER
高值平均
10.9
安值平均
8.4
PBR
1-07
10
株倡(5/27)
万标
15429
最低購人额
21
8.8
15万42009
8133
特
卸",7174.png,0.4413793103448276,0.23657508161044613,0.5032540583153828,0.4553698613547704
2024Q2_PRE_ALIGNED,2382,3825.T,リミックスポイント,小売業,0.39123565987875025,-19.327731092436974,18.518518518518512,19.144450887392146,27.160493827160504,0.6973911597539151,45.418326693227094,33.33333333333333,75.0,100.0,192.0,4732,-19.327731092436974,2024-06-30,2024-06-30,32.8,15.2,25.3,15.2,15.2,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
32.8
(26.3>
15.2
实PER
高值平均
21.4
安值平均
8'6
PBR
1.10
株倡(5/27)
5
164m
最低購人额
24
6.2
1万6400P
3825",4933.png,0.1867283950617284,0.5740478781284004,0.5985676256356732,0.4553633619062424
2024Q2_PRE_ALIGNED,2498,3437.T,特殊電極,金属製品,0.3673196227783823,-0.17505470459519,-7.614418793033617,5.34591245496755,13.50613915416099,0.2996200904838874,15.363984674329501,41.66666666666667,85.78412937194435,0.0,2281.0,4853,-0.17505470459519,2024-06-30,2024-06-30,15.9,15.9,25.3,15.9,15.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
15.9
(26.3>
12.5
实PER
高值平均
8.7
安值平均
6.7
PBR
0.49
株幅(5/27)
2214m
确
最低購人额
21
5.4
22万1400m
3437
金",4737.png,0.47093023255813954,0.6417097388465722,0.31689344007461523,0.4551485266075962
2024Q2_PRE_ALIGNED,2822,7266.T,今仙電機製作所,輸送用機器,0.31409161096429866,-1.8927444794952675,-2.5078369905956133,4.697244808958684,7.588532883642496,7.560798444383732e-05,22.938144329896904,41.66666666666667,79.94858611825192,0.0,622.0,5729,-1.8927444794952675,2024-06-30,2024-06-30,8.0,8.0,25.3,8.0,8.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
8'6
<26.3>
21.8
实PER
高值平均
安值平均
PBR
0.27
株倡(5/27)
629m
Hifi
最低購人额
24
±0.1
6万2900P
7266
+特
输",6677.png,0.7616279069767442,0.5676006528835691,0.3076307987830606,0.45511573175516123
2024Q2_PRE_ALIGNED,2913,3088.T,マツキヨココカラ＆カンパニー,小売業,0.2976336390486554,-16.0101780989786,-5.094494658997539,10.295498474873693,16.114942528735643,0.6924637414876755,31.66558018252934,33.33333333333333,72.33065257709522,0.0,2310.0,6273,-16.0101780989786,2024-06-30,2024-06-30,17.8,17.8,25.3,17.8,17.8,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
17.8
(26.3>
17.2
实PER
高值平均
23.5
安值平均
15.1
PBR
1-82
株倡(5/27)
2
HH
2247P
最低購人额
24
10.5
22万4700F
3088",4560.png,0.5524691358024691,0.6764893906420021,0.3280899047322955,0.4550815119584286
2024Q2_PRE_ALIGNED,2874,2984.T,ヤマイチエステート,不動産業,0.304046116379087,-1.76795580110497,-11.188811188811187,8.056953813146912,12.124849939976002,0.03155629562636397,18.507751937984494,41.66666666666667,85.23489932885906,0.0,889.0,911,-1.76795580110497,2024-06-30,2024-06-30,5.9,5.9,25.3,5.9,5.9,medium,medium,low,low,low,"1043
株伍指标
予想PER
（倍）
<25.3>
5.9
(26.3>
6.0
实PER
高值平均
5.5
安值平均
4.2
PBR
0-51
株倡(5/27)
2
850m
最低購人额
21
11.0
8万5000P
壳速特
2984
宋
20克3",4503.png,0.875,0.5635677366702937,0.24459044880193642,0.45498126531352473
