image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
3951.png,3951,"株伍指标
布正格
予想PER
（倍）
<25.3>
6.3
(26.3>
5.3
实PER
高值平均
7.7
安值平均
6.2
PBR
0.75
株倡(5/27)
8
3725P
器代
最低購人额
21
11.1
37万2500F
1301
特",1301,1301.T,極洋,水産・農林業,True
3952.png,3952,"475
株伍指标
（倍）
予想PER
(24.12>
64.0
(25.12>
44.0
实PER
高值平均
安值平均
PBR
2.99
株倡(5/27)
10423
1088m
最低購人额
21
10万8800m
130A
医",130A,130A.T,Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ,医薬品,True
3953.png,3953,"株伍指标
02.5
予想PER
（倍）
<25.3>
11.7
(26.3>
11.3
实PER
高值平均
11.5
安值平均
7.8
PBR
1.12
株倡(5/27)
13
百万补
901.4m
E
最低購人额
21
0.2
9万1409
1332",1332,1332.T,ニッスイ,水産・農林業,True
3954.png,3954,"株伍指标
予想PER
（倍）
<25.3>
8.6
(26.3>
8.4
实PER
高值平均
7.8
安值平均
6.3
PBR
0.79
株倡(5/27)
32629
最低購人额
21
10.8
32万6200F
1333
31速食特",1333,1333.T,マルハニチロ,水産・農林業,True
3955.png,3955,"株伍指标
7890
予想PER
（倍）
<25.2>
72.5
(26.2>
51.2
实PER
高值平均
209.4
安值平均
149.1
PBR
38-53
株佰(5/27)
35156
3800m
十万件
最低購人额
21
60.8
38万門
24单特
135A
情",135A,135A.T,ＶＲＡＩＮ Ｓｏｌｕｔｉｏｎ,情報・通信業,True
3956.png,3956,"株伍指标
予想PER
（倍）
<25.3>
25.3
(26.3>
24.9
实PER
高值平均
34.1
安值平均
22.5
PBR
3-42
株倡(5/27)
9839
最低購人额
24
12.4
9万8300F
1375",1375,1375.T,ユキグニファクトリー,水産・農林業,True
3957.png,3957,"株伍指标
（倍）
予想PER
<24.5>
11.7
<25.5>
11.5
实PER
高值平均
15.2
安值平均
11.1
PBR
0-69
株佰(5/27)
9
万补
14289
最低購人额
24
14万28009
1376",1376,1376.T,カネコ種苗,水産・農林業,True
3958.png,3958,"株伍指标
（倍）
予想PER
<24.5>
9.6
<25.5>
17.5
实PER
高值平均
24.4
安值平均
17.7
PBR
1.04
株幅(5/27)
2
3440m
肝器线
最低購人额
24
34万4000F
1377",1377,1377.T,サカタのタネ,水産・農林業,True
3959.png,3959,"株伍指标
予想PER
（倍）
<25.3>
24.1
(26.3>
23.2
实PER
高值平均
21.8
安值平均
19.2
PBR
1.07
2
株佰(5/27)
1万体
1855m
最低購人额
24
6.7
18万55009
加速特
1379",1379,1379.T,ホクト,水産・農林業,True
3960.png,3960,"080
株伍指标
予想PER
（倍）
<24.5>
29.2
<25.5>
23.0
实PER
高值平均
安值平均
PBR
7.14
株倡(5/27)
13773
IL
1500F
最低購人额
24
15万内
137A
S
特
情",137A,137A.T,Ｃｏｃｏｌｉｖｅ,情報・通信業,True
3961.png,3961,"株伍指标
予想PER
（倍）
<25.3>
53.5
(26.3>
50.3
实PER
高值平均
38.9
安值平均
32.6
PBR
1.96
株倡(5/27)
万确
1027F
最低購人额
21
4.6
10万2700m
1380",1380,1380.T,秋川牧園,水産・農林業,True
3962.png,3962,"株伍指标
予想PER
（倍）
<24.6>
14.5
<25.6>
15.1
实PER
高值平均
10.5
安值平均
8.6
PBR
68-0
株幅(5/27)
5
3235F
n#
最低購人额
24
32万3500F
1381",1381,1381.T,アクシーズ,水産・農林業,True
3963.png,3963,"株伍指标
（倍）
予想PER
<24.6>
25.6
<25.6>
22.4
实PER
高值平均
15.4
安值平均
7.2
PBR
2.28
8
株倡(5/27)
万确
2354m
最低購人额
24
23万54009
1382",1382,1382.T,ホーブ,水産・農林業,True
3964.png,3964,"株伍指标
予想PER
（倍）
<24.10>
40.9
<25.10>
37.5
实PER
高值平均
68.3
安值平均
54.2
PBR
2.51
株倡(5/27)
6
万确
2815F
最低購人额
21
28万15009
1383",1383,1383.T,ベルグアース,水産・農林業,True
3965.png,3965,"株伍指标
（倍）
予想PER
<25.3>
8'8
(26.3>
8.5
实PER
高值平均
8.6
安值平均
5.2
PBR
69-0
株倡(5/27)
3
666
最低購人额
24
14.4
9万9900P9
单弓特
1384
钟勇色",1384,1384.T,ホクリヨウ,水産・農林業,True
3966.png,3966,"058
株伍指标
（倍）
予想PER
<24.11>
23.5
<25.11>
19.6
实PER
高值平均
安值平均
PBR
4.00
0868
株倡(5/27)
2
4745P
最低購人额
24
47万45009
138A
克单中特
好",138A,138A.T,光フードサービス,小売業,True
3967.png,3967,"株伍指标
海正格
予想PER
（倍）
<24.5>
13.7
<25.5>
12.5
实PER
高值平均
13.9
安值平均
10.9
PBR
1.64
株佰(5/27)
3
761月
最低購人额
24
7万6100P
特
1401
建",1401,1401.T,エムビーエス,建設業,True
3968.png,3968,"株伍指标
予想PER
（倍）
<24.8>
14.9
<25-8>
13.3
实PER
高宿平均
44.0
安值平均
19.3
PBR
3-58
株倡(5/27)
2
2741A
最低購人额
24
27万4100F
1407
建",1407,1407.T,ウエストホールディングス,建設業,True
3969.png,3969,"株伍指标
（倍）
予想PER
<24.6>
23.0
<25.6>
21.9
实PER
高值平均
26.8
安值平均
20.8
PBR
3-16
株倡(5/27)
6125F
CLE
最低購人额
24
61万25009
1414
建",1414,1414.T,ショーボンドホールディングス,建設業,True
3970.png,3970,"株伍指标
（倍）
予想PER
<25.3>
9.6
(26.3>
7.8
实PER
高值平均
12.8
安值平均
9.4
PBR
0-69
株倡(5/27)
18839
最低購人额
24
5.0
18万83009
少速七特
1417
建
工精永色",1417,1417.T,ミライト・ワン,建設業,True
3971.png,3971,"株伍指标
予想PER
（倍）
<25.2>
10.9
<26.2>
9.9
实PER
高宿平均
安值平均
PBR
0.90
株佰（5/27)
2
210m
最低購人额
21
11.1
2万1000m
1418
建",1418,1418.T,インターライフホールディングス,建設業,True
3972.png,3972,"4615
株伍指标
（倍）
予想PER
<24.5>
18.6
<25.5>
16.3
实PER
高值平均
12.1
安值平均
6.4
PBR
4.40
株倡(5/27)
4610m
最低購人额
24
46万1000P
1419
建",1419,1419.T,タマホーム,建設業,True
3973.png,3973,"3180
株伍指标
（倍）
予想PER
<24.6>
26.3
<25.6>
21.5
实PER
高值平均
安值平均
PBR
2.61
株倡(5/27)
21362
山
2375P
最低購人额
24
23万75009
141A",141A,141A.T,トライアルホールディングス,小売業,True
3974.png,3974,"株伍指标
予想PER
（倍）
<25.3>
10.2
(26.3>
9.6
实PER
高值平均
21.1
安值平均
17.9
PBR
0-55
株佰(5/27)
730P
十万件
最低購人额
24
4.4
7万3000P
1420
建",1420,1420.T,サンヨーホームズ,建設業,True
3975.png,3975,"株伍指标
布正格
予想PER
（倍）
<24.12>
13.4
(25.12>
11.1
实PER
高值平均
21.0
安值平均
13.5
PBR
3-27
株倡(5/27)
895F
最低購人额
24
8万9500P
1429
建
增",1429,1429.T,日本アクア,建設業,True
3976.png,3976,"4100
株伍指标
予想PER
（倍）
<25.3>
29.6
(26.3>
7.9
实PER
高值平均
31.4
安值平均
22.4
PBR
8-81
株福(5/27)
23207
3065P
最低購人额
24
29.2
30万6500F
单研特
142A
H
先",142A,142A.T,ジンジブ,サービス業,True
3977.png,3977,"株伍指标
予想PER
（倍）
<24.5>
10.6
<25.5>
5.4
实PER
高值平均
8.5
安值平均
6.1
PBR
1.15
株（5/27)
6
G60B
最低購人额
24
G00698
速加特
1430
建
克6色",1430,1430.T,ファーストコーポレーション,建設業,True
3978.png,3978,"株伍指标
布正校
（倍）
予想PER
<24.6>
55.1
<25.6>
36.4
实PER
高值平均
81.4
安值平均
50.1
PBR
4.02
株佰(5/27)
5
727A
最低購人额
24
7万2700F
1431
建",1431,1431.T,Ｌｉｂ Ｗｏｒｋ,建設業,True
3979.png,3979,"株伍指标
予想PER
（倍）
<25.1>
24.1
<26.1>
21.1
实PER
高值平均
51.4
安值平均
32.6
PBR
2.06
株倡(5/27)
950P
十万件
最低購人额
21
5.5
9万5000F
1433
建",1433,1433.T,ベステラ,建設業,True
3980.png,3980,"1187
株伍指标
（倍）
予想PER
<24.8>
7.0
<25-8>
10.4
实PER
高值平均
8.7
安值平均
5.5
PBR
1.07
株倡(5/27)
905F
最低購人额
24
9万500P
1434
建",1434,1434.T,ＪＥＳＣＯホールディングス,建設業,True
3981.png,3981,"株伍指标
布正校
予想PER
（倍）
<24.12>
21.3
<25.12>
21.3
实PER
高值平均
安值平均
PBR
1.65
株佰(5/27)
7
166m
最低購人额
24
1万6600m
m速年特
1435
宋
e特の色",1435,1435.T,ｒｏｂｏｔ ｈｏｍｅ,不動産業,True
3982.png,3982,"株伍指标
予想PER
（倍）
<24.4>
21.1
<25.4>
18.1
实PER
高值平均
28.9
安值平均
10.5
PBR
1.61
株佰(5/27)
2
19149
1万排
最低購人额
24
19万1400m
1436
淡连小特
建",1436,1436.T,グリーンエナジー＆カンパニー,建設業,True
3983.png,3983,"2162栋E楼
株伍指标
予想PER
（倍）
<24.9>
17.5
<25.9>
17.0
实PER
高值平均
17.5
安值平均
11.0
PBR
1.67
株倡(5/27)
7
确
1951A
最低購人额
24
19万5100m
1438
建",1438,1438.T,岐阜造園,建設業,True
3984.png,3984,"株伍指标
予想PER
（倍）
<24.12>
7.6
<25.12>
6.2
实PER
高值平均
14.6
安值平均
9.1
PBR
1.03
株倡(5/27)
2
1319m
最低購人额
24
13万19009
1439
建",,,,,False
3985.png,3985,"2785
株伍指标
予想PER
（倍）
<25.3>
15.0
(26.3>
13.2
实PER
高值平均
35.4
安值平均
23.8
PBR
2.28
株倡(5/27)
1175 1
11749
最低購人额
24
16.6
11万74009
目速新特
143A
特围色",143A,143A.T,イシン,サービス業,True
3986.png,3986,"株伍指标
予想PER
（倍）
<25.3>
10.8
(26.3>
9.5
实PER
高值平均
12.1
安值平均
7.8
PBR
0-31
株佰（5/27)
2
2129
最低購人额
21
4.3
2万1200F
1443
建",1443,1443.T,技研ホールディングス,建設業,True
3987.png,3987,"株伍指标
予想PER
（倍）
<24.7>
19.9
<25.7>
16.6
实PER
高值平均
31.5
安值平均
16.4
PBR
1.94
株幅(5/27)
6
2746m
万排
CIEA
最低購人额
2
27万46009
1444
建",1444,1444.T,ニッソウ,建設業,True
3988.png,3988,"株伍指标
予想PER
（倍）
<24.9>
24.1
<25.9>
21.2
实PER
高值平均
41.3
安值平均
30.9
PBR
1.95
株倡(5/27)
3
599m
最低購人额
24
5万9900F
1446
建",1446,1446.T,キャンディル,建設業,True
3989.png,3989,"株伍指标
予想PER
（倍）
<25.3>
26.1
<26.3>
10.5
实PER
高值平均
73.2
安值平均
41.2
PBR
2.53
株佰(5/27)
3
300F
最低購人额
24
3万月
6.6
1447
建",1447,1447.T,ＳＡＡＦホールディングス,建設業,True
