dataset_id,learning_date,training_cutoff_date,image_count_total,image_count_existing,image_count_new,image_no_existing_max,selected_count,output_dir,source_image_dir
q4_pre_analysis_20250930_full,2025-09-30,2025-09-30,3893.0,548.0,3345.0,550.0,60.0,projects\quarterly_ranker\output\q4_pre_analysis_20250930_full,C:\Users\mitsu\OneDrive\ドキュメント\四季報DB2025\4Q
4q2_selection_20251231,2025-12-31,2025-12-31,,,,,,projects/shikiho_text_parser/output/4q2_selection,C:/Users/mitsu/OneDrive/ドキュメント/四季報DB2025/4Q-2
