date,nikkei_phase,table_key,equity
2026-01-05,normal,standard,3005220.0
2026-01-06,normal,standard,2990637.5
2026-01-07,normal,standard,3000592.5
2026-01-08,normal,standard,2999892.5
2026-01-09,normal,standard,3004724.5
2026-01-13,normal,standard,3032624.5
2026-01-14,normal,standard,3089224.5
2026-01-15,normal,standard,3110137.0
2026-01-16,surge,standard,3129437.0
2026-01-19,high_vol,high_vol,3136001.0
2026-01-20,high_vol,high_vol,3137676.0000000005
2026-01-21,high_vol,high_vol,3126176.0000000005
2026-01-22,high_vol,high_vol,3135676.0000000005
2026-01-23,normal,standard,3095557.0000000005
2026-01-26,high_vol,high_vol,3069335.0000000005
2026-01-27,settling,intermediate,3066735.0000000005
2026-01-28,settling,intermediate,3062435.0000000005
2026-01-29,settling,intermediate,3048635.0000000005
2026-01-30,uptrend,standard,3052882.0000000005
2026-02-02,uptrend,standard,3083623.5000000005
2026-02-03,normal,standard,3141823.5000000005
2026-02-04,normal,standard,3206044.5000000005
2026-02-05,normal,standard,3229444.5000000005
2026-02-06,normal,standard,3252544.5000000005
2026-02-09,surge,standard,3371744.5000000005
2026-02-10,surge,standard,3371744.5000000005
2026-02-12,surge,standard,3371744.5000000005
2026-02-13,surge,standard,3371744.5000000005
2026-02-16,high_vol,high_vol,3355464.0000000005
2026-02-17,high_vol,high_vol,3403264.0000000005
2026-02-18,high_vol,high_vol,3446964.0000000005
2026-02-19,high_vol,high_vol,3495144.0000000005
2026-02-20,high_vol,high_vol,3452003.000000001
2026-02-24,high_vol,high_vol,3447203.000000001
2026-02-25,normal,standard,3458455.000000001
2026-02-26,settling,intermediate,3440177.000000001
2026-02-27,settling,intermediate,3466577.000000001
2026-03-02,uptrend,standard,3443977.000000001
2026-03-03,high_vol,high_vol,3409818.000000001
2026-03-04,crash,high_vol,3385278.000000001
2026-03-05,crash,high_vol,3385278.000000001
2026-03-06,crash,high_vol,3385278.000000001
2026-03-09,crash,high_vol,3385278.000000001
2026-03-10,high_vol,high_vol,3390005.000000001
