image_file,image_no,ocr_metrics_text,code,ticker,company_name,sector,resolved
3316.png,3316,"株仙指标
予想PER
（倍）
<20.3>
24.0
<21.3>
13.6
实镇PER
高值平均
20.1
安值平均
13.2
PBR
0.74
株仙(2/27)
11014
自防件
1153月
仁用成
最低購人额
11万5300月
速液特
7731
精密
发
3精晶色",7731.0,7731.T,ニコン,精密機器,True
3317.png,3317,"株仙指标
予想PER
（倍）
<20.3>
29.6
<21.3>
24.6
实镇PER
高值平均
46.5
安值平均
24.6
PBR
1.82
株仙(2/27)
自万株
1123月
信用成
最低購人额
11万2300月
海夕连模特
7732
精密
底
外方",7732.0,7732.T,トプコン,精密機器,True
3318.png,3318,"株仙指标
予想PER
（倍）
<20.3>
29.6
<21.3>
24.6
实镇PER
高值平均
46.5
安值平均
24.6
PBR
1.82
株仙(2/27)
自万株
1123月
信用成
最低購人额
11万2300月
海夕连模特
7732
精密
底
外方",7732.0,7732.T,トプコン,精密機器,True
3319.png,3319,"株仙指标
予想PER
（倍）
<20.3>
29.6
<21.3>
24.6
实镇PER
高值平均
46.5
安值平均
24.6
PBR
1.82
株仙(2/27)
自万株
1123月
信用成
最低購人额
11万2300月
海夕连模特
7732
精密
底
外方",7732.0,7732.T,トプコン,精密機器,True
332.png,332,"株伍招桶
JUPER
(倍)
20.12>
19.5
<21.12>
17.6
实精PER
商宿平均
50.0
安宿平均
19.1
PBR
2.83
株佰（2/27）
1005月
最低購大额
10万500用
比建工特
2311
又精移色
)",2311.0,2311.T,エプコ,サービス業,True
3320.png,3320,"株仙指标
148停正
予想PER
（倍）
<20.3>
40.6
<21.3>
36.1
实镇PER
高值平均
120.7
安值平均
74.3
PBR
6.56
株仙(2/27)
46
百万标
2020月
信用线
最低購人额
20万2000用
7733
他速题特
精密
伸
1結微色",7733.0,7733.T,オリンパス,精密機器,True
3321.png,3321,"株仙指标
予想PER
（倍）
<20.3>
12.7
<21.3>
12.3
实镇PER
高值平均
15.2
安值平均
9.0
PBR
1.03
株仙(2/27)
十万株
2069月
信用线
最低購人额
20万6900月
速女特
7734
精密
增
知1色",7734.0,7734.T,理研計器,精密機器,True
3322.png,3322,"株仙指标
作正径
予想PER
（倍）
<20.3>
31.6
<21.3>
14.1
实镇PER
高值平均
20.5
安值平均
10.1
PBR
1.48
株仙(2/27)
百万株
5760用
信用成
最低購人额
57万6000用
P速7特
7735
電气
反
E結色",7735.0,7735.T,ＳＣＲＥＥＮホールディングス,電気機器,True
3323.png,3323,"株仙指标
予想PER
（倍）
<20.12>
17.3
<21.12>
15.9
实镇PER
高值平均
15.2
安值平均
10.1
PBR
0.85
2
株仙(2/27)
十万株
1950月
仁用线
最低購人额
19万5000用
速造特
7739
電气
開
精节色",7739.0,7739.T,キヤノン電子,電気機器,True
3324.png,3324,"株仙指标
予想PER
（倍）
<20.12>
17.3
<21.12>
15.9
实镇PER
高值平均
15.2
安值平均
10.1
PBR
0.85
2
株仙(2/27)
十万株
1950月
仁用线
最低購人额
19万5000用
速造特
7739
電气
開
精节色",7739.0,7739.T,キヤノン電子,電気機器,True
3325.png,3325,"株仙指标
予想PER
（倍）
<20.12>
10.4
<21.12>
10.6
实镇PER
高值平均
17.5
安值平均
11.1
PBR
1.18
株仙(2/27)
2494月
十万株
信用线
最低購人额
24万9400用
7740
機速又特
精密
氏横
阴結の色",7740.0,7740.T,タムロン,精密機器,True
3326.png,3326,"株仙指标
1195
予想PER
（倍）
<20.3>
30.1
<21.3>
28.4
实镇PER
高值平均
24.4
安值平均
17.1
PBR
5.71
株仙(2/27)
9830月
信用成
最低購人额
98万3000月
1速視特
7741
精密
用增",7741.0,7741.T,ＨＯＹＡ,精密機器,True
3327.png,3327,"株仙指标
作正径
予想PER
（倍）
<20.3>
22.0
<21.3>
14.4
实镇PER
高值平均
47.7
安值平均
17.6
PBR
1.93
株仙(2/27)
5
860月
十万性
信用线
最低購人额
8万6000月
镜速镜特
7743
精密
贩
3精书色",7743.0,7743.T,シード,精密機器,True
3328.png,3328,"株仙指标
予想PER
（倍）
<20.3>
82.2
<21.3>
13.7
实镇PER
高值平均
23.9
安值平均
10.5
PBR
0.61
株仙(2/27)
1381月
信用线
最低購人额
13万8100月
7744
1创速查特
精密
莱結の色",7744.0,7744.T,ノーリツ鋼機,精密機器,True
3329.png,3329,"株仙指标
予想PER
（倍）
<20.3>
10.0
<21.3>
9.1
实镇PER
高值平均
15.3
安值平均
8.7
PBR
1.01
株仙(2/27)
十万株
839月
信用线
最低購人额
8万3900月
連車特
7745
精密
圣
結開色",7745.0,7745.T,Ａ＆Ｄホロンホールディングス,精密機器,True
333.png,333,"自正
株伍招桶
于PER
(倍)
20.10>
250.0
<21.10>
83.3
实精PER
商宿平均
48.3
安宿平均
21.3
PBR
1.66
28
株佰（2/27）
25月
最低嘴大额
2500F
2315
2速の特
情
底
75精S色
)",2315.0,2315.T,ＣＡＩＣＡ ＤＩＧＩＴＡＬ,情報・通信業,True
3330.png,3330,"株仙指标
予想PER
（倍）
<20.3>
482.5
<21.3>
74.2
实镇PER
高值平均
65.1
安值平均
31.6
PBR
1.89
株仙(2/27)
自防株
193月
信用线
最低購人额
1万9300月
外速久特
7746
精密
小
結色",7746.0,7746.T,岡本硝子,精密機器,True
3331.png,3331,"3300存正径
株仙指标
予想PER
（倍）
<20.6>
61.6
<21.6>
55.7
实镇PER
高值平均
57.8
安值平均
35.7
PBR
9.96
株仙(2/27)
自万株
2673月
信用成
最低購人额
26万7300用
外速下特
7747
精密
通先
精色",7747.0,7747.T,朝日インテック,精密機器,True
3332.png,3332,"株仙指标
6580存正径
予想PER
（倍）
<20.3>
21.6
<21.3>
23.1
实镇PER
高值平均
18.5
安值平均
8.4
PBR
6.36
株仙(2/27)
十万株
4920月
信用成
最低購人额
49万2000用
负
单後特
7748
精密
查反",4920.0,4920.T,日本色材工業研究所,化学,True
3333.png,3333,"8380存正楼
株仙指标
予想PER
（倍）
<20.3>
21.4
<21.3>
20.6
实镇PER
高值平均
20.8
安值平均
15.4
PBR
1.44
株仙(2/27)
2
万株
7060月
信用成
最低購人额
70万6000月
7749
才連影特
精密
順
類結用色",7749.0,7749.T,メディキット,精密機器,True
3334.png,3334,"8380存正楼
株仙指标
予想PER
（倍）
<20.3>
21.4
<21.3>
20.6
实镇PER
高值平均
20.8
安值平均
15.4
PBR
1.44
株仙(2/27)
2
万株
7060月
信用成
最低購人额
70万6000月
7749
才連影特
精密
順
類結用色",7749.0,7749.T,メディキット,精密機器,True
3335.png,3335,"株仙指标
予想PER
（倍）
<20.12>
18.6
<21.12>
17.2
实镇PER
高值平均
22.5
安值平均
16.6
PBR
1.10
株仙(2/27)
自万林
2793.5P
仁用成
最低購人额
27万9350用
7751
22速特
電气
底
洁注色",7751.0,7751.T,キヤノン,電気機器,True
3336.png,3336,"株仙指标
予想PER
（倍）
<20.3>
12.4
<21.3>
11.1
实镇PER
高值平均
135.4
安值平均
90.4
PBR
0.80
株仙(2/27)
自防株
1040月
信用成
最低購人额
10万4000用
7752
34又連力特
電气
色",7752.0,7752.T,リコー,電気機器,True
3337.png,3337,"株仙指标
予想PER
（倍）
<20.3>
12.4
<21.3>
11.1
实镇PER
高值平均
135.4
安值平均
90.4
PBR
0.80
株仙(2/27)
自防株
1040月
信用成
最低購人额
10万4000用
7752
34又連力特
電气
色",7752.0,7752.T,リコー,電気機器,True
3338.png,3338,"株仙指标
作正径
予想PER
（倍）
<20.3>
30.2
<21.3>
20.2
实镇PER
高值平均
13.0
安值平均
9.6
PBR
0.33
株仙(2/27)
y
万性
1060月
仁用成
最低購人额
10万6000月
卜速速特
7758
機
精色",,,,,False
3339.png,3339,"株仙指标
予想PER
（倍）
<20.9>
7.0
<21.9>
6.1
实镇PER
高值平均
18.4
安值平均
9.2
PBR
0.77
株仙(2/27)
十万株
303月
信用成
最低購人额
3万300月
连式特
7760
精密
上
又結国色",7760.0,7760.T,ＩＭＶ,精密機器,True
334.png,334,"1968F#
株伍招桶
于PER
(倍)
20.3>
26.6
<21.3>
24.0
实精PER
商宿平均
30.1
安宿平均
15.4
PBR
6.87
株佰（2/27）
2
1485月
最低購大额
14万8500用
2317
人建等特
情
好
可精色
)",2317.0,2317.T,システナ,情報・通信業,True
3340.png,3340,"株仙指标
予想PER
（倍）
<20.3>
34.8
<21.3>
17.4
实镇PER
高值平均
16.7
安值平均
10.7
PBR
0.55
株仙(2/27)
2
自万林
446月
信用成
最低購人额
4万4600月
19速
7762
【底
特
精密",7762.0,7762.T,シチズン時計,精密機器,True
3341.png,3341,"株仙指标
作正径
予想PER
（倍）
<20.3>
<21.3>
72.3
实镇PER
高值平均
19.1
安值平均
11.5
PBR
0.36
株仙(2/27)
万件
3080用
仁用成
最低購人额
30万8000月
動速特
7768
精密
車結系色",3080.0,3080.T,ジェーソン,小売業,True
3342.png,3342,"株仙指标
修正径
予想PER
（倍）
<20.3>
<21.3>
35.4
实镇PER
高值平均
125.4
安值平均
87.7
PBR
0.26
株仙(2/27)
十万株
857月
信用线
最低購人额
8万5700月
21速特
7769
发
精密
精不色",7769.0,7769.T,リズム,精密機器,True
3343.png,3343,"株仙指标
予想PER
（倍）
<20.3>
182.0
<21.3>
60.7
实镇PER
高值平均
安值平均
PBR
0.83
株仙(2/27)
2
91月
信用线
最低購人额
9100月
速时特
7771
精密
横",7771.0,7771.T,日本精密,精密機器,True
3344.png,3344,"株仙指标
作正径
予想PER
（倍）
<20.3>
<21.3>
实镇PER
高值平均
234.4
安值平均
158.7
PBR
3.95
株仙(2/27)
2
自万样
734月
信用线
最低購人额
7万3400月
单1特
7774
精密
30
土赤",7774.0,7774.T,ジャパン・ティッシュエンジニアリング,精密機器,True
3345.png,3345,"株仙指标
作正径
予想PER
（倍）
<20.3>
<21.3>
实镇PER
高值平均
234.4
安值平均
158.7
PBR
3.95
株仙(2/27)
2
自万样
734月
信用线
最低購人额
7万3400月
单1特
7774
精密
30
土赤",7774.0,7774.T,ジャパン・ティッシュエンジニアリング,精密機器,True
