quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score
2024Q2_PRE_ALIGNED,339,8747.T,豊トラスティ証券,証券、商品先物取引業,0.8056623555624643,48.93617021276595,5.47945205479452,12.902849806737072,17.558886509635975,0.9024340710175635,18.050541516245488,58.333333333333336,92.65944645006017,65.0,1566.0,6535,59.30824008138351,2024-06-30,2024-06-30,5.4,5.4,25.3,5.4,5.4,medium,medium,low,low,low,"1726
株伍指标
予想PER
（倍）
<25.3>
5.4
(26.3>
5.3
实PER
高值平均
6.1
安值平均
4.1
PBR
0-63
株佰(5/27)
3
14329
磊线
最低購人额
12.3
14万32009
8747",7353.png,0.9722222222222222,0.5807331338411317,0.784077652061913,0.7582022786894954,証券、商品先物取引業,0.0,3.0,5.4,0.8056623555624643
2024Q2_PRE_ALIGNED,352,1909.T,日本ドライケミカル,機械,0.8005064096585316,67.15200931857892,7.5712143928035935,9.050771710348604,13.89473684210527,0.6302594051022137,21.51857835218094,75.0,92.73021001615508,65.0,2840.0,3616,61.63915765509391,2024-06-30,2024-06-30,6.4,6.4,25.3,6.4,6.4,medium,medium,low,low,low,"105
株伍指标
海正格
予想PER
（倍）
<25.3>
6.4
(26.3>
5.9
实PER
高值平均
6.8
安值平均
4.4
PBR
08-0
株倡(5/27)
2660m
最低購人额
24
15.9
26万6000F
1909
概",4112.png,0.9674418604651164,0.5877040261153427,0.795751854278164,0.7602117274026041,機械,0.0,3.0,6.4,0.8005064096585316
2024Q2_PRE_ALIGNED,417,3799.T,キーウェアソリューションズ,情報・通信業,0.7842643453028654,25.85949177877429,11.228533685601061,7.89012089143481,10.457516339869288,0.83062861907714,10.460251046025103,83.33333333333334,96.7816091954023,60.0,836.0,4427,24.03560830860534,2024-06-30,2024-06-30,8.4,8.4,25.3,8.4,8.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
8.4
(26.3>
7.4
实PER
高值平均
10.7
安值平均
7.4
PBR
0.75
株倡(5/27)
8029
最低購人额
21
8.9
8万200P
速Z特
3799
情
神",4919.png,0.9664902998236332,0.6184099564744286,0.7271828073993472,0.7498209484947406,情報・通信業,0.0,3.0,8.4,0.7842643453028654
2024Q2_PRE_ALIGNED,181,9068.T,丸全昭和運輸,陸運業,0.85046074926162,30.676328502415462,16.09442060085837,9.646960850742186,14.696132596685077,0.7663108844048916,13.277511961722489,66.66666666666666,97.83001808318264,55.00000000000001,5480.0,6276,41.785252263906855,2024-06-30,2024-06-30,8.1,8.1,25.3,8.1,8.1,medium,medium,low,low,low,"5080布E校
株伍指标
予想PER
（倍）
<25.3>
8.1
(26.3>
7.5
实PER
高值平均
8.9
安值平均
6.6
PBR
0.77
株幅(5/27)
4840m
万确
最低購人额
24
8.1
48万4000P
9068",7461.png,0.9629629629629628,0.6131052774755168,0.8517071295329883,0.7955890592036596,陸運業,0.0,3.0,8.1,0.85046074926162
2024Q2_PRE_ALIGNED,690,6797.T,名古屋電機工業,電気機器,0.714677309705166,22.711058263971463,7.556018759770722,5.894184903555589,9.066808059384934,0.7312871213898704,13.141025641025639,50.0,94.5054945054945,55.00000000000001,1039.5,5377,28.890266584004955,2024-06-30,2024-06-30,6.6,6.6,25.3,6.6,6.6,medium,medium,low,low,low,"2209
株伍指标
予想PER
（倍）
<25.3>
6.6
(26.3>
6.6
实PER
高值平均
6.7
安值平均
5.1
PBR
0-54
株倡(5/27)
2
1916m
最低購人额
24
8.5
19万1600m
6797",6407.png,0.9605263157894736,0.5879216539717084,0.6936073149608049,0.7085429609972388,電気機器,0.0,3.0,6.6,0.714677309705166
2024Q2_PRE_ALIGNED,78,4887.T,サワイグループホールディングス,医薬品,0.8921242447795222,87.65570574143456,13.765872912107358,13.25865245960543,18.364799706300676,0.849514279358468,13.152952580091892,83.33333333333334,97.07088101727263,80.0,2179.0,1207,81.53290137190281,2024-06-30,2024-06-30,8.5,8.5,25.3,8.5,8.5,medium,medium,low,low,low,"6645
株伍指标
予想PER
（倍）
<25.3>
8.5
(26.3>
8.2
实PER
高值平均
18.3
安值平均
11.4
PBR
1.20
株倡(5/27)
2
58269
最低購人额
24
6.6
58万26009
4887
医",5542.png,0.9594594594594594,0.6185255712731229,0.837619129044436,0.8084289001650715,医薬品,0.0,3.0,8.5,0.8921242447795222
2024Q2_PRE_ALIGNED,150,5233.T,太平洋セメント,ガラス・土石製品,0.8591965075910668,47.16779479871749,14.590846047156724,7.821851424954341,13.357808528664217,0.8211732346766455,18.45925437149456,75.0,98.12351543942994,75.0,4038.0,6535,44.21428571428572,2024-06-30,2024-06-30,7.3,7.3,25.3,7.3,7.3,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
7.3
(26.3>
6.8
实PER
高值平均
11.0
安值平均
7.0
PBR
08-0
株倡(5/27)
2
3895P
三
最低購人额
24
8.2
38万95009
5233
分",5675.png,0.9591836734693876,0.5944640914036997,0.8634083131620438,0.794802779788738,ガラス・土石製品,0.0,3.0,7.3,0.8591965075910668
2024Q2_PRE_ALIGNED,302,6230.T,ＳＡＮＥＩ,機械,0.8170591947769316,51.301684532924966,14.883720930232558,11.931577283158678,26.48221343873518,0.8916044235685884,20.104166666666668,58.333333333333336,99.09729187562688,100.0,2262.5,1271,49.58677685950412,2024-06-30,2024-06-30,6.7,6.7,25.3,6.7,6.7,medium,medium,low,low,low,"4800
株伍指标
予想PER
（倍）
<25.3>
6.7
(26.3>
5.9
实PER
高值平均
9.6
安值平均
6.9
PBR
0.71
9
株倡(5/27)
万确
4090m
最低購人额
24
10.8
40万9000P
6230
还向特",6069.png,0.958139534883721,0.5881596844396082,0.8431756956318979,0.7739536538162599,機械,0.0,3.0,6.7,0.8170591947769316
2024Q2_PRE_ALIGNED,57,4685.T,菱友システムズ,情報・通信業,0.899418943986735,78.13267813267812,17.40890688259109,8.383345348459049,14.615384615384608,0.8329857133725856,16.43132220795892,75.0,91.9661733615222,70.0,1962.5,6535,72.30026338893767,2024-06-30,2024-06-30,9.0,9.0,25.3,9.0,9.0,medium,medium,low,low,low,"066
株伍指标
海正格
予想PER
（倍）
<25.3>
9.0
(26.3>
8'8
实PER
高值平均
10.1
安值平均
6.6
PBR
1.38
株倡(5/27)
6
3620m
最低購人额
21
15.4
36万2000m
4685
情",5457.png,0.9541446208112876,0.6236670293797606,0.8717921376385157,0.8186245900231692,情報・通信業,0.0,3.0,9.0,0.899418943986735
2024Q2_PRE_ALIGNED,162,5191.T,住友理工,ゴム製品,0.8543085859370952,84.88512696493349,19.453125000000004,10.26683629023395,19.85645933014355,0.7954503901820604,20.963651732882504,66.66666666666666,97.95003203074953,70.0,1484.0,6249,72.96037296037296,2024-06-30,2024-06-30,8.1,8.1,25.3,8.1,8.1,medium,medium,low,low,low,"1369
株伍指标
予想PER
（倍）
<25.3>
8.1
(26.3>
7.4
实PER
高值平均
9.4
安值平均
5.9
PBR
0-66
株佰(5/27)
12529
最低購人额
24
10.3
12万52009
5191
3",5660.png,0.9444444444444444,0.6098680631120783,0.8568761741911128,0.7945705358900905,ゴム製品,0.0,3.0,8.1,0.8543085859370952
2024Q2_PRE_ALIGNED,1050,1879.T,新日本建設,建設業,0.6410968029431577,35.02008032128514,6.6624365482233605,9.388671461625192,13.025780189959304,0.638032514372602,18.837209302325586,50.0,96.55370476737507,65.0,1637.0,6273,32.98131600324938,2024-06-30,2024-06-30,7.4,7.4,25.3,7.4,7.4,medium,medium,low,low,low,"1708
株伍指标
（倍）
予想PER
<25.3>
7.4
(26.3>
7.3
实PER
高值平均
6.1
安值平均
3.8
PBR
08-0
株幅(5/27)
8
15529
最低購人额
24
11.4
15万52009
速营特
1879
建",4096.png,0.9444444444444444,0.5935119695321001,0.6429480357975618,0.6722539560895088,建設業,0.0,3.0,7.4,0.6410968029431577
2024Q2_PRE_ALIGNED,605,4491.T,コンピューターマネージメント,情報・通信業,0.7335053111560184,15.907545887151597,7.57097791798107,5.490897826155639,11.03853690398433,0.8359120596209875,7.588235294117651,66.66666666666666,99.24330616996507,50.0,1690.0,1465,16.793365583966825,2024-06-30,2024-06-30,9.9,9.9,25.3,9.9,9.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
9.9
(26.3>
8'8
实PER
高值平均
10.4
安值平均
8.2
PBR
1.02
株倡(5/27)
2
15999
最低購人额
24
10.8
15万9900m
4491
连中特
情
日之精医色",5344.png,0.9382716049382716,0.6342491838955386,0.7377007783526903,0.7347485162073534,情報・通信業,0.0,3.0,9.9,0.7335053111560184
2024Q2_PRE_ALIGNED,214,9709.T,ＮＣＳ＆Ａ,情報・通信業,0.8416813513653559,32.73273273273274,11.475409836065564,8.606266099903564,15.870967741935482,0.8195573351886738,9.346846846846846,91.66666666666666,96.82365826944141,60.0,869.0,6470,34.72868217054263,2024-06-30,2024-06-30,10.1,10.1,25.3,10.1,10.1,medium,medium,low,low,low,"898
株伍指标
予想PER
（倍）
<25.3>
10.1
(26.3>
8.7
实PER
高值平均
9.1
安值平均
6.7
PBR
1.08
株倡(5/27)
821月
十万件
最低購人额
24
13.4
8万2100m
9709
特
情",7746.png,0.9338624338624338,0.6379760609357997,0.8158607903444295,0.7886869096104165,情報・通信業,0.0,3.0,10.1,0.8416813513653559
2024Q2_PRE_ALIGNED,688,3024.T,クリエイト,卸売業,0.7152668117519041,31.547619047619047,29.088785046728983,8.930843245161169,15.060240963855431,0.6666341293955189,18.510324483775808,50.0,81.4896755162242,85.0,1027.0,4927,26.47783251231528,2024-06-30,2024-06-30,6.7,6.7,25.3,6.7,6.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍)
<25.3>
6.7
(26.3>
6.5
实PER
高值平均
17.4
安值平均
12.6
PBR
0.74
株倡(5/27)
3
9329
确
最低購人额
24
2.9
9万3200F
3024
卸",4519.png,0.9310344827586208,0.5830182263329706,0.7658355743820924,0.7174597644955698,卸売業,0.0,3.0,6.7,0.7152668117519041
