"variant","total_return_pct","final_capital","num_buys","max_drawdown_pct","high_vol_take_profit_pct","high_vol_min_score","high_vol_max_new_buys_per_day","pnl_high_vol","pnl_normal","pnl_stable","pnl_surge","pnl_uptrend"
"baseline_v35","7.150233329264344","3214506.99987793","43","-8.395131930715804","","","","-55798.50012206985","201205.5","3400","65700","0"
"top5_tp8","15.69620832926435","3470886.2498779306","19","-7.854806000738335",,,"5","120836.74987793015","270149.50000000047","6500","73400","0"
"top5_tp6","16.19584999593102","3485875.4998779306","24","-6.885190810230024","6",,"5","162963.99987793015","213811.50000000047","6500","102600","0"
"top3_score06_tp6","3.855099943033924","3115652.9982910175","20","-9.634196041142474","6","0.6","3","-34605.50170898251","39558.5","3400","107300","0"
