segment_id,nikkei_phase,rule_name,start,end,days,pnl,return_pct_on_segment_start_equity
1,uptrend,condition2,2025-10-01,2025-10-03,3,0.0,0.0
2,surge,no_trade,2025-10-06,2025-10-10,5,0.0,0.0
3,high_vol,no_trade,2025-10-14,2025-10-20,5,0.0,0.0
4,surge,no_trade,2025-10-21,2025-10-21,1,0.0,0.0
5,high_vol,no_trade,2025-10-22,2025-10-24,3,0.0,0.0
6,surge,no_trade,2025-10-27,2025-11-04,6,0.0,0.0
7,high_vol,no_trade,2025-11-05,2025-11-14,8,0.0,0.0
8,normal,condition2,2025-11-17,2025-11-17,1,-34735.0,-1.1578333333333357
9,high_vol,no_trade,2025-11-18,2025-12-02,10,-26200.0,-0.8835635263627406
10,normal,condition2,2025-12-03,2025-12-17,11,68559.5,2.3326976436383706
11,stable,breakout_1p5,2025-12-18,2025-12-18,1,-2466.6748046875,-0.08201405476938595
12,normal,condition2,2025-12-19,2025-12-29,7,91143.0,3.032885635351823
13,stable,breakout_1p5,2025-12-30,2025-12-30,1,-6800.0,-0.21961690365053244
