ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason,buy_phase,sell_phase,buy_rule_name
6743.T,電気機器,電気機器,2025-11-17,2025-11-18,400,735.8749999999999,717.0,-7549.9999999999545,-2.5649736708000526,sell_signal,normal,high_vol,condition2
6745.T,電気機器,電気機器,2025-11-17,2025-11-18,100,4049.8499999999995,3920.0,-12984.999999999945,-3.206291591046573,sell_signal,normal,high_vol,condition2
3467.T,不動産業,不動産業,2025-11-17,2025-11-18,400,2365.0,2264.0,-40400.0,-4.270613107822408,sell_signal,normal,high_vol,condition2
6745.T,電気機器,電気機器,2025-12-03,2025-12-08,100,4181.799999999999,4520.0,33820.00000000007,8.087426467071612,take_profit,normal,normal,condition2
4495.T,情報・通信業,情報・通信業,2025-12-12,2025-12-15,800,2744.56,2750.0,4352.000000000044,0.19821027778588185,sell_signal,normal,normal,condition2
5105.T,ゴム製品,ゴム製品,2025-12-15,2025-12-17,500,4400.025,4420.0,9987.500000000182,0.45397469332562057,sell_signal,normal,normal,condition2
1980.T,建設業,建設業,2025-12-03,2025-12-19,100,2334.5,2523.333251953125,18883.3251953125,8.088809250508678,take_profit,normal,normal,condition2
6743.T,電気機器,電気機器,2025-12-03,2025-12-22,400,735.8749999999999,817.0,32450.000000000044,11.024290810259906,take_profit,normal,normal,condition2
6745.T,電気機器,電気機器,2025-12-19,2025-12-25,200,4415.25,4420.0,950.0,0.10758167714173261,sell_signal,normal,normal,condition2
8343.T,銀行業,銀行業,2025-12-19,2025-12-30,200,3933.1249999999995,4025.0,18375.00000000009,2.3359288097886566,end_of_backtest,normal,stable,condition2
8515.T,その他金融業,その他金融業,2025-12-22,2025-12-30,800,570.0,559.0,-8800.0,-1.9298245614035037,end_of_backtest,normal,stable,condition2
2975.T,不動産業,不動産業,2025-12-24,2025-12-30,700,1303.2599999999998,1361.0,40418.00000000017,4.430428310544343,end_of_backtest,normal,stable,condition2
