date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason,nikkei_phase,rule_name
2025-11-17,6743.T,電気機器,電気機器,BUY,735.8749999999999,400,2705650.0,0.5032855035490862,2025-11-14,buy_breakout_up,normal,condition2
2025-11-17,6745.T,電気機器,電気機器,BUY,4049.8499999999995,100,2300665.0,0.45647401577030594,2025-11-14,buy_breakout_up,normal,condition2
2025-11-17,3467.T,不動産業,不動産業,BUY,2365.0,400,1354665.0,0.399645359918892,2025-11-14,buy_breakout_up,normal,condition2
2025-11-18,6743.T,電気機器,電気機器,SELL,717.0,400,1641465.0,0.0,2025-11-17,sell_signal,high_vol,no_trade
2025-11-18,6745.T,電気機器,電気機器,SELL,3920.0,100,2033465.0,0.0,2025-11-17,sell_signal,high_vol,no_trade
2025-11-18,3467.T,不動産業,不動産業,SELL,2264.0,400,2939065.0,0.0,2025-11-17,sell_signal,high_vol,no_trade
2025-12-03,6743.T,電気機器,電気機器,BUY,735.8749999999999,400,2644715.0,0.5294448690918563,2025-12-02,buy_breakout_up,normal,condition2
2025-12-03,1980.T,建設業,建設業,BUY,2334.5,100,2411265.0,0.5184117311737322,2025-12-02,buy_breakout_up,normal,condition2
2025-12-03,6745.T,電気機器,電気機器,BUY,4181.799999999999,100,1993085.0,0.47099950587672756,2025-12-02,buy_breakout_up,normal,condition2
2025-12-08,6745.T,電気機器,電気機器,SELL,4520.0,100,2445085.0,0.548005920448869,2025-12-05,take_profit,normal,condition2
2025-12-12,4495.T,情報・通信業,情報・通信業,BUY,2744.56,800,249437.0,0.4924650108053967,2025-12-11,buy_breakout_up,normal,condition2
2025-12-15,4495.T,情報・通信業,情報・通信業,SELL,2750.0,800,2449437.0,0.4846196591985928,2025-12-12,sell_signal,normal,condition2
2025-12-15,5105.T,ゴム製品,ゴム製品,BUY,4400.025,500,249424.5,0.4543653430945774,2025-12-12,buy_breakout_up,normal,condition2
2025-12-17,5105.T,ゴム製品,ゴム製品,SELL,4420.0,500,2459424.5,0.45550070065703835,2025-12-16,sell_signal,normal,condition2
2025-12-19,1980.T,建設業,建設業,SELL,2523.333251953125,100,2711757.8251953125,0.5243864829647152,2025-12-18,take_profit,normal,condition2
2025-12-19,6745.T,電気機器,電気機器,BUY,4415.25,200,1828707.8251953125,0.48670909308127275,2025-12-18,buy_breakout_up,normal,condition2
2025-12-19,8343.T,銀行業,銀行業,BUY,3933.1249999999995,200,1042082.8251953126,0.46854990438116956,2025-12-18,buy_breakout_up,normal,condition2
2025-12-22,6743.T,電気機器,電気機器,SELL,817.0,400,1368882.8251953125,0.5604293446248481,2025-12-19,take_profit,normal,condition2
2025-12-22,8515.T,その他金融業,その他金融業,BUY,570.0,800,912882.8251953125,0.4778443915187101,2025-12-19,buy_breakout_up,normal,condition2
2025-12-24,2975.T,不動産業,不動産業,BUY,1303.2599999999998,700,600.8251953126164,0.4923332837297698,2025-12-23,buy_breakout_up,normal,condition2
2025-12-25,6745.T,電気機器,電気機器,SELL,4420.0,200,884600.8251953126,0.48325126723355616,2025-12-24,sell_signal,normal,condition2
2025-12-30,8343.T,銀行業,銀行業,SELL_END,4025.0,200,1689600.8251953125,,,end_of_backtest,stable,breakout_1p5
2025-12-30,8515.T,その他金融業,その他金融業,SELL_END,559.0,800,2136800.8251953125,,,end_of_backtest,stable,breakout_1p5
2025-12-30,2975.T,不動産業,不動産業,SELL_END,1361.0,700,3089500.8251953125,,,end_of_backtest,stable,breakout_1p5
