date,cash,market_value,equity,positions,nikkei_phase,rule_name,pnl_day,prev_phase,segment_id
2025-10-01,3000000.0,0.0,3000000.0,0,uptrend,condition2,0.0,,1
2025-10-02,3000000.0,0.0,3000000.0,0,uptrend,condition2,0.0,uptrend,1
2025-10-03,3000000.0,0.0,3000000.0,0,uptrend,condition2,0.0,uptrend,1
2025-10-06,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,uptrend,2
2025-10-07,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,2
2025-10-08,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,2
2025-10-09,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,2
2025-10-10,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,2
2025-10-14,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,surge,3
2025-10-15,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,3
2025-10-16,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,3
2025-10-17,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,3
2025-10-20,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,3
2025-10-21,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,high_vol,4
2025-10-22,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,surge,5
2025-10-23,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,5
2025-10-24,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,5
2025-10-27,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,high_vol,6
2025-10-28,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,6
2025-10-29,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,6
2025-10-30,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,6
2025-10-31,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,6
2025-11-04,3000000.0,0.0,3000000.0,0,surge,no_trade,0.0,surge,6
2025-11-05,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,surge,7
2025-11-06,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,7
2025-11-07,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,7
2025-11-10,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,7
2025-11-11,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,7
2025-11-12,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,7
2025-11-13,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,7
2025-11-14,3000000.0,0.0,3000000.0,0,high_vol,no_trade,0.0,high_vol,7
2025-11-17,1354665.0,1610600.0,2965265.0,3,normal,condition2,-34735.0,high_vol,8
2025-11-18,2939065.0,0.0,2939065.0,0,high_vol,no_trade,-26200.0,normal,9
2025-11-19,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-11-20,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-11-21,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-11-25,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-11-26,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-11-27,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-11-28,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-12-01,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-12-02,2939065.0,0.0,2939065.0,0,high_vol,no_trade,0.0,high_vol,9
2025-12-03,1993085.0,949200.0,2942285.0,3,normal,condition2,3220.0,high_vol,10
