Date,Adj Close,Close,High,Low,Open,Volume,close,ret1,ret5,ret20,ret60,dd20,range20,vol10,vol20,ma20,ma60,ma20_slope_5,ma_gap_20_60,prior_surge_10d,prior_crash_10d,phase,distance
2026-03-11,55025.37109375,55025.37109375,55745.37890625,54882.578125,54917.9296875,146900000,55025.37109375,0.014322645516269716,0.014375966111268568,-0.023748699595936507,0.08627501271234861,-0.06499372845639972,0.11609519302514815,0.0262995071450039,0.020608954952316974,56601.6845703125,53649.18600260417,-0.0004841157505877103,0.05503342711602399,False,True,high_vol,1.3708827910244097
2026-03-12,54452.9609375,54452.9609375,54733.078125,53796.01171875,54387.8984375,154100000,54452.9609375,-0.010402658716735402,-0.014926313934319091,-0.05546484346891267,0.07608591020275335,-0.07472027959727512,0.11609519302514815,0.026138915969254526,0.019915040489841593,56441.8056640625,53713.35533854167,-0.003797659298893863,0.0507964975996027,False,True,high_vol,1.4075082512706778
2024-08-01,38126.328125,38126.328125,38781.55859375,37737.87890625,38781.55859375,178800000,38126.328125,-0.024947487858721362,0.0067816138786611635,-0.060482689082101415,-0.001990530078967767,-0.09704645487901264,0.12096954253288206,0.01639455478567253,0.014960658093649435,40005.2189453125,39228.95462239583,-0.009067082172043772,0.01978804509038601,False,True,crash,1.7494891492117157
2026-03-13,53819.609375,53819.609375,54065.30859375,53286.69140625,53587.30078125,169000000,53819.609375,-0.01163116847267398,-0.032384093332822994,-0.06627760380850944,0.07319791451973656,-0.08548236390962793,0.11609519302514815,0.02597277604776643,0.02000449988977475,56250.794140625,53774.53515625,-0.008330775029277038,0.04604891473594064,False,True,crash,1.8257635713652018
2025-12-01,49303.28125,49303.28125,50366.73828125,49215.9609375,50318.58984375,118200000,49303.28125,-0.018916516213251744,0.013930901795235817,-0.03940193111443213,0.16863466208902866,-0.05930126196002283,0.0798068447278939,0.01869162276097393,0.01673265233565859,50185.7255859375,47682.47747395833,-0.004682025704058068,0.052498281225976884,False,False,high_vol,1.8529408811814254
2024-07-31,39101.8203125,39101.8203125,39188.37109375,37954.37890625,38140.76953125,146400000,39101.8203125,0.014947615968660788,-0.0013543979324082134,-0.02427644629593506,0.006867981266142742,-0.07394367597900664,0.12096954253288206,0.0162212487682773,0.01440965597259216,40127.940625,39230.222005208336,-0.008235205581820892,0.02288334283890836,False,True,high_vol,1.9475843367332164
2021-10-12,28230.609375,28230.609375,28468.880859375,28166.380859375,28458.880859375,66300000,28230.609375,-0.009389710616309555,0.014682211384054344,-0.07080645806223418,-0.016979830776375993,-0.07953969062524058,0.11410677469908892,0.014276464202203881,0.012786538415303497,29331.2185546875,28506.20546875,-0.017028599012676726,0.028941525972017823,False,True,high_vol,1.9764838665433104
2021-10-11,28498.19921875,28498.19921875,28581.359375,27893.3203125,27977.5703125,72300000,28498.19921875,0.0160169965205208,0.0018741008518114999,-0.050319271568640134,-0.0024789199511217053,-0.07081491153556962,0.11410677469908892,0.014310253468084856,0.013191188902374638,29438.780078125,28514.332649739583,-0.015578189625384598,0.032420447630355564,False,True,high_vol,2.0496670545838866
2021-10-13,28140.279296875,28140.279296875,28364.990234375,27993.4609375,28085.439453125,63900000,28140.279296875,-0.0031997211581622498,0.022209781053001088,-0.07577304407137497,-0.01636615332246416,-0.08248490695239552,0.11410677469908892,0.013332265486390955,0.012715792256762828,29215.8640625,28498.401953125,-0.017385707565608977,0.02517552073814877,False,True,normal,2.1472299296201496
2021-10-14,28550.9296875,28550.9296875,28576.6796875,28234.009765625,28264.41015625,64800000,28550.9296875,0.014592974941460612,0.03153089453544089,-0.0690956321911399,0.009612750808176473,-0.06426323499250675,0.10835322663048119,0.014684894267384509,0.013149029514187869,29109.90556640625,28502.9326171875,-0.017250917952609357,0.02129510522200584,False,True,high_vol,2.174881416314851
