Date,Adj Close,Close,High,Low,Open,Volume,close,ret1,ret5,ret20,ret60,dd20,range20,vol10,vol20,ma20,ma60,ma20_slope_5,ma_gap_20_60,prior_surge_10d,prior_crash_10d,phase
2021-03-16,29921.08984375,29921.08984375,30026.400390625,29755.470703125,29770.390625,83800000,29921.08984375,,,,,,,,,,,,,False,False,normal
2021-03-17,29914.330078125,29914.330078125,29984.970703125,29825.16015625,29836.830078125,74600000,29914.330078125,-0.00022591976630192967,,,,,,,,,,,,False,False,normal
2021-03-18,30216.75,30216.75,30485.0,30041.5,30148.48046875,95400000,30216.75,0.010109533493987355,,,,,,,,,,,,False,False,normal
2021-03-19,29792.05078125,29792.05078125,30049.76953125,29621.220703125,29904.5703125,128500000,29792.05078125,-0.014055092581101492,,,,,,,,,,,,False,False,normal
2021-03-22,29174.150390625,29174.150390625,29472.98046875,29107.630859375,29444.099609375,78800000,29174.150390625,-0.020740444998633145,,,,,,,,,,,,False,False,normal
2021-03-23,28995.919921875,28995.919921875,29496.830078125,28995.919921875,29381.490234375,79200000,28995.919921875,-0.006109191402786318,-0.03092032832715319,,,,,,,,,,,False,False,normal
2021-03-24,28405.51953125,28405.51953125,28867.669921875,28379.060546875,28765.55078125,96000000,28405.51953125,-0.020361498866590222,-0.05043771807473385,,,,,,,,,,,False,True,normal
2021-03-25,28729.880859375,28729.880859375,28821.830078125,28414.919921875,28457.330078125,72800000,28729.880859375,0.011418954255286717,-0.049206785661098595,,,,,,,,,,,False,True,normal
2021-03-26,29176.69921875,29176.69921875,29240.740234375,28953.220703125,29068.51953125,73700000,29176.69921875,0.015552391656688647,-0.020654891031780864,,,,,,,,,,,False,True,normal
2021-03-29,29384.51953125,29384.51953125,29578.369140625,29200.880859375,29478.119140625,107900000,29384.51953125,0.007122817798609793,0.007210806066612951,,,,,,,,,,,False,True,normal
2021-03-30,29432.69921875,29432.69921875,29478.19921875,29283.890625,29365.0390625,79900000,29432.69921875,0.0016396282215458413,0.015063474380252018,,,,,0.013262654343576874,,,,,,False,True,normal
2021-03-31,29178.80078125,29178.80078125,29348.990234375,29165.51953125,29278.330078125,82000000,29178.80078125,-0.008626406827758948,0.027222922261614713,,,,,0.013433364322542312,,,,,,False,True,normal
2021-04-01,29388.869140625,29388.869140625,29585.4609375,29318.8203125,29441.91015625,75600000,29388.869140625,0.007199348628130986,0.02293738301511139,,,,,0.013160888781386309,,,,,,False,True,normal
2021-04-02,29854.0,29854.0,29869.669921875,29694.08984375,29704.66015625,57200000,29854.0,0.015826769555145503,0.023213756161106103,,,,,0.013677432172705555,,,,,,False,True,normal
2021-04-05,30089.25,30089.25,30195.0,30024.25,30084.609375,55400000,30089.25,0.00788001607824751,0.023983052300737162,,,,,0.011628207891663743,,,,,,False,True,settling
2021-04-06,29696.630859375,29696.630859375,30208.890625,29665.859375,30208.890625,65500000,29696.630859375,-0.013048485443306168,0.008967293100214935,,,,,0.01242237826008681,,,,,,False,True,normal
2021-04-07,29730.7890625,29730.7890625,29867.939453125,29523.55078125,29743.48046875,61500000,29730.7890625,0.0011502383313026776,0.01891744233727044,,,,,0.009565233964001885,,,,,,False,False,normal
2021-04-08,29708.98046875,29708.98046875,29744.7890625,29516.419921875,29675.880859375,62600000,29708.98046875,-0.0007335356523553438,0.010892264230830895,,,,,0.009374336363942354,,,,,,False,False,normal
2021-04-09,29768.060546875,29768.060546875,30064.349609375,29768.060546875,29865.529296875,64900000,29768.060546875,0.0019886269132374235,-0.0028786579059757456,,,,,0.00834476853876426,,,,,,False,False,normal
2021-04-12,29538.73046875,29538.73046875,29876.0390625,29538.73046875,29874.4296875,50200000,29538.73046875,-0.007703897194238807,-0.01829621978779794,,,-0.022438532643318743,0.06376332834741483,0.008652802324201753,,29504.88603515625,,,,False,False,normal
2021-04-13,29751.609375,29751.609375,29897.109375,29573.7890625,29605.689453125,54900000,29751.609375,0.007206772358589131,0.0018513384863536597,-0.005664247847756876,,-0.015393469681550753,0.06376332834741483,0.008905581320683809,0.011080440276495627,29496.41201171875,,,,False,False,normal
2021-04-14,29620.990234375,29620.990234375,29722.400390625,29567.1796875,29718.060546875,57200000,29620.990234375,-0.004390321847084988,-0.0036931017166810243,-0.009805997426113433,,-0.01971620924239037,0.06376332834741483,0.008481433768262795,0.011119508381779705,29481.74501953125,,,,False,False,normal
2021-04-15,29642.689453125,29642.689453125,29787.66015625,29558.55078125,29573.900390625,50600000,29642.689453125,0.0007325622330078829,-0.0022313460300238397,-0.0189980903596515,,-0.014841198995488414,0.059274764078779185,0.008245016130268921,0.01084588229067123,29453.0419921875,,,,False,False,normal
2021-04-16,29683.369140625,29683.369140625,29789.080078125,29621.830078125,29789.080078125,49100000,29683.369140625,0.0013723345705296541,-0.002845042797351205,-0.0036480080348614274,,-0.013489231515408373,0.059274764078779185,0.006395140459630679,0.010400696209168595,29447.60791015625,,,,False,False,normal
2021-04-19,29685.369140625,29685.369140625,29808.009765625,29530.83984375,29688.3203125,44700000,29685.369140625,6.737779631826868e-05,0.004964284840546451,0.01752300386318284,,-0.0134227625937835,0.059274764078779185,0.0056884019891561876,0.009202299251565372,29473.16884765625,,-0.0010749808510430725,,False,False,stable
2021-04-20,29100.380859375,29100.380859375,29361.279296875,29014.359375,29355.869140625,59900000,29100.380859375,-0.019706282865434632,-0.02188885002544505,0.0036026081525073472,,-0.03286453270270939,0.059274764078779185,0.007356598185850106,0.01019664772391618,29478.39189453125,,-0.0006109257349787844,,False,False,stable
2021-04-21,28508.55078125,28508.55078125,28778.9296875,28419.83984375,28660.359375,71000000,28508.55078125,-0.02033753719530218,-0.03755578204249299,0.0036271559788458863,,-0.05253368624176413,0.05544649501403698,0.009232643484114322,0.010194102096374898,29483.54345703125,,6.1001731709309226e-05,,False,False,reversal_down
2021-04-22,29188.169921875,29188.169921875,29192.390625,28800.859375,28880.779296875,55100000,29188.169921875,0.023839133242507193,-0.01533327574641119,0.01595165203584381,,-0.029946910545294414,0.05544649501403698,0.01281722914989919,0.011236561430532086,29506.45791015625,,0.0018135959600682483,,False,False,normal
2021-04-23,29020.630859375,29020.630859375,29035.33984375,28770.619140625,28939.119140625,47500000,29020.630859375,-0.00573996461403492,-0.02232692246322432,-0.005349075239967638,,-0.03551498095249961,0.05544649501403698,0.012803561989550927,0.01076938206803022,29498.6544921875,,0.0017334712614685,,False,False,normal
2021-04-26,29126.23046875,29126.23046875,29241.279296875,28896.369140625,29095.490234375,49200000,29126.23046875,0.003638777181884878,-0.018835496679399766,-0.008789970590647678,,-0.032005434872919736,0.05544649501403698,0.012790393562892676,0.010672214216482694,29485.7400390625,,0.00042653002367099013,,False,False,normal
2021-04-27,28991.890625,28991.890625,29187.109375,28990.189453125,29174.529296875,59400000,28991.890625,-0.004612331962906557,-0.0037281379545948123,-0.014976832076250224,,-0.03647014714557528,0.05544649501403698,0.01245540965946865,0.01070124389542422,29463.699609375,,-0.0004984086380566133,,False,False,normal
2021-04-28,29053.970703125,29053.970703125,29139.69921875,28875.91015625,28935.509765625,61400000,29053.970703125,0.002141291126128486,0.019131801053658748,-0.004278108585093587,,-0.03440694922189813,0.05544649501403698,0.012517166562895674,0.010551278802381868,29457.45810546875,,-0.0008847427582955314,,False,False,normal
2021-04-30,28812.630859375,28812.630859375,29046.490234375,28760.26953125,28996.66015625,78400000,28812.630859375,-0.008306604498779957,-0.012866139381302988,-0.019607364900388502,,-0.04242774880148226,0.05544649501403698,0.012634931371017673,0.010551628685833765,29428.64619140625,,-0.0026371080862002128,,False,False,normal
