phase,start,end,days,start_close,end_close,return_pct,ret5_min_pct,ret5_max_pct,dd20_min_pct,vol10_mean_pct
normal,2021-03-16,2021-04-02,14,29921.09,29854.0,-0.22,-5.04,2.72,,1.34
settling,2021-04-05,2021-04-05,1,30089.25,30089.25,0.0,2.4,2.4,,1.16
normal,2021-04-06,2021-04-16,9,29696.63,29683.37,-0.04,-1.83,1.89,-2.24,0.89
stable,2021-04-19,2021-04-20,2,29685.37,29100.38,-1.97,-2.19,0.5,-3.29,0.65
reversal_down,2021-04-21,2021-04-21,1,28508.55,28508.55,0.0,-3.76,-3.76,-5.25,0.92
normal,2021-04-22,2021-05-10,9,29188.17,29518.34,1.13,-2.23,1.91,-4.24,1.3
high_vol,2021-05-11,2021-05-11,1,28608.59,28608.59,0.0,-1.53,-1.53,-3.9,1.5
normal,2021-05-12,2021-05-12,1,28147.51,28147.51,0.0,-2.31,-2.31,-5.44,1.32
crash,2021-05-13,2021-05-13,1,27448.01,27448.01,0.0,-6.42,-6.42,-7.74,1.49
high_vol,2021-05-14,2021-05-14,1,28084.47,28084.47,0.0,-4.34,-4.34,-5.6,1.73
crash,2021-05-17,2021-05-17,1,27824.83,27824.83,0.0,-5.74,-5.74,-6.27,1.74
high_vol,2021-05-18,2021-05-26,7,28406.84,28642.19,0.83,-0.71,2.37,-5.53,1.76
settling,2021-05-27,2021-05-28,2,28549.01,29149.41,2.1,1.6,2.94,-3.28,1.13
normal,2021-05-31,2021-05-31,1,28860.08,28860.08,0.0,1.75,1.75,-2.23,1.12
stable,2021-06-01,2021-06-09,7,28814.34,28860.8,0.16,-0.71,1.78,-2.38,0.84
normal,2021-06-10,2021-06-10,1,28958.56,28958.56,0.0,-0.34,-0.34,-0.65,0.82
stable,2021-06-11,2021-06-15,3,28948.73,29441.3,1.7,0.02,1.65,-0.69,0.43
normal,2021-06-16,2021-06-16,1,29291.01,29291.01,0.0,1.49,1.49,-0.51,0.5
stable,2021-06-17,2021-06-18,2,29018.33,28964.08,-0.19,0.05,0.21,-1.62,0.58
normal,2021-06-21,2021-07-05,11,28010.93,28598.19,2.1,-3.95,3.7,-4.86,1.51
stable,2021-07-06,2021-07-08,3,28643.21,28118.03,-1.83,-2.05,-0.59,-4.49,0.49
downtrend,2021-07-09,2021-07-09,1,27940.42,27940.42,0.0,-2.93,-2.93,-5.1,0.45
stable,2021-07-12,2021-07-14,3,28569.02,28608.49,0.14,-0.1,0.85,-2.96,0.95
normal,2021-07-15,2021-07-15,1,28279.09,28279.09,0.0,0.57,0.57,-2.71,1.01
downtrend,2021-07-16,2021-07-16,1,28003.08,28003.08,0.0,0.22,0.22,-3.66,1.03
normal,2021-07-19,2021-07-19,1,27652.74,27652.74,0.0,-3.21,-3.21,-4.86,1.07
downtrend,2021-07-20,2021-07-30,7,27388.16,27283.59,-0.38,-4.63,1.44,-5.77,1.05
normal,2021-08-02,2021-08-03,2,27781.02,27641.83,-0.5,-1.17,-0.19,-3.75,1.23
downtrend,2021-08-04,2021-08-05,2,27584.08,27728.12,0.52,-0.2,0.01,-3.95,1.13
normal,2021-08-06,2021-08-11,3,27820.04,28070.51,0.9,0.39,1.97,-3.13,1.07
stable,2021-08-12,2021-08-20,7,28015.02,27013.25,-3.58,-3.45,1.56,-3.77,0.8
normal,2021-08-23,2021-08-27,5,27494.24,27641.14,0.53,-0.11,2.32,-2.05,1.01
stable,2021-08-30,2021-09-02,4,27789.29,28543.51,2.71,1.07,2.89,-1.0,0.89
normal,2021-09-03,2021-09-09,5,29128.11,30008.19,3.02,5.13,6.73,-0.57,0.8
uptrend,2021-09-10,2021-09-17,6,30381.84,30500.05,0.39,0.39,4.3,-1.13,0.83
settling,2021-09-21,2021-09-21,1,29839.71,29839.71,0.0,-2.0,-2.0,-2.71,1.03
uptrend,2021-09-22,2021-09-22,1,29639.4,29639.4,0.0,-3.36,-3.36,-3.36,1.02
normal,2021-09-24,2021-09-27,2,30248.81,30240.06,-0.03,-0.86,-0.27,-1.4,1.18
uptrend,2021-09-28,2021-09-28,1,30183.96,30183.96,0.0,-1.04,-1.04,-1.59,1.1
normal,2021-09-29,2021-10-04,4,29544.29,28444.89,-3.72,-5.94,-0.63,-7.26,1.31
crash,2021-10-05,2021-10-05,1,27822.12,27822.12,0.0,-7.82,-7.82,-9.29,1.38
