phase,start,end,days,start_close,end_close,return_pct,ret5_min_pct,ret5_max_pct,dd20_min_pct,vol10_mean_pct
normal,2021-10-06,2021-10-06,1,27528.87,27528.87,0.0,-6.82,-6.82,-10.24,1.31
crash,2021-10-07,2021-10-07,1,27678.21,27678.21,0.0,-6.02,-6.02,-9.76,1.38
normal,2021-10-08,2021-10-08,1,28048.94,28048.94,0.0,-2.51,-2.51,-8.55,1.23
high_vol,2021-10-11,2021-10-12,2,28498.2,28230.61,-0.94,0.19,1.47,-7.95,1.43
normal,2021-10-13,2021-10-13,1,28140.28,28140.28,0.0,2.22,2.22,-8.25,1.33
high_vol,2021-10-14,2021-10-15,2,28550.93,29068.63,1.81,3.15,3.64,-6.43,1.44
normal,2021-10-18,2021-11-02,12,29025.46,29520.9,1.71,-1.46,3.96,-5.25,1.16
overheated_range,2021-11-04,2021-11-04,1,29794.37,29794.37,0.0,2.39,2.39,0.0,1.32
uptrend,2021-11-05,2021-11-05,1,29611.57,29611.57,0.0,2.75,2.75,-0.61,1.15
normal,2021-11-08,2021-11-09,2,29507.05,29285.46,-0.75,-1.22,2.13,-1.71,1.17
uptrend,2021-11-10,2021-11-12,3,29106.78,29609.97,1.73,-1.73,-0.01,-2.31,1.07
normal,2021-11-15,2021-11-15,1,29776.8,29776.8,0.0,0.91,0.91,-0.06,1.07
stable,2021-11-16,2021-11-18,3,29808.12,29598.66,-0.7,1.1,2.0,-0.7,0.68
uptrend,2021-11-19,2021-11-22,2,29745.87,29774.11,0.09,-0.01,0.46,-0.21,0.62
stable,2021-11-24,2021-11-25,2,29302.66,29499.28,0.67,-1.7,-0.64,-1.7,0.77
normal,2021-11-26,2021-12-01,4,28751.62,27935.62,-2.84,-6.56,-2.86,-6.66,1.11
downtrend,2021-12-02,2021-12-02,1,27753.37,27753.37,0.0,-5.92,-5.92,-6.89,1.12
normal,2021-12-03,2021-12-06,2,28029.57,27927.37,-0.36,-2.51,-1.26,-6.31,1.21
high_vol,2021-12-07,2021-12-09,3,28455.6,28725.47,0.95,2.28,3.5,-4.54,1.44
normal,2021-12-10,2021-12-10,1,28437.77,28437.77,0.0,1.46,1.46,-4.6,1.24
settling,2021-12-13,2021-12-15,3,28640.49,28459.72,-0.63,-1.39,2.55,-4.61,1.05
normal,2021-12-16,2021-12-17,2,29066.32,28545.68,-1.79,0.38,1.19,-4.13,1.22
high_vol,2021-12-20,2021-12-22,3,27937.81,28562.21,2.23,-2.45,0.36,-6.17,1.49
normal,2021-12-23,2022-01-13,13,28798.37,28489.13,-1.07,-2.87,2.64,-3.78,1.34
high_vol,2022-01-14,2022-01-20,5,28124.28,27772.93,-1.25,-4.51,0.12,-6.36,1.47
normal,2022-01-21,2022-01-24,2,27522.26,27588.37,0.24,-2.63,-2.14,-6.17,1.36
high_vol,2022-01-25,2022-01-25,1,27131.34,27131.34,0.0,-3.98,-3.98,-7.5,1.42
normal,2022-01-26,2022-01-26,1,27011.33,27011.33,0.0,-1.66,-1.66,-7.91,1.16
crash,2022-01-27,2022-01-28,2,26170.3,26717.34,2.09,-5.77,-2.92,-10.78,1.54
high_vol,2022-01-31,2022-02-09,8,27001.98,27579.87,2.14,-2.13,4.09,-7.94,1.6
normal,2022-02-10,2022-02-14,2,27696.08,27079.59,-2.23,-1.31,1.67,-4.43,1.07
downtrend,2022-02-15,2022-02-15,1,26865.19,26865.19,0.0,-1.41,-1.41,-4.93,1.15
normal,2022-02-16,2022-02-22,5,27460.4,26449.61,-3.68,-2.07,0.64,-4.5,1.28
crash,2022-02-24,2022-02-24,1,25970.82,25970.82,0.0,-5.42,-5.42,-6.23,1.38
high_vol,2022-02-25,2022-03-02,4,26476.5,26393.03,-0.32,-2.78,-0.21,-4.7,1.49
normal,2022-03-03,2022-03-03,1,26577.27,26577.27,0.0,2.34,2.34,-4.04,1.3
high_vol,2022-03-04,2022-03-04,1,25985.47,25985.47,0.0,-1.85,-1.85,-6.18,1.43
crash,2022-03-07,2022-03-09,3,25221.41,24717.53,-2.0,-7.65,-4.92,-10.75,1.64
high_vol,2022-03-10,2022-03-10,1,25690.4,25690.4,0.0,-3.34,-3.34,-7.24,2.12
crash,2022-03-11,2022-03-11,1,25162.78,25162.78,0.0,-3.17,-3.17,-9.15,2.07
high_vol,2022-03-14,2022-03-17,4,25307.85,26652.89,5.31,0.34,4.23,-7.84,2.15
surge,2022-03-18,2022-03-25,5,26827.43,28149.84,4.93,5.62,10.63,-1.09,1.88
normal,2022-03-28,2022-03-29,2,27943.89,28252.42,1.1,3.78,4.16,-0.73,1.33
high_vol,2022-03-30,2022-03-31,2,28027.25,27821.43,-0.73,-1.03,-0.05,-1.53,1.47
normal,2022-04-01,2022-04-04,2,27665.98,27736.47,0.25,-1.72,-0.74,-2.08,1.22
settling,2022-04-05,2022-04-05,1,27787.98,27787.98,0.0,-1.64,-1.64,-1.64,1.15
normal,2022-04-06,2022-04-06,1,27350.3,27350.3,0.0,-2.42,-2.42,-3.19,0.77
uptrend,2022-04-07,2022-04-11,3,26888.57,26821.52,-0.25,-3.35,-2.46,-5.06,0.88
normal,2022-04-12,2022-04-12,1,26334.98,26334.98,0.0,-5.23,-5.23,-6.79,0.81
settling,2022-04-13,2022-04-13,1,26843.49,26843.49,0.0,-1.85,-1.85,-4.99,1.15
normal,2022-04-14,2022-04-22,7,27172.0,27105.26,-0.25,-0.08,2.47,-5.14,1.26
high_vol,2022-04-25,2022-04-25,1,26590.78,26590.78,0.0,-0.78,-0.78,-5.88,1.44
normal,2022-04-26,2022-05-06,5,26700.11,27003.56,1.14,-3.05,1.55,-5.16,1.26
high_vol,2022-05-09,2022-05-10,2,26319.34,26167.1,-0.58,-1.43,-0.83,-5.03,1.44
normal,2022-05-11,2022-05-12,2,26213.64,25748.72,-1.77,-3.99,-2.36,-6.55,1.33
high_vol,2022-05-13,2022-05-17,3,26427.65,26659.75,0.88,-2.13,1.88,-4.08,1.55
normal,2022-05-18,2022-05-18,1,26911.2,26911.2,0.0,2.66,2.66,-2.33,1.44
high_vol,2022-05-19,2022-05-19,1,26402.84,26402.84,0.0,2.54,2.54,-4.17,1.56
normal,2022-05-20,2022-06-01,9,26739.03,27457.89,2.69,-0.87,2.92,-2.95,1.29
stable,2022-06-02,2022-06-03,2,27413.88,27761.57,1.27,3.04,3.66,-0.16,0.94
normal,2022-06-06,2022-06-06,1,27915.89,27915.89,0.0,2.0,2.0,0.0,0.92
uptrend,2022-06-07,2022-06-10,4,27943.95,27824.29,-0.43,0.23,3.04,-1.49,0.84
normal,2022-06-13,2022-06-15,3,26987.44,26326.16,-2.45,-6.76,-3.33,-6.8,1.31
reversal_down,2022-06-16,2022-06-16,1,26431.2,26431.2,0.0,-6.43,-6.43,-6.43,1.34
normal,2022-06-17,2022-06-20,2,25963.0,25771.22,-0.74,-6.69,-4.51,-8.76,1.24
high_vol,2022-06-21,2022-06-21,1,26246.31,26246.31,0.0,-1.44,-1.44,-7.08,1.45
normal,2022-06-22,2022-06-23,2,26149.55,26171.25,0.08,-0.98,-0.67,-7.42,1.33
high_vol,2022-06-24,2022-06-24,1,26491.97,26491.97,0.0,2.04,2.04,-6.21,1.44
reversal_up,2022-06-27,2022-06-28,2,26871.27,27049.47,0.66,3.06,4.27,-4.87,1.21
settling,2022-06-29,2022-06-29,1,26804.6,26804.6,0.0,2.51,2.51,-5.1,1.15
normal,2022-06-30,2022-07-04,3,26393.04,26153.81,-0.91,-2.67,0.85,-8.18,1.26
downtrend,2022-07-05,2022-07-05,1,26423.47,26423.47,0.0,-2.31,-2.31,-6.45,1.16
normal,2022-07-06,2022-07-25,13,26107.65,27699.25,6.1,-2.6,5.1,-7.57,1.19
settling,2022-07-26,2022-07-26,1,27655.21,27655.21,0.0,2.57,2.57,-0.93,1.14
normal,2022-07-27,2022-07-27,1,27715.75,27715.75,0.0,0.13,0.13,-0.71,0.87
uptrend,2022-07-28,2022-08-01,3,27815.48,27993.35,0.64,-0.4,1.06,-0.4,0.89
settling,2022-08-02,2022-08-02,1,27594.73,27594.73,0.0,-0.22,-0.22,-1.42,1.06
uptrend,2022-08-03,2022-08-22,13,27741.9,28794.5,3.79,-0.27,4.37,-1.52,0.93
normal,2022-08-23,2022-08-25,3,28452.75,28479.01,0.09,-3.11,-1.44,-3.11,1.19
stable,2022-08-26,2022-08-26,1,28641.38,28641.38,0.0,-1.0,-1.0,-1.99,0.83
normal,2022-08-29,2022-09-09,10,27878.96,28214.75,1.2,-3.46,2.04,-6.13,1.17
reversal_up,2022-09-12,2022-09-13,2,28542.11,28614.63,0.25,3.34,3.58,-2.33,1.07
high_vol,2022-09-14,2022-09-14,1,27818.62,27818.62,0.0,1.42,1.42,-3.88,1.4
normal,2022-09-15,2022-09-20,3,27875.91,27688.42,-0.67,-2.99,-0.67,-4.26,1.34
high_vol,2022-09-21,2022-09-22,2,27313.13,27153.83,-0.58,-4.55,-2.39,-5.19,1.43
normal,2022-09-26,2022-10-03,6,26431.55,26215.79,-0.82,-5.47,-0.82,-9.36,1.29
high_vol,2022-10-04,2022-10-12,6,26992.21,26396.83,-2.21,-2.21,4.55,-7.75,1.67
crash,2022-10-13,2022-10-13,1,26237.42,26237.42,0.0,-3.26,-3.26,-8.31,1.59
normal,2022-10-14,2022-10-14,1,27090.76,27090.76,0.0,-0.81,-0.81,-2.82,1.88
high_vol,2022-10-17,2022-10-17,1,26775.79,26775.79,0.0,-1.26,-1.26,-3.95,1.8
normal,2022-10-18,2022-10-27,8,27156.14,27345.24,0.7,-0.74,3.26,-1.92,1.51
stable,2022-10-28,2022-10-28,1,27105.2,27105.2,0.0,0.8,0.8,-1.19,0.88
normal,2022-10-31,2022-11-21,15,27587.46,27944.79,1.3,-1.29,3.91,-1.73,1.16
uptrend,2022-11-22,2022-11-25,3,28115.74,28283.03,0.6,0.45,1.27,-0.52,1.13
stable,2022-11-28,2022-11-28,1,28162.83,28162.83,0.0,0.94,0.94,-0.78,0.57
uptrend,2022-11-29,2022-11-29,1,28027.84,28027.84,0.0,0.3,0.3,-1.25,0.47
stable,2022-11-30,2022-12-19,14,27968.99,27237.64,-2.61,-2.31,1.73,-4.04,0.75
normal,2022-12-20,2022-12-26,5,26568.03,26405.87,-0.61,-6.28,-3.05,-7.05,1.11
settling,2022-12-27,2022-12-29,3,26447.87,26093.67,-1.34,-1.56,-0.18,-7.33,1.02
downtrend,2022-12-30,2023-01-17,10,26094.5,26138.68,0.17,-2.61,2.85,-8.66,0.85
normal,2023-01-18,2023-02-10,18,26791.12,27670.98,3.28,-0.18,4.44,-1.64,0.9
uptrend,2023-02-13,2023-02-14,2,27427.32,27602.77,0.64,-0.96,-0.3,-0.96,0.45
normal,2023-02-15,2023-02-15,1,27501.86,27501.86,0.0,-0.38,-0.38,-0.69,0.48
uptrend,2023-02-16,2023-02-17,2,27696.44,27513.13,-0.66,-0.57,0.41,-0.66,0.55
stable,2023-02-20,2023-03-08,12,27531.94,28444.19,3.31,-1.45,3.37,-2.14,0.74
uptrend,2023-03-09,2023-03-09,1,28623.15,28623.15,0.0,4.09,4.09,0.0,0.59
stable,2023-03-10,2023-03-13,2,28143.97,27832.96,-1.11,-1.43,0.78,-2.76,0.91
normal,2023-03-14,2023-03-28,10,27222.04,27518.25,1.09,-5.63,2.12,-5.86,1.23
settling,2023-03-29,2023-03-30,2,27883.78,27782.93,-0.36,1.33,1.52,-2.94,1.02
normal,2023-03-31,2023-03-31,1,28041.48,28041.48,0.0,2.4,2.4,-2.03,0.98
stable,2023-04-03,2023-04-10,6,28188.15,27633.66,-1.97,-1.97,2.8,-4.02,0.87
normal,2023-04-11,2023-04-11,1,27923.37,27923.37,0.0,-1.29,-1.29,-1.29,0.97
stable,2023-04-12,2023-04-12,1,28082.7,28082.7,0.0,0.97,0.97,-0.72,0.9
uptrend,2023-04-13,2023-04-25,9,28156.97,28620.07,1.64,-0.14,3.54,-0.46,0.68
stable,2023-04-26,2023-04-28,3,28416.47,28856.44,1.55,-0.7,1.02,-0.85,0.52
uptrend,2023-05-01,2023-06-06,24,29123.18,32506.78,11.62,0.01,4.97,-1.41,0.74
normal,2023-06-07,2023-06-08,2,31913.74,31641.27,-0.85,1.58,3.32,-2.66,1.23
overheated_range,2023-06-09,2023-06-12,2,32265.17,32434.0,0.52,0.67,2.35,-0.74,1.37
surge,2023-06-13,2023-06-13,1,33018.65,33018.65,0.0,1.57,1.57,0.0,1.43
overheated_range,2023-06-14,2023-06-16,3,33502.42,33706.08,0.61,4.47,5.83,-0.05,1.29
normal,2023-06-19,2023-06-20,2,33370.42,33388.91,0.06,1.12,2.89,-1.0,1.27
settling,2023-06-21,2023-06-26,4,33575.14,32698.81,-2.61,-2.74,0.22,-2.99,1.04
uptrend,2023-06-27,2023-06-27,1,32538.33,32538.33,0.0,-2.55,-2.55,-3.46,0.88
settling,2023-06-28,2023-06-28,1,33193.99,33193.99,0.0,-1.14,-1.14,-1.52,1.0
uptrend,2023-06-29,2023-07-03,3,33234.14,33753.33,1.56,-0.09,3.22,-1.53,1.02
normal,2023-07-04,2023-07-04,1,33422.52,33422.52,0.0,2.72,2.72,-0.98,1.13
uptrend,2023-07-05,2023-07-05,1,33338.7,33338.7,0.0,0.44,0.44,-1.23,1.12
normal,2023-07-06,2023-07-11,4,32773.02,32203.57,-1.74,-4.63,-1.39,-4.63,1.19
stable,2023-07-12,2023-07-12,1,31943.93,31943.93,0.0,-4.18,-4.18,-5.36,0.93
normal,2023-07-13,2023-07-14,2,32419.33,32391.26,-0.09,-1.08,0.01,-4.04,1.1
stable,2023-07-18,2023-07-18,1,32493.89,32493.89,0.0,0.94,0.94,-3.73,0.9
normal,2023-07-19,2023-07-20,2,32896.03,32490.52,-1.23,1.71,2.15,-3.74,1.03
stable,2023-07-21,2023-08-01,8,32304.25,33476.58,3.63,-0.69,2.43,-4.29,0.89
normal,2023-08-02,2023-08-07,4,32707.69,32254.56,-1.39,-2.77,0.12,-3.93,1.16
reversal_down,2023-08-08,2023-08-08,1,32377.29,32377.29,0.0,-3.28,-3.28,-3.28,1.12
normal,2023-08-09,2023-08-16,5,32204.33,31766.82,-1.36,-1.89,0.98,-5.11,1.13
downtrend,2023-08-17,2023-08-18,2,31626.0,31450.76,-0.55,-3.15,-1.8,-6.05,0.83
stable,2023-08-21,2023-08-24,4,31565.64,32287.21,2.29,-1.54,2.09,-5.71,0.85
downtrend,2023-08-25,2023-08-25,1,31624.28,31624.28,0.0,0.55,0.55,-5.53,1.06
normal,2023-08-28,2023-09-04,6,32169.99,32939.18,2.39,1.01,3.44,-3.9,1.05
stable,2023-09-05,2023-09-06,2,33036.76,33241.02,0.62,2.51,2.81,0.0,0.97
normal,2023-09-07,2023-09-07,1,32991.08,32991.08,0.0,1.14,1.14,-0.75,1.01
stable,2023-09-08,2023-09-14,5,32606.84,33168.1,1.72,-1.61,0.54,-2.33,0.74
normal,2023-09-15,2023-09-15,1,33533.09,33533.09,0.0,2.84,2.84,0.0,0.85
uptrend,2023-09-19,2023-09-20,2,33242.59,33023.78,-0.66,0.75,2.39,-1.52,0.92
normal,2023-09-21,2023-09-22,2,32571.03,32402.41,-0.52,-2.31,-0.41,-3.37,0.99
uptrend,2023-09-25,2023-09-25,1,32678.62,32678.62,0.0,-2.55,-2.55,-2.55,0.97
normal,2023-09-26,2023-09-26,1,32315.05,32315.05,0.0,-2.79,-2.79,-3.63,1.02
stable,2023-09-27,2023-09-27,1,32371.9,32371.9,0.0,-1.97,-1.97,-3.46,0.97
normal,2023-09-28,2023-09-28,1,31872.52,31872.52,0.0,-2.14,-2.14,-4.95,1.07
stable,2023-09-29,2023-10-02,2,31857.62,31759.88,-0.31,-2.81,-1.68,-5.29,0.82
normal,2023-10-03,2023-10-06,4,31237.94,30994.67,-0.78,-5.7,-2.5,-8.96,1.06
high_vol,2023-10-10,2023-10-23,10,31746.53,30999.55,-2.35,-3.27,6.45,-5.59,1.55
normal,2023-10-24,2023-10-25,2,31062.35,31269.92,0.67,-3.05,-2.41,-4.41,1.23
downtrend,2023-10-26,2023-10-26,1,30601.78,30601.78,0.0,-2.64,-2.64,-5.83,1.16
normal,2023-10-27,2023-11-02,5,30991.69,31949.89,3.09,-0.98,4.41,-5.53,1.27
surge,2023-11-06,2023-11-07,2,32708.48,32271.82,-1.34,5.13,5.54,-1.34,1.48
high_vol,2023-11-08,2023-11-09,2,32166.48,32646.46,1.49,3.31,4.24,-1.66,1.55
normal,2023-11-10,2023-11-17,6,32568.11,33585.2,3.12,-0.38,4.21,-0.43,1.28
settling,2023-11-20,2023-11-20,1,33388.03,33388.03,0.0,2.46,2.46,-0.59,1.1
normal,2023-11-21,2023-11-21,1,33354.14,33354.14,0.0,2.01,2.01,-0.69,0.97
uptrend,2023-11-22,2023-12-04,8,33451.83,33231.27,-0.66,-0.65,0.6,-1.17,0.72
normal,2023-12-05,2023-12-05,1,32775.82,32775.82,0.0,-1.89,-1.89,-2.53,0.57
uptrend,2023-12-06,2023-12-06,1,33445.9,33445.9,0.0,0.37,0.37,-0.53,0.91
normal,2023-12-07,2023-12-22,12,32858.31,33169.05,0.95,-3.36,2.28,-3.92,1.23
stable,2023-12-25,2023-12-26,2,33254.03,33305.85,0.16,0.26,1.51,-1.25,0.95
normal,2023-12-27,2023-12-27,1,33681.24,33681.24,0.0,0.02,0.02,0.0,1.0
stable,2023-12-28,2024-01-09,5,33539.62,33763.18,0.67,0.1,1.2,-1.17,0.9
uptrend,2024-01-10,2024-01-17,6,34441.72,35477.75,3.01,2.69,7.56,-1.18,0.94
settling,2024-01-18,2024-01-18,1,35466.17,35466.17,0.0,1.19,1.19,-1.21,1.01
uptrend,2024-01-19,2024-01-19,1,35963.27,35963.27,0.0,1.09,1.09,0.0,0.96
settling,2024-01-22,2024-01-24,3,36546.95,36226.48,-0.88,1.8,2.52,-0.88,1.01
uptrend,2024-01-25,2024-01-25,1,36236.47,36236.47,0.0,2.17,2.17,-0.85,0.94
settling,2024-01-26,2024-01-26,1,35751.07,35751.07,0.0,-0.59,-0.59,-2.18,0.98
uptrend,2024-01-29,2024-02-13,11,36026.94,37963.97,5.38,-1.42,4.43,-1.47,0.87
normal,2024-02-14,2024-02-15,2,37703.32,38157.94,1.21,4.27,5.64,-0.69,1.2
uptrend,2024-02-16,2024-02-19,2,38487.24,38470.38,-0.04,4.26,4.41,-0.04,1.14
normal,2024-02-20,2024-02-20,1,38363.61,38363.61,0.0,1.05,1.05,-0.32,1.19
settling,2024-02-21,2024-02-21,1,38262.16,38262.16,0.0,1.48,1.48,-0.58,1.16
normal,2024-02-22,2024-02-22,1,39098.68,39098.68,0.0,2.47,2.47,0.0,1.24
settling,2024-02-26,2024-02-26,1,39233.71,39233.71,0.0,1.94,1.94,0.0,1.16
overheated_range,2024-02-27,2024-02-27,1,39239.52,39239.52,0.0,2.0,2.0,0.0,1.16
uptrend,2024-02-28,2024-03-12,10,39208.03,38797.51,-1.05,-3.24,2.36,-3.27,0.91
normal,2024-03-13,2024-03-14,2,38695.97,38807.38,0.29,-3.48,-2.0,-3.52,1.07
stable,2024-03-15,2024-03-15,1,38707.64,38707.64,0.0,-2.47,-2.47,-3.49,0.81
normal,2024-03-18,2024-03-19,2,39740.44,40003.6,0.66,2.37,3.11,-0.92,1.24
surge,2024-03-21,2024-03-21,1,40815.66,40815.66,0.0,5.48,5.48,0.0,1.41
normal,2024-03-22,2024-03-22,1,40888.43,40888.43,0.0,5.36,5.36,0.0,1.32
high_vol,2024-03-25,2024-03-25,1,40414.12,40414.12,0.0,4.41,4.41,-1.16,1.4
settling,2024-03-26,2024-03-27,2,40398.03,40762.73,0.9,1.65,1.9,-1.2,1.14
normal,2024-03-28,2024-03-29,2,40168.07,40369.44,0.5,-1.59,-1.27,-1.76,1.28
high_vol,2024-04-01,2024-04-01,1,39803.09,39803.09,0.0,-1.51,-1.51,-2.65,1.39
settling,2024-04-02,2024-04-02,1,39838.91,39838.91,0.0,-1.38,-1.38,-2.57,1.11
normal,2024-04-03,2024-04-03,1,39451.85,39451.85,0.0,-3.22,-3.22,-3.51,1.13
stable,2024-04-04,2024-04-04,1,39773.14,39773.14,0.0,-0.98,-0.98,-2.73,0.91
normal,2024-04-05,2024-04-12,6,38992.08,39523.55,1.36,-3.41,1.36,-4.64,1.08
stable,2024-04-15,2024-04-15,1,39232.8,39232.8,0.0,-0.29,-0.29,-4.05,0.96
normal,2024-04-16,2024-04-22,5,38471.2,37438.61,-2.68,-6.21,-3.27,-9.06,1.15
settling,2024-04-23,2024-04-23,1,37552.16,37552.16,0.0,-2.39,-2.39,-7.88,1.13
high_vol,2024-04-24,2024-05-10,10,38460.08,38229.11,-0.6,-1.18,3.21,-6.79,1.54
normal,2024-05-13,2024-05-13,1,38179.46,38179.46,0.0,-0.15,-0.15,-3.4,1.17
stable,2024-05-14,2024-05-31,14,38356.06,38487.9,0.34,-2.68,2.33,-2.95,0.86
normal,2024-06-03,2024-06-05,3,38923.03,38490.17,-1.11,-0.17,0.06,-1.57,1.0
stable,2024-06-06,2024-06-26,15,38703.51,39667.07,2.49,-2.4,2.84,-2.64,0.83
uptrend,2024-06-27,2024-06-27,1,39341.54,39341.54,0.0,1.83,1.83,-0.82,0.92
stable,2024-06-28,2024-07-01,2,39583.08,39631.06,0.12,2.13,2.56,-0.21,0.77
uptrend,2024-07-02,2024-07-11,8,40074.69,42224.02,5.36,2.3,4.0,-0.32,0.71
normal,2024-07-12,2024-07-12,1,41190.68,41190.68,0.0,0.68,0.68,-2.45,1.21
overheated_range,2024-07-16,2024-07-16,1,41275.08,41275.08,0.0,1.21,1.21,-2.25,1.2
normal,2024-07-17,2024-07-17,1,41097.69,41097.69,0.0,-1.16,-1.16,-2.67,1.2
high_vol,2024-07-18,2024-07-18,1,40126.35,40126.35,0.0,-4.08,-4.08,-4.97,1.4
normal,2024-07-19,2024-07-19,1,40063.79,40063.79,0.0,-5.12,-5.12,-5.12,1.36
high_vol,2024-07-22,2024-07-23,2,39599.0,39594.39,-0.01,-4.07,-3.86,-6.23,1.39
normal,2024-07-24,2024-07-26,3,39154.85,37667.41,-3.8,-5.98,-4.73,-10.79,1.23
crash,2024-07-29,2024-07-30,2,38468.63,38525.95,0.15,-2.85,-2.7,-8.89,1.47
high_vol,2024-07-31,2024-07-31,1,39101.82,39101.82,0.0,-0.14,-0.14,-7.39,1.62
crash,2024-08-01,2024-08-09,7,38126.33,35025.0,-8.13,-18.22,0.68,-25.5,4.51
capitulation_end,2024-08-13,2024-08-14,2,36232.51,36442.43,0.58,5.1,15.18,-12.22,5.9
crash,2024-08-15,2024-08-15,1,36726.64,36726.64,0.0,4.67,4.67,-8.47,5.88
high_vol,2024-08-16,2024-08-29,10,38062.67,38362.53,0.79,0.4,9.28,-5.58,2.6
normal,2024-08-30,2024-09-03,3,38647.75,38686.31,0.1,0.74,1.55,-0.04,0.69
high_vol,2024-09-04,2024-09-05,2,37047.61,36657.09,-1.05,-4.45,-3.45,-5.28,1.46
crash,2024-09-06,2024-09-10,3,36391.47,36159.16,-0.64,-6.53,-5.84,-6.57,1.41
high_vol,2024-09-11,2024-09-25,9,35619.77,37870.26,6.32,-3.85,4.6,-7.96,1.68
surge,2024-09-26,2024-09-27,2,38925.63,39829.56,2.32,7.0,7.2,0.0,1.6
high_vol,2024-09-30,2024-10-10,9,37919.55,39380.89,3.85,-3.0,3.89,-5.07,2.33
