sector,count,mean_realized_return_pct,median_realized_return_pct,std_realized_return_pct,positive_ratio,top1_positive_share,top3_positive_share,avg_score,avg_trend_r2,avg_end_to_high_pct
非鉄金属,32,13.023686010946802,3.5021292353267897,46.78152985585877,0.59375,0.48506194707699796,0.6503755320095701,0.4967648199807514,0.48435194115598823,74.0588222054698
情報・通信業,580,12.647859478036922,7.558533004246904,21.07415782192222,0.7310344827586207,0.022231499011157757,0.04798304936691984,0.48775100816975914,0.379724751665008,73.80793410824094
倉庫・運輸関連業,31,11.082927111084773,6.686046511627897,17.01862305386468,0.7419354838709677,0.178084089522675,0.4540499167534236,0.588575066222154,0.4159470025926587,83.07250606776039
保険業,13,10.817357383793913,5.38023797206415,18.59145962462636,0.6923076923076923,0.3497567036234418,0.7360351795538301,0.5635930732677848,0.37817981710355586,75.31476563195659
ガラス・土石製品,51,10.599250552828256,4.910714285714279,27.094785923934037,0.6862745098039216,0.27267384153599966,0.4194701132961431,0.46688153643381197,0.325582905821774,76.36003712539092
電気機器,226,10.294157092503644,5.626891082918584,20.039310036434614,0.6637168141592921,0.031267030076272455,0.08337004732099285,0.4474410716129829,0.4654335679767689,71.78741783098947
小売業,321,10.067653932782179,4.2654028436019065,25.723689445685803,0.7040498442367601,0.0779169303151778,0.15055374301306304,0.4969889813910096,0.40678464029170563,79.18640841353087
建設業,141,9.342898880268011,7.155025553662697,13.691776050169487,0.7801418439716312,0.052500450752660764,0.1184113700926265,0.5771166166893819,0.35652766107714906,84.8842457237224
サービス業,518,9.251617202653247,3.8649504430003034,32.47961365806001,0.6776061776061776,0.07091076157536075,0.1712080103528799,0.48086839210247234,0.3831984943747053,74.76226469156467
輸送用機器,86,8.629178834381245,1.1251967088796277,22.51357441378143,0.5697674418604651,0.11931880314054283,0.3241683975365324,0.45042961595534536,0.4204032363720409,75.83630270842094
卸売業,285,8.096536535450282,4.444444444444451,23.19210083037544,0.7087719298245614,0.11031765877911441,0.18905271203240262,0.5111840551553223,0.35885376271606495,80.83542477023073
精密機器,48,7.6317823284605995,-0.5417183669763681,19.96761185135449,0.4791666666666667,0.14688912871119206,0.39067434369924164,0.44827838641680956,0.36694235847970286,73.07527095008139
