sector,count,mean_realized_return_pct,median_realized_return_pct,std_realized_return_pct,positive_ratio,top1_positive_share,top3_positive_share,avg_score,avg_trend_r2,avg_end_to_high_pct
機械,214,7.1106997389947555,4.412719013627509,16.25832391685852,0.5934579439252337,0.03750793480815011,0.09740151477688934,0.45996393943322794,0.40360374263664434,75.63047032060784
不動産業,129,5.654998035654844,3.1088082901554515,14.209040074446294,0.6511627906976745,0.06965151758666317,0.16383452217563624,0.5684695514815782,0.3533826022483858,82.57523770028314
医薬品,79,4.916631158238074,0.6211180124223503,21.235598241065485,0.5443037974683544,0.10197499647512434,0.29155614004883573,0.4541774712449877,0.3692334424091815,67.03708062148728
陸運業,56,4.8586335789262645,1.5741971908986074,12.643881382756204,0.5535714285714286,0.15070849350478194,0.3115937578141833,0.5558854045079126,0.3843847823910168,84.20136901315648
繊維製品,46,4.398510361146953,2.026560883063122,11.911981699336998,0.5869565217391305,0.1367208478644561,0.3303079507108554,0.6096071577503934,0.43527001441231855,84.98158052103466
その他製品,106,3.9847454736622576,1.5712845768779737,14.934850542980886,0.6037735849056604,0.10725604841635013,0.25810946176477545,0.5295644699014159,0.3883114520555576,80.47817388799211
パルプ・紙,24,3.835144517564135,0.19218502180570196,11.422728910321979,0.5,0.3305096990441749,0.6004735784098404,0.47585909185050884,0.33699773446464704,79.00458040549748
食料品,119,3.645041066852292,1.8039215686274535,12.198815721794137,0.5798319327731093,0.08593392388365957,0.2290237156569069,0.5537920346571054,0.345008188097312,84.16063934179893
-,6,3.508865836416957,-0.7627181763333379,10.80369107124078,0.5,0.7727721169244478,1.0,0.42633492141804913,0.23091191314678006,82.4716281810558
化学,205,3.422526104383816,1.4175257731958713,12.398792702896062,0.5463414634146342,0.044712677669167596,0.12665582153235772,0.47394412750336384,0.3658601849349778,78.12852742597025
その他金融業,38,3.4015934747433003,1.745681335649485,12.307319951217663,0.5526315789473685,0.13390927495808583,0.3170886192150969,0.5146473612240325,0.3483128614302554,82.54608328047298
金属製品,85,3.154381041902981,1.5668943350743314,9.188819675428768,0.611764705882353,0.07537896695965213,0.20775535154428137,0.4953447506006185,0.4281040489568604,79.64305661554215
銀行業,78,2.75493564212816,1.1490833764219666,9.60194170347227,0.5769230769230769,0.08300428669242539,0.22567484834224297,0.6334934758784927,0.25713122973679414,87.31161681807588
証券、商品先物取引業,36,2.6584541442468477,2.207096926435015,11.126197521348413,0.6111111111111112,0.14258800889385723,0.42010427494812097,0.47607043712477437,0.3063946193101961,76.01609349925187
ゴム製品,17,2.0344627293593445,0.5425935973955465,6.9993092547223545,0.5882352941176471,0.24252798654258045,0.5589106029664322,0.5538772343793351,0.35089663894904466,84.78172945337717
電気・ガス業,28,1.5763034593388998,1.1094995343016945,8.010579265427973,0.6071428571428571,0.18362526974629342,0.4922045378484075,0.48775585207540123,0.40499419294708616,75.08415135409503
海運業,11,0.9125634336215789,1.5045135406218657,9.815280630269278,0.6363636363636364,0.5039792660984934,0.8381244426154433,0.4926516650438677,0.4200370457044427,80.49841960298342
水産・農林業,12,0.644410180331285,-2.3170258202290848,7.705794001478438,0.3333333333333333,0.3976956468258062,0.9238417643286443,0.6194199877974766,0.3114372922378548,89.87574282628287
空運業,5,0.07466144433824233,0.0,9.251377795569216,0.4,0.8930371976742324,1.0,0.44370076768750827,0.462360350982051,79.65677851967929
鉄鋼,39,-0.6361658055236469,0.248667850799289,9.596274139264676,0.5128205128205128,0.18666979099429262,0.4631981003041207,0.5135031323554227,0.3971041869121481,80.61015528995537
石油・石炭製品,10,-3.4254642571313987,-3.8918578686071186,6.555889732127872,0.3,0.7773628584810746,1.0,0.39678475451775064,0.38094905412888896,75.07298135230693
鉱業,5,-3.596442888395186,-4.904266039637218,9.079801257011209,0.2,1.0,1.0,0.4655995307080098,0.4148380542175805,68.01799484074488
