name,trend_r2_min,annual_min,quarter_min,pmr_min,persist_min,dd_max,avg_range_max,end_high_min,sector_min,per_max,sort_col,sort_asc,top_n,entry,tp,sl,final_capital,ret_pct,num_buys,num_sells,max_dd_pct,selected_count
ocr_per_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,30,0.5,4,3,3718205.495941163,23.940183198038767,20,20,-4.957678342217253,30
sector_adjusted_per_score_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,15,0.5,3,3,3716662.0000000014,23.88873333333339,11,11,-1.9264457049105288,15
sector_adjusted_per_score_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,10,1.0,3,3,3709247.0,23.64156666666666,7,7,-1.930401947351823,10
sector_adjusted_per_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,20,1.5,5,4,3705533.7500000014,23.51779166666672,9,9,-7.108297716535239,20
sector_adjusted_per_score_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,15,1.0,3,3,3704343.0,23.47809999999999,9,9,-1.9330273954632937,15
sector_adjusted_per_score_top12,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,12,1.0,3,3,3701792.0,23.393066666666673,8,8,-1.9343959467050365,12
ocr_per_top30,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,ocr_per,True,30,1.5,5,4,3693205.500000001,23.106850000000033,12,12,-7.1325619589404194,30
sector_adjusted_per_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,20,1.0,3,3,3689264.5,22.975483333333322,10,10,-1.9411448772225892,20
sector_adjusted_per_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,20,0.5,3,3,3684754.500000001,22.82515000000003,12,12,-2.093909186114107,20
sector_adjusted_per_score_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,15,0.5,4,3,3664010.000000001,22.133666666666695,11,11,-2.3515986036784398,15
sector_adjusted_per_score_top10,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,10,0.5,5,4,3655065.000000001,21.83550000000003,8,8,-3.9437102798846047,10
sector_adjusted_per_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,20,0.5,4,3,3654053.500000001,21.801783333333358,12,12,-2.75069308993956,20
sector_adjusted_per_score_top15,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,15,0.5,5,4,3644229.000000001,21.474300000000035,11,11,-3.1897033953639187,15
sector_adjusted_per_score_top20,0.35,0.0,-10.0,35.0,35.0,18.0,14.0,88.0,0.35,18.0,sector_adjusted_per_score,False,20,0.5,5,4,3641672.500000001,21.38908333333336,12,12,-3.3479465678861398,20
