date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,signal_basis_date,reason,nikkei_phase,rule_name
2026-01-05,8600.T,銀行/地方銀行,銀行業,BUY,795.7599999999999,100,2920424.0,0.5291932894233955,2025-12-30,buy_breakout_up,normal,condition2
2026-01-05,6343.T,機械/住宅建設,機械,BUY,167.475,900,2769696.5,0.49586851457686765,2025-12-30,buy_breakout_up,normal,condition2
2026-01-05,3289.T,225/不動産,不動産業,BUY,1450.435,100,2624653.0,0.4858378749320349,2025-12-30,buy_breakout_up,normal,condition2
2026-01-05,6379.T,建設/燃料・資源,建設業,BUY,2469.495,100,2377703.5,0.47820832456440227,2025-12-30,buy_breakout_up,normal,condition2
2026-01-05,4043.T,225/化学,化学,BUY,4184.844999999999,100,1959219.0,0.44905039654375545,2025-12-30,buy_breakout_up,normal,condition2
2026-01-05,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,825.0,500,1546719.0,0.4423351584221603,2025-12-30,buy_breakout_up,normal,condition2
2026-01-05,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,754.0,600,1094319.0,0.4296490929254667,2025-12-30,buy_breakout_up,normal,condition2
2026-01-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1080.975,300,770026.5,0.4283291544696102,2026-01-05,buy_breakout_up,normal,condition2
2026-01-06,9405.T,大幅増額/情報通信,情報・通信業,BUY,860.7199999999999,400,425738.50000000006,0.4228488841200132,2026-01-05,buy_breakout_up,normal,condition2
2026-01-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1070.0,300,746738.5,0.39715183656746,2026-01-08,sell_signal,normal,condition2
2026-01-09,7722.T,精密機器/自動車部品,精密機器,BUY,967.295,700,69632.0,0.5978049775517942,2026-01-08,buy_breakout_up,normal,condition2
2026-01-15,7722.T,精密機器/自動車部品,精密機器,SELL,1047.0,700,802532.0,0.6944526248983689,2026-01-14,take_profit,normal,condition2
2026-01-15,3020.T,増額/小売,小売業,BUY,4389.875,100,363544.5,0.42701273627714575,2026-01-14,buy_breakout_up,normal,condition2
2026-01-16,8600.T,銀行/地方銀行,銀行業,SELL,868.0,100,450344.5,0.0,2026-01-15,take_profit,surge,no_trade
2026-01-16,6343.T,機械/住宅建設,機械,SELL,178.0,900,610544.5,0.0,2026-01-15,sell_signal,surge,no_trade
2026-01-16,3289.T,225/不動産,不動産業,SELL,1495.0,100,760044.5,0.0,2026-01-15,sell_signal,surge,no_trade
2026-01-16,6379.T,建設/燃料・資源,建設業,SELL,2551.0,100,1015144.5,0.0,2026-01-15,sell_signal,surge,no_trade
2026-01-16,4043.T,225/化学,化学,SELL,4399.0,100,1455044.5,0.0,2026-01-15,sell_signal,surge,no_trade
2026-01-16,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,874.0,500,1892044.5,0.0,2026-01-15,sell_signal,surge,no_trade
2026-01-16,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,835.0,600,2393044.5,0.0,2026-01-15,take_profit,surge,no_trade
2026-01-16,9405.T,大幅増額/情報通信,情報・通信業,SELL,864.0,400,2738644.5,0.0,2026-01-15,sell_signal,surge,no_trade
2026-01-16,3020.T,増額/小売,小売業,SELL,4350.0,100,3173644.5,0.0,2026-01-15,sell_signal,surge,no_trade
2026-01-23,8600.T,銀行/地方銀行,銀行業,BUY,875.9449999999999,100,3086050.0,0.6187117162077693,2026-01-22,buy_breakout_up,normal,condition2
2026-01-23,6343.T,機械/住宅建設,機械,BUY,180.67,700,2959581.0,0.562610276917546,2026-01-22,buy_breakout_up,normal,condition2
2026-01-23,9063.T,陸運/陸運,陸運業,BUY,4285.0,100,2531081.0,0.45701952853547645,2026-01-22,buy_breakout_up,normal,condition2
2026-01-23,1879.T,建設/建設・土木,建設業,BUY,2124.395,300,1893762.5,0.43090991414284924,2026-01-22,buy_breakout_up,normal,condition2
2026-01-26,8600.T,銀行/地方銀行,銀行業,SELL,852.0,100,1978962.5,0.0,2026-01-23,sell_signal,high_vol,no_trade
2026-01-26,6343.T,機械/住宅建設,機械,SELL,175.0,700,2101462.5,0.0,2026-01-23,sell_signal,high_vol,no_trade
2026-01-26,9063.T,陸運/陸運,陸運業,SELL,4315.0,100,2532962.5,0.0,2026-01-23,sell_signal,high_vol,no_trade
2026-01-26,1879.T,建設/建設・土木,建設業,SELL,2051.0,300,3148262.5,0.0,2026-01-23,sell_signal,high_vol,no_trade
2026-01-30,7235.T,輸送用機器/自動車部品,輸送用機器,BUY,1643.2849999999999,100,2983934.0,0.590080001453314,2026-01-29,buy_breakout_up,uptrend,condition2
2026-01-30,6343.T,機械/住宅建設,機械,BUY,182.7,900,2819504.0,0.5511062158749717,2026-01-29,buy_breakout_up,uptrend,condition2
2026-01-30,9906.T,卸売/設備機器・部品,卸売業,BUY,4283.299999999999,100,2391174.0,0.49246826452587394,2026-01-29,buy_breakout_up,uptrend,condition2
2026-02-02,1938.T,建設/設備工事,建設業,BUY,2328.0,200,1925574.0,0.44208259857431664,2026-01-30,buy_breakout_up,uptrend,condition2
2026-02-02,3352.T,小売/他消費財小売り,小売業,BUY,1650.0,300,1430574.0,0.4148972146349676,2026-01-30,buy_breakout_up,uptrend,condition2
2026-02-02,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3176.95,200,795184.0,0.39953278231423134,2026-01-30,buy_breakout_up,uptrend,condition2
2026-02-02,9405.T,大幅増額/情報通信,情報・通信業,BUY,842.4499999999999,900,36979.00000000012,0.36608068921167747,2026-01-30,buy_breakout_up,uptrend,condition2
2026-02-03,9405.T,大幅増額/情報通信,情報・通信業,SELL,844.0,900,796579.0000000001,0.3824841034984429,2026-02-02,sell_signal,normal,condition2
2026-02-03,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,3950.0,100,401579.0000000001,0.4453063241977773,2026-02-02,buy_breakout_up,normal,condition2
2026-02-04,3289.T,225/不動産,不動産業,BUY,1477.84,100,253795.00000000012,0.4350569528654446,2026-02-03,buy_breakout_up,normal,condition2
2026-02-05,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1084.0,200,36995.00000000012,0.3651726030277763,2026-02-04,buy_breakout_up,normal,condition2
2026-02-06,1938.T,建設/設備工事,建設業,SELL,2526.0,200,542195.0000000001,0.4818995578602524,2026-02-05,take_profit,normal,condition2
2026-02-09,7235.T,輸送用機器/自動車部品,輸送用機器,SELL,1728.0,100,714995.0000000001,0.0,2026-02-06,sell_signal,surge,no_trade
2026-02-09,6343.T,機械/住宅建設,機械,SELL,193.0,900,888695.0000000001,0.0,2026-02-06,sell_signal,surge,no_trade
2026-02-09,9906.T,卸売/設備機器・部品,卸売業,SELL,4300.0,100,1318695.0,0.0,2026-02-06,sell_signal,surge,no_trade
2026-02-09,3352.T,小売/他消費財小売り,小売業,SELL,1685.0,300,1824195.0,0.0,2026-02-06,sell_signal,surge,no_trade
2026-02-09,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3385.0,200,2501195.0,0.0,2026-02-06,sell_signal,surge,no_trade
2026-02-09,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,4260.0,100,2927195.0,0.0,2026-02-06,sell_signal,surge,no_trade
2026-02-09,3289.T,225/不動産,不動産業,SELL,1494.0,100,3076595.0,0.0,2026-02-06,sell_signal,surge,no_trade
2026-02-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1093.0,200,3295195.0,0.0,2026-02-06,sell_signal,surge,no_trade
2026-02-25,4977.T,化学/食品,化学,BUY,1467.6899999999998,100,3148426.0,0.596958193731628,2026-02-24,buy_breakout_up,normal,condition2
2026-02-25,1808.T,225/建設,建設業,BUY,3328.1849999999995,100,2815607.5,0.4856272810897601,2026-02-24,buy_breakout_up,normal,condition2
2026-02-25,3289.T,225/不動産,不動産業,BUY,1546.86,600,1887491.5,0.4381572723253407,2026-02-24,buy_breakout_up,normal,condition2
2026-02-26,4977.T,化学/食品,化学,SELL,1449.0,100,2032391.5,0.0,2026-02-25,sell_signal,settling,no_trade
2026-02-26,1808.T,225/建設,建設業,SELL,3315.0,100,2363891.5,0.0,2026-02-25,sell_signal,settling,no_trade
