nikkei_phase,days,pnl_total,avg_day_pnl
normal,14,297425.0,21244.64285714286
surge,5,55450.0,11090.0
crash,4,0.0,0.0
settling,5,-5600.0,-1120.0
high_vol,13,-16800.0,-1292.3076923076924
uptrend,3,-33883.5,-11294.5
