date,nikkei_phase,equity,pnl_day
2024-07-01,stable,2993161.825073242,-6838.1749267578125
2024-07-02,stable,3014295.1502685547,21133.3251953125
2024-07-03,uptrend,3007528.4998779297,-6766.650390625
2024-07-04,uptrend,2997128.4998779297,-10400.0
2024-07-05,uptrend,2987761.825073242,-9366.6748046875
2024-07-08,uptrend,3028561.825073242,40800.0
2024-07-09,uptrend,3038061.825073242,9500.0
2024-07-10,uptrend,3046395.1502685547,8333.3251953125
2024-07-11,uptrend,3047528.4998779297,1133.349609375
2024-07-12,uptrend,3034095.1502685547,-13433.349609375
2024-07-16,normal,3037428.4998779297,3333.349609375
2024-07-17,overheated_range,3021527.3006591797,-15901.19921875
2024-07-18,normal,2997760.6502685547,-23766.650390625
2024-07-19,normal,2987260.6502685547,-10500.0
2024-07-22,normal,2968227.3006591797,-19033.349609375
2024-07-23,normal,2940460.6502685547,-27766.650390625
2024-07-24,normal,2923160.6502685547,-17300.0
2024-07-25,normal,2835960.6502685547,-87200.0
2024-07-26,normal,2806580.6502685547,-29380.0
2024-07-29,normal,2871080.6502685547,64500.0
2024-07-30,crash,2867359.9856567383,-3720.6646118164062
2024-07-31,crash,2877046.65435791,9686.668701171875
2024-08-01,downtrend,2860546.65435791,-16500.0
2024-08-02,crash,2860546.65435791,0.0
2024-08-05,crash,2860546.65435791,0.0
2024-08-06,crash,2860546.65435791,0.0
2024-08-07,crash,2979525.65435791,118979.0
2024-08-08,crash,3024333.65435791,44808.0
2024-08-09,crash,3063133.65435791,38800.0
2024-08-13,crash,3057693.65435791,-5440.0
2024-08-14,capitulation_end,3079722.15435791,22028.5
2024-08-15,capitulation_end,3045472.15435791,-34250.0
2024-08-16,crash,3135740.15435791,90268.0
2024-08-19,downtrend,3171790.15435791,36050.0
2024-08-20,downtrend,3171790.15435791,0.0
2024-08-21,downtrend,3171790.15435791,0.0
2024-08-22,downtrend,3171790.15435791,0.0
2024-08-23,downtrend,3171790.15435791,0.0
2024-08-26,downtrend,3171790.15435791,0.0
2024-08-27,downtrend,3171790.15435791,0.0
2024-08-28,downtrend,3171790.15435791,0.0
2024-08-29,downtrend,3171790.15435791,0.0
2024-08-30,normal,3192265.15435791,20475.0
2024-09-02,normal,3124550.15435791,-67715.0
2024-09-03,normal,3164050.15435791,39500.0
2024-09-04,normal,3081450.15435791,-82600.0
2024-09-05,normal,3027950.15435791,-53500.0
2024-09-06,normal,3027350.15435791,-600.0
2024-09-09,crash,3014348.8364257812,-13001.317932128906
2024-09-10,crash,3025614.5506591797,11265.714233398438
2024-09-11,crash,2948169.5506591797,-77445.0
2024-09-12,downtrend,2970669.5506591797,22500.0
2024-09-13,downtrend,2970669.5506591797,0.0
2024-09-17,downtrend,2970669.5506591797,0.0
2024-09-18,downtrend,2970669.5506591797,0.0
2024-09-19,downtrend,2970669.5506591797,0.0
2024-09-20,downtrend,2970669.5506591797,0.0
2024-09-24,downtrend,2970669.5506591797,0.0
2024-09-25,downtrend,2970669.5506591797,0.0
2024-09-26,downtrend,2970669.5506591797,0.0
2024-09-27,surge,2970669.5506591797,0.0
2024-09-30,surge,2970669.5506591797,0.0
