dataset,crash_mode,final_capital,total_return_pct,num_buys,max_drawdown_pct
q3,stop_5,3447369.251342775,14.912308378092497,27,-2.9293496069461855
q4,stop_5,3354116.0,11.803866666666663,22,-1.6541483600067353
4q2,stop_5,3295606.5000000005,9.853550000000011,46,-7.957421235117213
q3,stop_8,3447369.251342775,14.912308378092497,27,-2.9293496069461855
q4,stop_8,3354116.0,11.803866666666663,22,-1.6541483600067353
4q2,stop_8,3295606.5000000005,9.853550000000011,46,-7.957421235117213
q3,early,3447369.251342775,14.912308378092497,27,-2.9293496069461855
q4,early,3354116.0,11.803866666666663,22,-1.6541483600067353
4q2,early,3342272.5000000005,11.409083333333347,46,-6.6426023192610035
