date,phase_name,post_major_crash_mode,post_major_phase,post_major_active,sector_mode,sector_top_share,sector_hhi,sector_count,chosen_etf,score_1306,score_1321,score_2516
2024-07-01,stable,False,stable,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-02,stable,False,stable,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-03,uptrend,False,uptrend,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-04,uptrend,False,uptrend,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-05,uptrend,False,uptrend,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-08,uptrend,False,uptrend,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-09,uptrend,False,uptrend,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-10,uptrend,False,uptrend,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-11,uptrend,False,uptrend,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-12,uptrend,False,uptrend,False,dispersed,0.21739130434782608,0.11153119092627602,12,,,,
2024-07-16,normal,False,normal,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-17,overheated_range,False,overheated_range,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-18,normal,False,normal,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-19,normal,False,high_vol,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-22,normal,False,normal,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-23,normal,False,high_vol,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-24,normal,False,high_vol,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-25,normal,False,normal,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-26,normal,False,normal,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-29,normal,False,normal,False,dispersed,0.14814814814814814,0.08916323731138545,14,,,,
2024-07-30,crash,False,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-07-31,crash,False,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-01,downtrend,False,high_vol,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-02,crash,False,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-05,crash,True,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-06,crash,True,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-07,crash,True,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-08,crash,True,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-09,crash,True,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-13,crash,True,crash,False,dispersed,0.13636363636363635,0.08677685950413219,14,,,,
2024-08-14,capitulation_end,True,capitulation_end,True,concentrated,0.6666666666666666,0.5555555555555556,2,2516.T,0.23230706280743108,0.2339389465594326,0.3558958771348456
2024-08-15,capitulation_end,True,capitulation_end,True,concentrated,0.6666666666666666,0.5555555555555556,2,2516.T,0.17633473582435344,0.15804761983884086,0.24277469465969082
2024-08-16,crash,True,crash,False,concentrated,0.6666666666666666,0.5555555555555556,2,,,,
2024-08-19,downtrend,True,high_vol,True,concentrated,0.6666666666666666,0.5555555555555556,2,2516.T,-999.0,-999.0,0.2716502968423764
2024-08-20,downtrend,True,high_vol,True,concentrated,0.6666666666666666,0.5555555555555556,2,2516.T,-999.0,0.17290777585303174,0.2539541163282618
2024-08-21,downtrend,True,high_vol,True,concentrated,0.6666666666666666,0.5555555555555556,2,2516.T,-999.0,-999.0,0.20830688909677397
2024-08-22,downtrend,True,high_vol,True,concentrated,0.6666666666666666,0.5555555555555556,2,2516.T,0.09609973844093656,0.11791891459653658,0.17153581558895825
2024-08-23,downtrend,True,high_vol,True,concentrated,0.6666666666666666,0.5555555555555556,2,1306.T,0.08040285417699744,-999.0,-999.0
2024-08-26,downtrend,True,high_vol,True,concentrated,0.6666666666666666,0.5555555555555556,2,2516.T,-999.0,-999.0,0.16696144103519317
2024-08-27,downtrend,True,high_vol,True,concentrated,0.6666666666666666,0.5555555555555556,2,2516.T,0.03784174977264443,0.05524903707204076,0.20594225226880614
2024-08-28,downtrend,True,high_vol,True,concentrated,0.5,0.375,3,1306.T,0.027346207973844683,-999.0,-999.0
2024-08-29,downtrend,True,high_vol,True,concentrated,0.5,0.375,3,,-999.0,-999.0,-999.0
2024-08-30,normal,True,high_vol,True,concentrated,0.5,0.375,3,,0.023398612854765077,0.023694191315606017,-999.0
2024-09-02,normal,True,normal,True,concentrated,0.5,0.375,3,2516.T,0.02685840691006325,0.033030698784067725,0.0940173198238472
2024-09-03,normal,True,normal,True,concentrated,0.5,0.375,3,,0.034901586747412616,-999.0,0.03517181341625364
2024-09-04,normal,True,normal,True,concentrated,0.5,0.375,3,,-999.0,-999.0,-999.0
2024-09-05,normal,True,high_vol,True,concentrated,0.5,0.375,3,,-999.0,-999.0,-0.0006665151638102218
2024-09-06,normal,True,high_vol,True,concentrated,0.5,0.375,3,,-999.0,-999.0,-999.0
2024-09-09,crash,True,crash,False,concentrated,0.5,0.375,3,,,,
2024-09-10,crash,True,crash,False,concentrated,0.5,0.375,3,,,,
2024-09-11,crash,True,crash,False,concentrated,0.42857142857142855,0.3877551020408163,3,,,,
2024-09-12,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,,-0.019858485781608426,-0.011273635258177594,-999.0
2024-09-13,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,,-999.0,-999.0,-999.0
2024-09-17,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,,-999.0,-999.0,-999.0
2024-09-18,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,,-999.0,-999.0,-999.0
2024-09-19,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,1321.T,0.02202726461270854,0.04088847462615719,0.02049846278549139
2024-09-20,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,2516.T,0.0664236933369734,0.08136935175351201,0.08894360252174882
2024-09-24,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,1321.T,0.04695511376460659,0.06957418329120402,0.056244780376714876
2024-09-25,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,,-999.0,-999.0,-999.0
2024-09-26,downtrend,True,high_vol,True,concentrated,0.42857142857142855,0.3877551020408163,3,1321.T,0.08220012040645097,0.0998250084060246,-999.0
2024-09-27,surge,True,surge,False,dispersed,0.25,0.16666666666666669,8,,,,
2024-09-30,surge,True,surge,False,dispersed,0.3,0.22000000000000003,6,,,,
