date,phase,equity,pnl_day
2025-10-01,uptrend,2982000.0,-18000.0
2025-10-02,uptrend,2974200.0,-7800.0
2025-10-03,uptrend,2974200.0,0.0
2025-10-06,surge,2974200.0,0.0
2025-10-07,surge,2974200.0,0.0
2025-10-08,surge,2974200.0,0.0
2025-10-09,surge,2974200.0,0.0
2025-10-10,surge,2974200.0,0.0
2025-10-14,high_vol,2974200.0,0.0
2025-10-15,high_vol,2974200.0,0.0
2025-10-16,high_vol,2974200.0,0.0
2025-10-17,high_vol,2974200.0,0.0
2025-10-20,high_vol,2974200.0,0.0
2025-10-21,surge,2974200.0,0.0
2025-10-22,high_vol,2961912.0,-12288.0
2025-10-23,high_vol,2948712.0,-13200.0
2025-10-24,high_vol,2971512.0,22800.0
2025-10-27,surge,3020712.0,49200.0
2025-10-28,surge,2975712.0,-45000.0
2025-10-29,surge,2945712.0,-30000.0
2025-10-30,surge,2960712.0,15000.0
2025-10-31,surge,3023712.0,63000.0
2025-11-04,surge,2966712.0,-57000.0
2025-11-05,high_vol,2936712.0,-30000.0
2025-11-06,high_vol,2936712.0,0.0
2025-11-07,high_vol,2936712.0,0.0
2025-11-10,high_vol,2936712.0,0.0
2025-11-11,high_vol,2936712.0,0.0
2025-11-12,high_vol,2936712.0,0.0
2025-11-13,high_vol,2936712.0,0.0
2025-11-14,high_vol,2936712.0,0.0
2025-11-17,normal,2921022.0,-15690.0
2025-11-18,high_vol,2936022.0,15000.0
2025-11-19,high_vol,2936022.0,0.0
2025-11-20,high_vol,2936022.0,0.0
2025-11-21,high_vol,2936022.0,0.0
2025-11-25,high_vol,2936022.0,0.0
2025-11-26,high_vol,2936022.0,0.0
2025-11-27,high_vol,2936022.0,0.0
2025-11-28,high_vol,2936022.0,0.0
2025-12-01,high_vol,2936022.0,0.0
2025-12-02,high_vol,2936022.0,0.0
2025-12-03,normal,2936022.0,0.0
2025-12-04,normal,2936022.0,0.0
2025-12-05,normal,2936022.0,0.0
2025-12-08,normal,2936022.0,0.0
2025-12-09,normal,2936022.0,0.0
2025-12-10,normal,2936022.0,0.0
2025-12-11,normal,2917362.0,-18660.0
2025-12-12,normal,2897362.0,-20000.0
2025-12-15,normal,2929362.0,32000.0
2025-12-16,normal,2905362.0,-24000.0
2025-12-17,normal,2829362.0,-76000.0
2025-12-18,stable,2741362.0,-88000.0
2025-12-19,normal,2741362.0,0.0
2025-12-22,normal,2741362.0,0.0
2025-12-23,normal,2741362.0,0.0
2025-12-24,normal,2741362.0,0.0
2025-12-25,normal,2741362.0,0.0
2025-12-26,normal,2741362.0,0.0
2025-12-29,normal,2741362.0,0.0
2025-12-30,stable,2741362.0,0.0
