group,symbol
4q2,5280.T
4q2,7887.T
4q2,9034.T
4q2,8515.T
4q2,7483.T
4q2,9845.T
4q2,8393.T
4q2,4028.T
4q2,7981.T
4q2,3465.T
4q2,7235.T
4q2,5834.T
4q2,1946.T
4q2,9906.T
4q2,8395.T
4q2,1814.T
4q2,5644.T
4q2,7231.T
4q2,5901.T
4q2,6357.T
4q2,6331.T
4q2,9867.T
4q2,4043.T
4q2,1736.T
4q2,7350.T
4q2,1808.T
4q2,9791.T
4q2,1965.T
4q2,8600.T
4q2,6743.T
4q2,5444.T
4q2,1847.T
4q2,3289.T
4q2,9074.T
4q2,4619.T
4q2,6480.T
4q2,7971.T
4q2,3020.T
4q2,7722.T
4q2,8387.T
4q2,7299.T
4q2,1879.T
4q2,8344.T
4q2,9063.T
4q2,9405.T
4q2,5697.T
4q2,5830.T
4q2,5105.T
4q2,6890.T
4q2,4977.T
4q2,1718.T
4q2,1938.T
4q2,3388.T
4q2,8399.T
4q2,1768.T
4q2,8346.T
4q2,6343.T
4q2,3352.T
4q2,7184.T
4q2,7102.T
4q2,8154.T
4q2,7456.T
4q2,7173.T
4q2,5714.T
4q2,8411.T
4q2,8386.T
4q2,8877.T
4q2,7241.T
4q2,4022.T
4q2,9531.T
4q2,8345.T
4q2,7246.T
4q2,6379.T
4q2,8343.T
4q2,7167.T
