lambda_dd,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
0.75,20,0.61,-0.0075,0.05,0.12,3256031.0685237767,3339782.077184983,0.03722267051609163,4
0.5,20,0.61,-0.0075,0.06,0.1,3226558.617906296,3264593.181882325,0.025356375984019297,4
