lambda_dd,phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
0.5,init,20,0.62,-0.0025,0.06,0.14,3185354.8179709027,3213813.2434374997,0.018972283644398208,4
0.5,bo06,20,0.62,-0.0075,0.06,0.14,3163910.017017496,3197930.1975,0.022680120321669318,4
0.5,bo17,20,0.61,-0.005,0.06,0.14,3162573.499127147,3195864.7462500003,0.022194164748568945,4
0.5,bo18,20,0.61,-0.005,0.06,0.12,3160795.6604574635,3193081.86375,0.021524135528357663,4
0.5,bo07,20,0.62,-0.0075,0.06,0.12,3155644.3497704547,3189847.8581250003,0.022802338903030184,4
0.5,init,20,0.6,-0.0075,0.07,0.12,3140473.7002046993,3169753.7756250002,0.0195200502802006,4
0.5,init,20,0.6,0.0,0.07,0.14,3135835.3039746257,3172120.8125,0.024190339016916088,4
0.5,bo01,20,0.6,-0.0075,0.07,0.14,3134748.311256556,3168317.394375,0.022379388745629086,4
0.5,bo08,20,0.62,-0.01,0.05,0.14,3133607.7977948766,3196216.2975000003,0.041738999803415916,4
0.5,bo05,20,0.64,-0.0025,0.05,0.12,3132738.316312657,3178817.2159156417,0.030719266401989617,4
0.5,bo02,20,0.61,-0.0075,0.06,0.12,3132518.8542290553,3168603.4412499997,0.024056391347296365,4
0.5,bo11,20,0.62,0.0,0.06,0.1,3121484.05846755,3155666.625,0.022788377688300072,4
0.5,bo12,20,0.61,0.0,0.07,0.14,3116434.42393925,3153109.25,0.024449884040499775,4
0.5,init,20,0.61,-0.0075,0.07,0.14,3115054.936682229,3148777.5337500004,0.02248173137851416,4
0.5,bo14,20,0.64,0.0,0.06,0.1,3111730.836755795,3145021.5,0.02219377549613651,4
0.5,bo19,20,0.61,-0.01,0.07,0.14,3106046.7941483073,3140422.525625,0.02291715431779535,4
0.5,init,20,0.6,0.002,0.07,0.12,3105935.408616039,3147420.1722500008,0.027656509089308008,4
0.5,init,20,0.62,-0.0075,0.07,0.14,3100933.223592137,3134691.9215625003,0.022505798646908874,4
0.5,init,20,0.61,-0.01,0.06,0.1,3100824.4069858175,3141304.9537500003,0.0269870311761219,4
0.5,bo09,20,0.61,0.0,0.07,0.1,3092337.25731331,3124503.25,0.02144399512445989,4
0.5,bo04,20,0.63,-0.0075,0.06,0.1,3087035.3386701746,3125268.54875,0.025488806719883843,4
0.5,bo20,20,0.6,-0.005,0.05,0.12,3084568.8934838558,3148721.2534954837,0.04276824000775189,4
0.5,init,20,0.62,-0.01,0.07,0.1,3080330.923623181,3113781.1975,0.02230018258454597,4
0.5,bo15,20,0.61,-0.005,0.07,0.1,3079854.6790199047,3111465.4425000004,0.021073842320063624,4
0.5,bo13,20,0.62,0.002,0.07,0.1,3067250.048663236,3100165.4006250002,0.021943567974509103,4
0.5,init,20,0.64,-0.01,0.05,0.1,3065756.763441494,3109593.453125,0.02922445978900365,4
0.5,init,20,0.6,-0.0075,0.06,0.1,3018249.9915734767,3077010.9134374997,0.03917394790934878,4
0.5,bo10,20,0.63,0.0,0.05,0.1,3001602.068925736,3073992.437789917,0.04826024590945402,4
0.5,bo03,20,0.61,0.0,0.05,0.1,3000061.808079547,3076949.934448242,0.05125875091246347,4
0.5,bo16,20,0.6,0.0,0.05,0.14,2977942.2102230783,3059191.246948242,0.054166024483442786,4
0.75,bo10,20,0.62,0.0,0.06,0.12,3146096.2322555883,3197937.625,0.02304061899751626,4
0.75,init,20,0.62,0.002,0.06,0.12,3139189.4044208694,3195636.599,0.025087642035169166,4
0.75,bo18,20,0.62,0.002,0.06,0.14,3132617.852818284,3196168.5719999997,0.0282447640807624,4
0.75,bo14,20,0.64,-0.0075,0.06,0.1,3112296.739018396,3161238.3150000004,0.02175181154737948,4
0.75,bo07,20,0.63,0.0,0.06,0.1,3108098.166247824,3156807.625,0.02164864833430023,4
0.75,init,20,0.61,0.002,0.07,0.12,3103870.4102712246,3156498.8515,0.023390418323899966,4
0.75,bo17,20,0.61,-0.0025,0.06,0.1,3102797.930572352,3152669.6296875,0.022165199606732695,4
0.75,init,20,0.64,-0.005,0.06,0.1,3099479.274498028,3146599.67875,0.02094240188976533,4
0.75,bo08,20,0.61,-0.005,0.07,0.12,3096847.5050006816,3140366.21625,0.01934164944414148,4
0.75,bo06,20,0.61,-0.01,0.07,0.14,3088858.9284099606,3140422.525625,0.02291715431779535,4
0.75,init,20,0.61,-0.005,0.07,0.14,3088501.5644763717,3140151.2587500005,0.02295541967716839,4
0.75,init,20,0.61,-0.01,0.07,0.12,3086979.5966792405,3131940.5306249997,0.019982637309226663,4
0.75,bo16,20,0.64,-0.01,0.05,0.14,3084919.156584073,3155097.09875,0.031190196518190046,4
0.75,init,20,0.63,-0.005,0.06,0.1,3080806.5051161284,3132912.56125,0.023158247170609568,4
0.75,bo13,20,0.63,-0.0025,0.06,0.1,3078793.0475964714,3132640.075,0.023932012179346252,4
0.75,bo05,20,0.62,-0.005,0.07,0.14,3074054.8847735506,3129944.5862499997,0.02483986732286643,4
0.75,bo15,20,0.61,-0.01,0.07,0.1,3070685.2712643174,3119427.1106249997,0.02166303971585865,4
0.75,bo20,20,0.63,-0.0075,0.07,0.14,3065216.4912673235,3116730.6012500003,0.022895159992301014,4
0.75,bo01,20,0.62,0.002,0.07,0.14,3063271.0817327965,3130933.845375,0.030072339396535044,4
0.75,bo11,20,0.64,0.002,0.07,0.12,3062022.079341816,3114092.4060000004,0.02314236740363756,4
0.75,bo02,20,0.64,-0.0075,0.07,0.14,3059462.3722474836,3109773.6103125,0.02236055025111841,4
0.75,bo12,20,0.62,-0.0025,0.07,0.12,3057816.766662179,3113182.5943750003,0.024607034539031552,4
0.75,bo03,20,0.64,0.002,0.07,0.14,3046187.4007551717,3107369.0130000003,0.027191827664368253,4
0.75,bo09,20,0.64,-0.01,0.05,0.1,3043838.4185997415,3109593.453125,0.02922445978900365,4
0.75,init,20,0.64,-0.0075,0.07,0.1,3041695.449458164,3089917.4421875,0.021431996768593618,4
0.75,init,20,0.63,0.002,0.05,0.12,3008196.397495801,3120369.7863749997,0.04985483950186602,4
0.75,bo04,20,0.63,0.0,0.05,0.12,2987411.299354576,3098884.5,0.04954364473129966,4
0.75,init,20,0.6,0.002,0.05,0.12,2963889.4598575286,3082334.741553314,0.05264234742034918,4
0.75,bo19,20,0.62,-0.0025,0.05,0.14,2953167.3973025214,3078152.7537281415,0.055549047300275815,4
0.75,init,20,0.62,-0.0025,0.05,0.1,2942162.269076504,3053309.6377775194,0.0493988305337848,4
