horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate,avg_trade_ret,win_rate,max_drawdown
20,0.62,-0.005,0.05,0.15,4577770.724999999,1577770.7249999987,460,112,0.24347826086956523,0.028474483136411242,0.8392857142857143,0.0426269319541508
20,0.62,-0.005,0.05,0.12,4535830.069999998,1535830.0699999984,465,110,0.23655913978494625,0.02796382547054196,0.8272727272727273,0.03381924006643786
25,0.62,-0.005,0.04,0.15,4527176.1108435085,1527176.1108435085,8588,318,0.03702841173730787,0.012729689634948133,0.8144654088050315,0.14464262096556293
20,0.62,-0.005,0.05,0.1,4488644.799999999,1488644.7999999989,469,112,0.23880597014925373,0.026203824722719055,0.8125,0.04136914172404328
25,0.62,0.0,0.06,0.12,4450668.000732422,1450668.0007324219,392,96,0.24489795918367346,0.032194019796899516,0.8125,0.038786265176919826
20,0.62,-0.01,0.05,0.1,4449255.900616458,1449255.9006164577,476,115,0.2415966386554622,0.0253778792169738,0.8173913043478261,0.05646545613223524
25,0.62,-0.005,0.06,0.12,4437518.465618895,1437518.4656188954,399,93,0.23308270676691728,0.03429732988747555,0.8172043010752689,0.022299080659542524
25,0.62,0.0,0.06,0.15,4431806.000732422,1431806.0007324219,387,95,0.2454780361757106,0.03158536641897548,0.8210526315789474,0.05036911199615679
20,0.56,0.0,0.06,0.12,4428046.000000001,1428046.000000001,563,146,0.25932504440497334,0.019693975971800975,0.7397260273972602,0.07967307568177645
20,0.56,-0.005,0.05,0.1,4407196.779179384,1407196.779179384,2463,309,0.12545676004872108,0.010878632372115702,0.7184466019417476,0.11761333008236866
20,0.62,-0.01,0.05,0.15,4405911.950616457,1405911.9506164566,460,113,0.24565217391304348,0.02556282978283088,0.8407079646017699,0.07797684043232454
25,0.58,-0.02,0.05,0.1,4404481.740850836,1404481.740850836,5127,328,0.06397503413302126,0.008322621884298848,0.7103658536585366,0.1371029312555511
25,0.62,-0.005,0.04,0.12,4403694.063343505,1403694.0633435054,8598,335,0.038962549430100024,0.009516240231416109,0.7850746268656716,0.16172072841925353
20,0.58,-0.005,0.06,0.12,4390146.320736084,1390146.3207360841,376,91,0.24202127659574468,0.033736436380765955,0.8241758241758241,0.029159855252857088
20,0.56,0.0,0.06,0.1,4385851.000000001,1385851.000000001,570,151,0.2649122807017544,0.019053496489559,0.7152317880794702,0.05436076278752445
20,0.62,-0.01,0.05,0.12,4382768.450616456,1382768.4506164556,464,113,0.2435344827586207,0.024804428667519696,0.8230088495575221,0.07560852952804366
25,0.6,-0.005,0.04,0.15,4375637.803343507,1375637.8033435075,11803,323,0.027365923917648055,0.010005166528291474,0.804953560371517,0.12844807523440416
25,0.58,-0.005,0.04,0.15,4375637.803343507,1375637.8033435075,12975,323,0.02489402697495183,0.010005166528291474,0.804953560371517,0.12844807523440416
20,0.58,0.0,0.06,0.12,4373166.000732422,1373166.0007324219,368,93,0.25271739130434784,0.031529828162521215,0.8064516129032258,0.05122356561167156
25,0.56,-0.02,0.05,0.15,4370858.470733647,1370858.4707336472,8550,281,0.03286549707602339,0.011055249944422293,0.7722419928825622,0.11341739687856646
20,0.58,0.0,0.06,0.15,4369164.000732422,1369164.0007324219,362,93,0.2569060773480663,0.03101512081739137,0.8172043010752689,0.05333087039198609
15,0.62,-0.005,0.04,0.12,4358781.6099999985,1358781.6099999985,501,140,0.27944111776447106,0.01868947599916524,0.8214285714285714,0.04909153220809588
20,0.62,0.0,0.05,0.12,4349536.0,1349536.0,452,118,0.2610619469026549,0.020305797324870204,0.8050847457627118,0.06277614437224167
25,0.62,0.0,0.06,0.1,4337680.000732422,1337680.0007324219,394,97,0.24619289340101522,0.02965229715463162,0.7938144329896907,0.048192747297241746
25,0.56,-0.015,0.06,0.15,4335828.558903198,1335828.5589031978,1977,226,0.11431461810824481,0.013330114286250154,0.7477876106194691,0.20933087580871704
20,0.62,0.0,0.05,0.15,4325730.0,1325730.0,439,113,0.25740318906605925,0.021522907912828466,0.8230088495575221,0.08817736911427805
25,0.56,-0.005,0.04,0.15,4307495.758343506,1307495.7583435057,15857,325,0.020495680141262535,0.009882081593309095,0.8,0.12844807523440416
20,0.58,-0.005,0.06,0.1,4304617.300736083,1304617.3007360827,379,93,0.24538258575197888,0.03111449694182625,0.8064516129032258,0.03855422233491037
20,0.56,0.0,0.05,0.1,4302578.250427246,1302578.250427246,2437,302,0.12392285597045548,0.010459479612965044,0.7185430463576159,0.19174310836148825
20,0.58,0.0,0.06,0.1,4299534.000732422,1299534.0007324219,369,94,0.25474254742547425,0.029658527841325732,0.7872340425531915,0.0567522681517084
15,0.6,-0.01,0.04,0.1,4292728.360000002,1292728.3600000022,854,216,0.2529274004683841,0.012099440665863404,0.7638888888888888,0.11716690914492275
25,0.62,-0.005,0.06,0.15,4290768.6256188955,1290768.6256188955,395,91,0.23037974683544304,0.030506072451476383,0.8131868131868132,0.06171932434558636
25,0.56,0.0,0.04,0.12,4286794.600341797,1286794.6003417969,16093,328,0.02038153234325483,0.009453953352081044,0.7926829268292683,0.17851818551733084
15,0.56,-0.005,0.05,0.1,4281769.162499997,1281769.1624999968,539,142,0.2634508348794063,0.019204054464415293,0.7676056338028169,0.11352729599705806
15,0.62,-0.005,0.04,0.1,4280231.144999999,1280231.1449999986,508,143,0.281496062992126,0.017249030794205537,0.8041958041958042,0.0406489676445927
20,0.62,0.0,0.05,0.1,4279210.0,1279210.0,454,121,0.2665198237885463,0.01925926212938509,0.7768595041322314,0.061890984225672144
25,0.56,-0.02,0.05,0.12,4278055.665850838,1278055.6658508377,8669,297,0.03426000692121352,0.00859254376414361,0.7373737373737373,0.13347951519446832
25,0.56,-0.02,0.05,0.08,4271371.040850839,1271371.0408508386,8773,363,0.041376952011854554,0.007804153158674306,0.6666666666666666,0.10543270598523084
25,0.62,-0.005,0.06,0.1,4266313.830736082,1266313.830736082,402,95,0.236318407960199,0.02933907371785158,0.7894736842105263,0.046339052296874676
20,0.56,-0.005,0.06,0.1,4257898.305117185,1257898.3051171852,585,143,0.24444444444444444,0.02044179679574767,0.7202797202797203,0.08057870920637564
20,0.58,-0.005,0.06,0.15,4252855.980736083,1252855.9807360834,372,88,0.23655913978494625,0.03029061521866547,0.8181818181818182,0.06911925366432319
