symbol,status,rows,path,error
1499.T,ok,2026.0,data\prices\1499_T.csv,
149A.T,ok,477.0,data\prices\149A_T.csv,
150A.T,ok,478.0,data\prices\150A_T.csv,
1514.T,ok,6276.0,data\prices\1514_T.csv,
1515.T,ok,6276.0,data\prices\1515_T.csv,
1518.T,ok,6276.0,data\prices\1518_T.csv,
151A.T,ok,477.0,data\prices\151A_T.csv,
152A.T,ok,476.0,data\prices\152A_T.csv,
153A.T,ok,476.0,data\prices\153A_T.csv,
1540.T,ok,3854.0,data\prices\1540_T.csv,
1541.T,ok,3854.0,data\prices\1541_T.csv,
1542.T,ok,3854.0,data\prices\1542_T.csv,
1543.T,ok,3854.0,data\prices\1543_T.csv,
1545.T,ok,3827.0,data\prices\1545_T.csv,
1546.T,ok,3827.0,data\prices\1546_T.csv,
1547.T,ok,3781.0,data\prices\1547_T.csv,
154A.T,ok,476.0,data\prices\154A_T.csv,
1550.T,ok,3761.0,data\prices\1550_T.csv,
1551.T,ok,3754.0,data\prices\1551_T.csv,
1554.T,ok,3694.0,data\prices\1554_T.csv,
1555.T,ok,3694.0,data\prices\1555_T.csv,
1557.T,ok,4437.0,data\prices\1557_T.csv,
1559.T,ok,3651.0,data\prices\1559_T.csv,
155A.T,ok,476.0,data\prices\155A_T.csv,
1560.T,ok,3651.0,data\prices\1560_T.csv,
1563.T,ok,3513.0,data\prices\1563_T.csv,
1566.T,ok,3472.0,data\prices\1566_T.csv,
1568.T,ok,3426.0,data\prices\1568_T.csv,
1569.T,ok,3426.0,data\prices\1569_T.csv,
156A.T,ok,475.0,data\prices\156A_T.csv,
1570.T,ok,3422.0,data\prices\1570_T.csv,
1571.T,ok,3422.0,data\prices\1571_T.csv,
1572.T,ok,3258.0,data\prices\1572_T.csv,
1573.T,ok,3258.0,data\prices\1573_T.csv,
1577.T,ok,3201.0,data\prices\1577_T.csv,
1578.T,ok,3189.0,data\prices\1578_T.csv,
1579.T,ok,3159.0,data\prices\1579_T.csv,
157A.T,ok,475.0,data\prices\157A_T.csv,
1580.T,ok,3159.0,data\prices\1580_T.csv,
1585.T,ok,3065.0,data\prices\1585_T.csv,
1586.T,ok,3063.0,data\prices\1586_T.csv,
158A.T,ok,481.0,data\prices\158A_T.csv,
1591.T,ok,2983.0,data\prices\1591_T.csv,
1592.T,ok,2982.0,data\prices\1592_T.csv,
1593.T,ok,2975.0,data\prices\1593_T.csv,
1595.T,ok,2955.0,data\prices\1595_T.csv,
1596.T,ok,2954.0,data\prices\1596_T.csv,
1597.T,ok,2963.0,data\prices\1597_T.csv,
1599.T,ok,2942.0,data\prices\1599_T.csv,
159A.T,ok,479.0,data\prices\159A_T.csv,
1605.T,ok,6535.0,data\prices\1605_T.csv,
160A.T,ok,471.0,data\prices\160A_T.csv,
1615.T,ok,4463.0,data\prices\1615_T.csv,
1617.T,ok,4412.0,data\prices\1617_T.csv,
1618.T,ok,4412.0,data\prices\1618_T.csv,
1619.T,ok,4412.0,data\prices\1619_T.csv,
161A.T,ok,479.0,data\prices\161A_T.csv,
1620.T,ok,4412.0,data\prices\1620_T.csv,
1621.T,ok,4412.0,data\prices\1621_T.csv,
1622.T,ok,4412.0,data\prices\1622_T.csv,
1623.T,ok,4412.0,data\prices\1623_T.csv,
1624.T,ok,4412.0,data\prices\1624_T.csv,
1625.T,ok,4412.0,data\prices\1625_T.csv,
1626.T,ok,4412.0,data\prices\1626_T.csv,
1627.T,ok,4412.0,data\prices\1627_T.csv,
1628.T,ok,4412.0,data\prices\1628_T.csv,
1629.T,ok,4412.0,data\prices\1629_T.csv,
162A.T,ok,322.0,data\prices\162A_T.csv,
1630.T,ok,4412.0,data\prices\1630_T.csv,
1631.T,ok,4412.0,data\prices\1631_T.csv,
1632.T,ok,4412.0,data\prices\1632_T.csv,
1633.T,ok,4412.0,data\prices\1633_T.csv,
163A.T,ok,322.0,data\prices\163A_T.csv,
164A.T,ok,478.0,data\prices\164A_T.csv,
1651.T,ok,2081.0,data\prices\1651_T.csv,
1652.T,ok,2081.0,data\prices\1652_T.csv,
1653.T,ok,2081.0,data\prices\1653_T.csv,
1654.T,ok,2081.0,data\prices\1654_T.csv,
1655.T,ok,2079.0,data\prices\1655_T.csv,
1656.T,ok,2079.0,data\prices\1656_T.csv,
1657.T,ok,2079.0,data\prices\1657_T.csv,
1658.T,ok,2079.0,data\prices\1658_T.csv,
1659.T,ok,2079.0,data\prices\1659_T.csv,
1660.T,ok,2070.0,data\prices\1660_T.csv,
1662.T,ok,5509.0,data\prices\1662_T.csv,
1663.T,ok,2996.0,data\prices\1663_T.csv,
166A.T,ok,470.0,data\prices\166A_T.csv,
1671.T,ok,4078.0,data\prices\1671_T.csv,
1672.T,ok,4451.0,data\prices\1672_T.csv,
1673.T,ok,4454.0,data\prices\1673_T.csv,
1674.T,ok,4449.0,data\prices\1674_T.csv,
1675.T,ok,4449.0,data\prices\1675_T.csv,
1676.T,ok,4443.0,data\prices\1676_T.csv,
1677.T,ok,4042.0,data\prices\1677_T.csv,
1678.T,ok,4003.0,data\prices\1678_T.csv,
1679.T,ok,3993.0,data\prices\1679_T.csv,
167A.T,ok,470.0,data\prices\167A_T.csv,
1680.T,ok,3964.0,data\prices\1680_T.csv,
1681.T,ok,3964.0,data\prices\1681_T.csv,
1684.T,ok,4444.0,data\prices\1684_T.csv,
1685.T,ok,4442.0,data\prices\1685_T.csv,
1686.T,ok,4441.0,data\prices\1686_T.csv,
1687.T,ok,4450.0,data\prices\1687_T.csv,
1688.T,ok,4453.0,data\prices\1688_T.csv,
1689.T,ok,4455.0,data\prices\1689_T.csv,
168A.T,ok,469.0,data\prices\168A_T.csv,
1690.T,ok,4446.0,data\prices\1690_T.csv,
1691.T,ok,4437.0,data\prices\1691_T.csv,
1692.T,ok,4444.0,data\prices\1692_T.csv,
1693.T,ok,4445.0,data\prices\1693_T.csv,
1694.T,ok,4442.0,data\prices\1694_T.csv,
1695.T,ok,4454.0,data\prices\1695_T.csv,
1696.T,ok,4455.0,data\prices\1696_T.csv,
1697.T,ok,4447.0,data\prices\1697_T.csv,
1698.T,ok,3891.0,data\prices\1698_T.csv,
1699.T,ok,3891.0,data\prices\1699_T.csv,
170A.T,ok,475.0,data\prices\170A_T.csv,
1711.T,ok,5243.0,data\prices\1711_T.csv,
1712.T,error,,,No price data from stooq: 1712.T
1716.T,ok,5378.0,data\prices\1716_T.csv,
1717.T,ok,5458.0,data\prices\1717_T.csv,
1718.T,ok,5539.0,data\prices\1718_T.csv,
1719.T,ok,5559.0,data\prices\1719_T.csv,
171A.T,ok,475.0,data\prices\171A_T.csv,
1720.T,ok,5559.0,data\prices\1720_T.csv,
1721.T,ok,5561.0,data\prices\1721_T.csv,
1723.T,ok,5703.0,data\prices\1723_T.csv,
1724.T,ok,5719.0,data\prices\1724_T.csv,
1726.T,ok,5823.0,data\prices\1726_T.csv,
172A.T,ok,474.0,data\prices\172A_T.csv,
1736.T,ok,6454.0,data\prices\1736_T.csv,
173A.T,ok,466.0,data\prices\173A_T.csv,
1758.T,ok,6535.0,data\prices\1758_T.csv,
175A.T,ok,463.0,data\prices\175A_T.csv,
1762.T,ok,6272.0,data\prices\1762_T.csv,
1764.T,ok,6276.0,data\prices\1764_T.csv,
1766.T,ok,5959.0,data\prices\1766_T.csv,
1768.T,ok,6467.0,data\prices\1768_T.csv,
176A.T,ok,419.0,data\prices\176A_T.csv,
1770.T,ok,6535.0,data\prices\1770_T.csv,
1773.T,ok,6272.0,data\prices\1773_T.csv,
1776.T,ok,6273.0,data\prices\1776_T.csv,
1777.T,error,,,No price data from stooq: 1777.T
177A.T,ok,456.0,data\prices\177A_T.csv,
1780.T,ok,6276.0,data\prices\1780_T.csv,
1783.T,ok,6535.0,data\prices\1783_T.csv,
1786.T,ok,1207.0,data\prices\1786_T.csv,
1787.T,ok,6535.0,data\prices\1787_T.csv,
1788.T,ok,6533.0,data\prices\1788_T.csv,
178A.T,ok,463.0,data\prices\178A_T.csv,
1793.T,ok,6535.0,data\prices\1793_T.csv,
1795.T,ok,6534.0,data\prices\1795_T.csv,
1798.T,ok,6534.0,data\prices\1798_T.csv,
1799.T,skipped_exists,,data\prices\1799_T.csv,
179A.T,ok,463.0,data\prices\179A_T.csv,
1801.T,ok,6535.0,data\prices\1801_T.csv,
1802.T,ok,6535.0,data\prices\1802_T.csv,
1803.T,ok,6535.0,data\prices\1803_T.csv,
1807.T,ok,6535.0,data\prices\1807_T.csv,
1808.T,ok,6276.0,data\prices\1808_T.csv,
180A.T,ok,463.0,data\prices\180A_T.csv,
1810.T,ok,6276.0,data\prices\1810_T.csv,
1811.T,ok,6470.0,data\prices\1811_T.csv,
1812.T,skipped_exists,,data\prices\1812_T.csv,
1813.T,ok,6273.0,data\prices\1813_T.csv,
1814.T,ok,6276.0,data\prices\1814_T.csv,
1815.T,ok,6276.0,data\prices\1815_T.csv,
181A.T,ok,339.0,data\prices\181A_T.csv,
1820.T,skipped_exists,,data\prices\1820_T.csv,
1821.T,error,,,No price data from stooq: 1821.T
1822.T,ok,6276.0,data\prices\1822_T.csv,
1826.T,ok,6276.0,data\prices\1826_T.csv,
1827.T,ok,6276.0,data\prices\1827_T.csv,
1828.T,ok,4659.0,data\prices\1828_T.csv,
182A.T,ok,443.0,data\prices\182A_T.csv,
1833.T,ok,6276.0,data\prices\1833_T.csv,
1835.T,ok,6276.0,data\prices\1835_T.csv,
183A.T,ok,413.0,data\prices\183A_T.csv,
1840.T,ok,6276.0,data\prices\1840_T.csv,
1841.T,ok,6524.0,data\prices\1841_T.csv,
1844.T,ok,6276.0,data\prices\1844_T.csv,
1847.T,ok,6276.0,data\prices\1847_T.csv,
1848.T,ok,6469.0,data\prices\1848_T.csv,
184A.T,ok,436.0,data\prices\184A_T.csv,
1850.T,ok,6470.0,data\prices\1850_T.csv,
1852.T,ok,6276.0,data\prices\1852_T.csv,
1853.T,ok,6470.0,data\prices\1853_T.csv,
185A.T,ok,435.0,data\prices\185A_T.csv,
1860.T,skipped_exists,,data\prices\1860_T.csv,
1861.T,skipped_exists,,data\prices\1861_T.csv,
1866.T,ok,6276.0,data\prices\1866_T.csv,
1867.T,ok,6276.0,data\prices\1867_T.csv,
186A.T,ok,430.0,data\prices\186A_T.csv,
1870.T,ok,6273.0,data\prices\1870_T.csv,
1871.T,ok,6276.0,data\prices\1871_T.csv,
1873.T,ok,6535.0,data\prices\1873_T.csv,
1878.T,ok,6276.0,data\prices\1878_T.csv,
1879.T,ok,6273.0,data\prices\1879_T.csv,
1882.T,ok,6276.0,data\prices\1882_T.csv,
1885.T,ok,6276.0,data\prices\1885_T.csv,
1887.T,ok,1710.0,data\prices\1887_T.csv,
1888.T,ok,6276.0,data\prices\1888_T.csv,
188A.T,ok,435.0,data\prices\188A_T.csv,
1890.T,error,,,No price data from stooq: 1890.T
1893.T,ok,6276.0,data\prices\1893_T.csv,
1897.T,ok,6470.0,data\prices\1897_T.csv,
1898.T,ok,6276.0,data\prices\1898_T.csv,
1899.T,ok,6276.0,data\prices\1899_T.csv,
