signal_date,symbol,prob,entry,shares,cost,exit_date,exit_value,ret
2025-01-17,135A.T,0.6339923296236388,1561.7699999999998,300,468530.99999999994,2025-01-22,491957.54999999993,0.050000000000000044
2025-01-20,6254.T,0.6317307903647843,2519.535,100,251953.5,2025-01-22,264551.175,0.050000000000000044
2025-01-28,8035.T,0.6204058268056504,24446.624999999996,100,2444662.4999999995,2025-01-31,2566895.6249999995,0.050000000000000044
2025-02-04,9552.T,0.6880681074809364,1456.245,300,436873.49999999994,2025-02-10,458717.17499999993,0.050000000000000044
2025-02-07,3491.T,0.6828842781529872,1226.1,400,490439.99999999994,2025-03-04,416874.0,-0.1499999999999999
2025-02-17,9341.T,0.6278614573792299,1059.27,400,423708.0,2025-03-18,416400.0,-0.01724772720836043
2025-02-17,4933.T,0.6241270288547758,1713.5249999999999,200,342705.0,2025-03-18,340400.0,-0.006725901285362101
2025-02-18,2780.T,0.6822049622188505,3090.3749999999995,100,309037.49999999994,2025-03-19,301500.0,-0.024390243902438824
2025-02-18,9272.T,0.6271996553903336,1430.1149999999998,300,429034.49999999994,2025-03-19,427800.0,-0.0028773909790470453
2025-02-19,1963.T,0.6661683893857862,1143.6899999999998,400,457475.99999999994,2025-03-17,480349.79999999993,0.050000000000000044
2025-02-20,9552.T,0.6695619747108901,1477.35,300,443205.0,2025-03-04,376724.25,-0.15000000000000002
2025-03-04,9552.T,0.6842134583108833,1235.145,400,494058.0,2025-03-18,518760.9,0.050000000000000044
2025-03-04,3993.T,0.6659913639836668,3205.95,100,320595.0,2025-03-06,336624.75,0.050000000000000044
2025-03-06,4475.T,0.6244705349755476,1322.58,300,396774.0,2025-03-11,416612.7,0.050000000000000044
2025-03-11,2980.T,0.6530627043418571,2889.3749999999995,100,288937.49999999994,2025-03-13,303384.37499999994,0.050000000000000044
2025-03-11,6227.T,0.6338822071964529,3155.7,100,315570.0,2025-03-17,331348.5,0.050000000000000044
2025-03-26,2160.T,0.66708112323718,2167.785,200,433557.0,2025-03-28,455234.85,0.050000000000000044
2025-03-31,4385.T,0.6203575803536854,2366.7749999999996,200,473354.99999999994,2025-04-07,402351.74999999994,-0.15000000000000002
2025-04-01,6227.T,0.6428021776147955,2798.9249999999997,100,279892.5,2025-04-04,237908.62499999997,-0.15000000000000013
2025-04-01,9279.T,0.6266617881596667,2793.8999999999996,100,279389.99999999994,2025-04-10,293359.5,0.050000000000000266
2025-04-07,5027.T,0.700061190510126,806.0099999999999,600,483605.99999999994,2025-04-08,507786.3,0.050000000000000044
2025-04-08,7318.T,0.7058232497831671,344.46374999999995,1400,482249.24999999994,2025-04-10,506361.7124999999,0.050000000000000044
2025-04-08,1964.T,0.6935921180734225,3120.5249999999996,100,312052.49999999994,2025-04-10,327655.125,0.050000000000000266
2025-04-08,4667.T,0.6802073388660609,1244.1899999999998,400,497675.99999999994,2025-04-10,522559.79999999993,0.050000000000000044
2025-04-08,4413.T,0.6799193502570624,2133.1124999999997,200,426622.49999999994,2025-04-10,447953.62499999994,0.050000000000000044
2025-04-08,3983.T,0.6611050772879717,2216.0249999999996,200,443204.99999999994,2025-04-10,465365.24999999994,0.050000000000000044
2025-04-08,3486.T,0.6589875154428381,1679.3549999999998,200,335870.99999999994,2025-04-10,352664.55,0.050000000000000044
2025-04-10,7012.T,0.6834743156174442,7494.284999999999,100,749428.4999999999,2025-04-15,786899.9249999999,0.050000000000000044
2025-04-10,4667.T,0.6672503398567696,1314.54,300,394362.0,2025-04-16,414080.10000000003,0.050000000000000044
2025-04-10,3498.T,0.6639993685756754,5758.65,100,575865.0,2025-04-11,604658.25,0.050000000000000044
2025-04-10,3916.T,0.6544665545123635,1157.7599999999998,400,463103.9999999999,2025-04-15,486259.19999999995,0.050000000000000266
2025-04-10,4180.T,0.6456789903772371,1226.1,400,490439.99999999994,2025-04-25,514962.0,0.050000000000000044
2025-04-10,3676.T,0.6403321196136915,933.6449999999999,500,466822.49999999994,2025-04-21,490163.62499999994,0.050000000000000044
2025-04-11,5191.T,0.6630637336764726,1366.8,300,410040.0,2025-04-18,430542.00000000006,0.050000000000000044
2025-04-15,7012.T,0.6278840448390136,7877.19,100,787719.0,2025-04-25,827104.95,0.050000000000000044
2025-04-16,6787.T,0.6427313057366659,5638.049999999999,100,563804.9999999999,2025-04-24,591995.25,0.050000000000000266
2025-04-16,6298.T,0.6423948540220809,709.53,700,496671.0,2025-04-18,521504.55,0.050000000000000044
2025-04-18,6227.T,0.6718771879559563,2215.02,200,443004.0,2025-04-25,465154.2,0.050000000000000044
2025-04-18,5027.T,0.6204936955533628,833.1449999999999,600,499886.99999999994,2025-04-28,524881.3499999999,0.04999999999999982
2025-05-14,2432.T,0.6701858767063286,2938.62,100,293862.0,2025-06-11,272150.0,-0.0738850208601316
2025-05-14,4475.T,0.6283053756452347,1525.59,300,457677.0,2025-05-23,480560.85,0.050000000000000044
2025-05-16,7561.T,0.6204732083270916,586.92,800,469535.99999999994,2025-05-26,493012.8,0.050000000000000044
2025-05-19,5027.T,0.7049674829497816,522.5999999999999,900,470339.99999999994,2025-05-21,493856.99999999994,0.050000000000000044
2025-05-21,5027.T,0.7042764550316093,555.765,800,444612.0,2025-05-22,466842.60000000003,0.050000000000000044
2025-05-21,6871.T,0.6245962323215158,3517.4999999999995,100,351749.99999999994,2025-05-26,369337.49999999994,0.050000000000000044
2025-05-22,5027.T,0.6962235646847567,573.8549999999999,800,459083.99999999994,2025-05-26,482038.19999999995,0.050000000000000044
2025-05-26,5027.T,0.6302683263438081,610.035,800,488028.0,2025-06-16,414823.79999999993,-0.15000000000000013
2025-05-28,4477.T,0.6270178602149721,379.89,1300,493857.0,2025-06-09,518549.85,0.050000000000000044
2025-07-01,3905.T,0.6824075683192784,1595.9399999999998,300,478781.99999999994,2025-07-04,502721.1,0.050000000000000044
2025-07-02,247A.T,0.6267312406775513,1099.4699999999998,400,439787.99999999994,2025-07-10,461777.39999999997,0.050000000000000044
2025-07-04,4493.T,0.6291501177089521,1618.0499999999997,300,485414.99999999994,2025-07-24,509685.74999999994,0.050000000000000044
2025-07-15,135A.T,0.683251871692335,2062.2599999999998,200,412451.99999999994,2025-07-16,433074.60000000003,0.050000000000000266
2025-07-15,3697.T,0.6247826461183478,1554.735,300,466420.49999999994,2025-07-17,489741.52499999997,0.050000000000000044
2025-07-16,135A.T,0.6800167188308242,2178.8399999999997,200,435767.99999999994,2025-07-24,457556.39999999997,0.050000000000000044
2025-07-18,7352.T,0.6357164284995183,880.3799999999999,500,440189.99999999994,2025-08-18,462199.49999999994,0.050000000000000044
2025-07-24,135A.T,0.6375351018931757,2316.5249999999996,200,463304.99999999994,2025-08-18,486470.24999999994,0.050000000000000044
2025-07-29,6920.T,0.688110319082592,14924.249999999998,100,1492424.9999999998,2025-08-13,1567046.25,0.050000000000000266
2025-08-04,3905.T,0.6825127367218847,2878.3199999999997,100,287832.0,2025-08-05,302223.6,0.04999999999999982
2025-08-05,3905.T,0.6483092201775608,2918.5199999999995,100,291851.99999999994,2025-08-07,306444.5999999999,0.04999999999999982
2025-08-06,3110.T,0.6775091902585657,5406.9,100,540690.0,2025-08-12,567724.5,0.050000000000000044
2025-08-07,3905.T,0.6723102589689729,3075.2999999999997,100,307530.0,2025-08-08,322906.5,0.050000000000000044
2025-08-13,3905.T,0.7201823551935017,2502.45,100,250244.99999999997,2025-08-14,262757.25,0.050000000000000044
2025-08-13,3773.T,0.6552228417588082,987.9149999999998,500,493957.49999999994,2025-08-29,518655.37499999994,0.050000000000000044
2025-08-14,6871.T,0.6467412613788354,4472.249999999999,100,447224.9999999999,2025-08-28,469586.24999999994,0.050000000000000044
2025-08-15,3695.T,0.664566224617726,2326.575,200,465314.99999999994,2025-09-12,448000.0,-0.0372113514500928
2025-08-18,3905.T,0.6375754691362554,3115.4999999999995,100,311549.99999999994,2025-08-19,327127.49999999994,0.050000000000000044
2025-08-20,3905.T,0.6412276373065819,3035.0999999999995,100,303509.99999999994,2025-08-21,318685.49999999994,0.050000000000000044
2025-08-21,3110.T,0.6248715023835678,5477.249999999999,100,547724.9999999999,2025-09-01,575111.2499999999,0.050000000000000044
2025-08-25,3905.T,0.6354889239035603,2686.365,100,268636.5,2025-08-29,228341.025,-0.15000000000000002
2025-08-28,4480.T,0.6649518962427963,2496.4199999999996,200,499283.99999999994,2025-09-29,488000.0,-0.02260036372084817
2025-08-29,3905.T,0.700213723069196,2244.165,200,448833.0,2025-09-01,471274.65,0.050000000000000044
2025-09-01,3905.T,0.6349997129126248,2540.64,100,254064.0,2025-09-03,266767.2,0.050000000000000044
2025-09-01,4369.T,0.6262759998480095,2582.85,100,258285.0,2025-09-16,271199.25,0.050000000000000044
2025-09-03,7803.T,0.6230734214755368,327.62999999999994,1500,491444.9999999999,2025-09-05,516017.24999999994,0.050000000000000044
2025-09-04,3905.T,0.6470412542186238,2572.7999999999997,100,257279.99999999997,2025-09-05,270144.0,0.050000000000000044
2025-09-12,3905.T,0.6984433234622245,1877.3399999999997,200,375467.99999999994,2025-09-16,394241.3999999999,0.04999999999999982
2025-09-12,7318.T,0.6252297010509894,1273.8374999999999,300,382151.24999999994,2025-09-17,401258.81249999994,0.050000000000000044
2025-09-16,3905.T,0.6663984866856112,2279.3399999999997,200,455867.99999999994,2025-09-17,478661.39999999997,0.050000000000000044
2025-09-16,4369.T,0.6352796406648654,2803.95,100,280395.0,2025-09-18,294414.75,0.050000000000000044
2025-09-16,8136.T,0.6231721846198368,6941.534999999999,100,694153.4999999999,2025-10-01,728861.1749999999,0.050000000000000044
2025-09-17,3905.T,0.7214474816283626,2133.615,200,426722.99999999994,2025-09-22,448059.14999999997,0.050000000000000044
2025-09-17,3547.T,0.6340126470415124,2434.1099999999997,200,486821.99999999994,2025-10-15,511163.0999999999,0.050000000000000044
2025-10-01,4431.T,0.6255669482830964,2858.22,100,285822.0,2025-10-30,282700.0,-0.010922882073458262
2025-10-01,3697.T,0.6220877025611182,1184.895,400,473958.0,2025-10-08,497655.9,0.050000000000000044
2025-10-01,4013.T,0.6205997977735759,1359.7649999999999,300,407929.49999999994,2025-10-30,367200.0,-0.09984445841744705
2025-10-09,3563.T,0.6215233016532319,6904.349999999999,100,690435.0,2025-10-22,724956.75,0.050000000000000044
2025-10-10,4088.T,0.63444410247071,2086.8824999999997,200,417376.49999999994,2025-10-14,438245.32499999995,0.050000000000000044
2025-10-14,7806.T,0.6287314781005456,4080.2999999999997,100,408030.0,2025-11-12,428431.49999999994,0.04999999999999982
2025-10-15,4088.T,0.6594505981232336,2273.31,200,454662.0,2025-11-13,462700.0,0.017679067087198908
2025-10-16,3479.T,0.6632830506729359,1637.1449999999998,300,491143.49999999994,2025-10-22,515700.67499999993,0.050000000000000044
2025-10-16,3139.T,0.6448567782251308,3401.9249999999997,100,340192.5,2025-10-23,357202.125,0.050000000000000044
2025-10-28,9252.T,0.6290303971074045,3482.325,100,348232.5,2025-11-27,360000.0,0.03379207856819799
2025-10-29,3697.T,0.642763375820011,1045.1999999999998,400,418079.99999999994,2025-10-30,438983.99999999994,0.050000000000000044
2025-10-30,3498.T,0.6415819813542448,8291.25,100,829125.0,2025-11-14,870581.25,0.050000000000000044
2025-11-04,7419.T,0.6208405869480145,1131.6299999999999,400,452651.99999999994,2025-11-27,475284.6,0.050000000000000044
2025-11-06,4180.T,0.6299362936625045,1177.86,400,471143.99999999994,2025-11-11,494701.19999999995,0.050000000000000044
2025-11-10,8136.T,0.687283437570977,6040.049999999999,100,604004.9999999999,2025-12-03,513404.24999999994,-0.1499999999999999
2025-11-17,4180.T,0.6930008780390894,1022.0849999999999,400,408833.99999999994,2025-11-20,429275.69999999995,0.050000000000000044
2025-11-18,7717.T,0.6836591940825764,2839.1249999999995,100,283912.49999999994,2025-11-28,298108.125,0.050000000000000266
2025-11-18,3993.T,0.6347198020129166,3396.8999999999996,100,339689.99999999994,2025-12-09,356674.5,0.050000000000000266
2025-11-19,7059.T,0.6244462635361322,921.5849999999999,500,460792.49999999994,2025-12-18,470000.0,0.019981879045340545
2025-11-19,3563.T,0.6220753060266387,6356.624999999999,100,635662.4999999999,2025-11-20,667445.6249999999,0.050000000000000044
2025-11-20,4180.T,0.6717532535414805,1077.36,400,430943.99999999994,2025-11-25,452491.19999999995,0.050000000000000044
2025-11-20,3563.T,0.6488344267715939,6661.139999999999,100,666114.0,2025-11-26,699419.7,0.04999999999999982
2025-11-20,7806.T,0.6336287414313156,4356.674999999999,100,435667.49999999994,2025-11-27,457450.8749999999,0.04999999999999982
2025-11-21,4751.T,0.6220080465681553,1391.925,300,417577.5,2025-12-22,395700.0,-0.052391472241679726
2025-12-08,2413.T,0.6239297859103207,2223.06,200,444612.0,2026-01-08,429400.0,-0.03421410128381597
2025-12-11,5032.T,0.6708110036182944,4793.849999999999,100,479384.99999999994,2025-12-23,503354.24999999994,0.050000000000000044
2025-12-16,4413.T,0.6367371419840097,2268.285,200,453657.0,2026-01-06,476339.85000000003,0.050000000000000044
2025-12-18,135A.T,0.6366539719693803,3095.3999999999996,100,309539.99999999994,2025-12-19,325016.99999999994,0.050000000000000044
2025-12-23,9245.T,0.6453536460156429,2241.1499999999996,200,448229.99999999994,2026-01-15,470641.4999999999,0.04999999999999982
2025-12-23,2982.T,0.6344664665423686,419.085,1100,460993.5,2026-01-13,484043.175,0.050000000000000044
