week,タイヤ・ゴム,損害保険,地方銀行,生命保険,非鉄金属,銀行,設備工事,ドラッグストア,電気ガス,ガス,空運業,ゴム製品,パルプ紙,大手銀行,家電・コンピュータ小売り,ガラス土石,電気・ガス業,水産農林,リース・消費者金融,ゴム,空運,非鉄金属・金属製品,不動産,鉱業,保険,大幅増額,石油石炭,小売,コンビニ・食品小売り,ガラス・土石製品,民生用エレクトロニクス,保険業,建設,増額,飲料,建設農業機械・産業車両,大幅減額,電子デバイス製造装置,証券先物,その他金融,総合スーパー,石油・石炭製品,不動産(住宅),不動産(非住宅),パッケージソフト,食品,建設関連製品・設備,前号並み,事務機器,水産・農林業,その他
31,25.0,50.0,21.818181818181817,100.0,55.55555555555556,16.666666666666664,67.74193548387096,16.666666666666664,100.0,57.14285714285714,100.0,20.0,25.0,25.0,44.44444444444444,66.66666666666666,0.0,0.0,50.0,100.0,100.0,45.83333333333333,29.411764705882355,0.0,28.57142857142857,0.0,0.0,25.423728813559322,24.0,25.0,0.0,0.0,41.37931034482759,33.33333333333333,38.46153846153847,24.137931034482758,40.0,11.11111111111111,0.0,20.0,28.57142857142857,0.0,30.303030303030305,36.36363636363637,24.193548387096776,19.65811965811966,32.55813953488372,27.27272727272727,18.181818181818183,0.0,20.188556566970092
32,75.0,100.0,49.09090909090909,100.0,66.66666666666666,38.88888888888889,83.87096774193549,33.33333333333333,100.0,57.14285714285714,100.0,80.0,50.0,75.0,22.22222222222222,55.55555555555556,66.66666666666666,50.0,58.333333333333336,0.0,100.0,50.0,47.05882352941176,50.0,42.857142857142854,0.0,0.0,33.89830508474576,40.0,25.0,20.0,0.0,55.172413793103445,30.0,61.53846153846154,44.827586206896555,20.0,19.444444444444446,33.33333333333333,40.0,42.857142857142854,0.0,37.878787878787875,33.33333333333333,25.806451612903224,29.914529914529915,30.23255813953488,45.45454545454545,18.181818181818183,0.0,26.072821846553968
33,25.0,100.0,80.0,100.0,55.55555555555556,83.33333333333334,35.483870967741936,16.666666666666664,100.0,57.14285714285714,100.0,80.0,0.0,75.0,0.0,44.44444444444444,66.66666666666666,50.0,50.0,0.0,100.0,33.33333333333333,41.17647058823529,0.0,85.71428571428571,50.0,0.0,18.64406779661017,24.0,25.0,0.0,0.0,31.03448275862069,46.666666666666664,46.15384615384615,37.93103448275862,40.0,33.33333333333333,33.33333333333333,60.0,0.0,33.33333333333333,36.36363636363637,30.303030303030305,32.25806451612903,22.22222222222222,18.6046511627907,27.27272727272727,18.181818181818183,0.0,21.618985695708712
34,75.0,50.0,87.27272727272727,50.0,55.55555555555556,66.66666666666666,32.25806451612903,16.666666666666664,75.0,28.57142857142857,0.0,60.0,50.0,50.0,0.0,33.33333333333333,33.33333333333333,50.0,66.66666666666666,0.0,100.0,37.5,35.294117647058826,50.0,28.57142857142857,50.0,0.0,25.423728813559322,28.000000000000004,0.0,0.0,33.33333333333333,31.03448275862069,50.0,46.15384615384615,27.586206896551722,20.0,16.666666666666664,66.66666666666666,40.0,0.0,33.33333333333333,37.878787878787875,33.33333333333333,25.806451612903224,24.786324786324787,9.30232558139535,18.181818181818183,9.090909090909092,0.0,21.066319895968793
35,75.0,50.0,23.636363636363637,0.0,77.77777777777779,16.666666666666664,25.806451612903224,0.0,25.0,14.285714285714285,0.0,40.0,25.0,0.0,11.11111111111111,44.44444444444444,33.33333333333333,50.0,25.0,0.0,100.0,41.66666666666667,29.411764705882355,50.0,28.57142857142857,50.0,0.0,20.33898305084746,12.0,25.0,0.0,0.0,20.689655172413794,26.666666666666668,30.76923076923077,27.586206896551722,20.0,16.666666666666664,0.0,20.0,0.0,33.33333333333333,24.242424242424242,30.303030303030305,17.741935483870968,17.94871794871795,20.930232558139537,4.545454545454546,18.181818181818183,0.0,16.319895968790636
36,50.0,0.0,20.0,0.0,77.77777777777779,22.22222222222222,22.58064516129032,16.666666666666664,50.0,14.285714285714285,100.0,80.0,25.0,25.0,44.44444444444444,55.55555555555556,33.33333333333333,100.0,75.0,100.0,100.0,41.66666666666667,52.94117647058824,50.0,0.0,50.0,0.0,16.94915254237288,16.0,25.0,0.0,0.0,51.724137931034484,40.0,15.384615384615385,41.37931034482759,20.0,13.88888888888889,66.66666666666666,0.0,0.0,0.0,31.818181818181817,30.303030303030305,16.129032258064516,24.786324786324787,34.883720930232556,18.181818181818183,18.181818181818183,0.0,20.9037711313394
37,75.0,0.0,38.18181818181819,50.0,44.44444444444444,16.666666666666664,35.483870967741936,0.0,75.0,0.0,0.0,40.0,0.0,0.0,55.55555555555556,22.22222222222222,33.33333333333333,100.0,58.333333333333336,0.0,0.0,12.5,47.05882352941176,50.0,0.0,0.0,0.0,18.64406779661017,20.0,25.0,40.0,0.0,27.586206896551722,30.0,7.6923076923076925,17.24137931034483,20.0,33.33333333333333,66.66666666666666,20.0,14.285714285714285,33.33333333333333,22.727272727272727,30.303030303030305,9.67741935483871,18.803418803418804,11.627906976744185,22.727272727272727,27.27272727272727,0.0,14.499349804941483
38,25.0,0.0,14.545454545454545,0.0,22.22222222222222,11.11111111111111,16.129032258064516,0.0,0.0,0.0,0.0,40.0,25.0,0.0,44.44444444444444,33.33333333333333,0.0,100.0,25.0,0.0,0.0,4.166666666666666,35.294117647058826,0.0,0.0,0.0,0.0,11.864406779661017,20.0,50.0,20.0,0.0,3.4482758620689653,20.0,0.0,13.793103448275861,20.0,41.66666666666667,33.33333333333333,0.0,14.285714285714285,66.66666666666666,16.666666666666664,15.151515151515152,9.67741935483871,22.22222222222222,13.953488372093023,13.636363636363635,27.27272727272727,0.0,13.198959687906372
39,50.0,0.0,69.0909090909091,0.0,77.77777777777779,55.55555555555556,19.35483870967742,0.0,0.0,14.285714285714285,0.0,0.0,0.0,25.0,55.55555555555556,33.33333333333333,0.0,50.0,41.66666666666667,100.0,0.0,16.666666666666664,11.76470588235294,50.0,0.0,50.0,0.0,11.864406779661017,20.0,0.0,20.0,66.66666666666666,17.24137931034483,20.0,23.076923076923077,27.586206896551722,20.0,25.0,66.66666666666666,0.0,0.0,33.33333333333333,19.696969696969695,15.151515151515152,6.451612903225806,18.803418803418804,13.953488372093023,9.090909090909092,9.090909090909092,0.0,14.759427828348503
40,25.0,0.0,5.454545454545454,0.0,66.66666666666666,5.555555555555555,12.903225806451612,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,33.33333333333333,0.0,50.0,0.0,0.0,0.0,16.666666666666664,17.647058823529413,0.0,0.0,0.0,0.0,5.084745762711865,4.0,50.0,0.0,0.0,6.896551724137931,13.333333333333334,23.076923076923077,20.689655172413794,0.0,27.77777777777778,0.0,0.0,0.0,0.0,7.575757575757576,3.0303030303030303,4.838709677419355,2.564102564102564,2.3255813953488373,0.0,0.0,0.0,7.8673602080624185
41,50.0,0.0,18.181818181818183,0.0,77.77777777777779,5.555555555555555,19.35483870967742,0.0,25.0,0.0,0.0,20.0,25.0,0.0,0.0,33.33333333333333,0.0,100.0,0.0,0.0,0.0,16.666666666666664,11.76470588235294,0.0,0.0,0.0,0.0,3.389830508474576,16.0,50.0,0.0,0.0,10.344827586206897,3.3333333333333335,7.6923076923076925,13.793103448275861,0.0,16.666666666666664,0.0,0.0,0.0,0.0,7.575757575757576,3.0303030303030303,4.838709677419355,4.273504273504273,0.0,4.545454545454546,18.181818181818183,0.0,6.144343302990897
42,25.0,0.0,12.727272727272727,0.0,55.55555555555556,11.11111111111111,6.451612903225806,16.666666666666664,25.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,50.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,3.389830508474576,8.0,25.0,0.0,0.0,13.793103448275861,6.666666666666667,15.384615384615385,10.344827586206897,0.0,19.444444444444446,0.0,0.0,0.0,0.0,9.090909090909092,6.0606060606060606,3.225806451612903,1.7094017094017095,6.976744186046512,4.545454545454546,0.0,0.0,5.786736020806242
