threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
0.6,-0.03,0.07,0.2,3461925.48,461925.48,134,17,0.12686567164179105
0.6,-0.02,0.07,0.2,3461163.260000001,461163.2600000012,134,16,0.11940298507462686
0.6,0.0,0.07,0.2,3454447.0,454447.0,134,15,0.11194029850746269
0.6,-0.01,0.07,0.2,3435751.5700000003,435751.5700000003,134,15,0.11194029850746269
0.6,0.0,0.07,0.16,3364421.0,364421.0,134,15,0.11194029850746269
0.6,-0.01,0.07,0.16,3361892.290000001,361892.29000000097,134,16,0.11940298507462686
0.6,-0.02,0.07,0.16,3320581.760000001,320581.7600000012,134,19,0.1417910447761194
0.6,-0.03,0.07,0.16,3319965.73,319965.73,134,20,0.14925373134328357
0.55,0.0,0.05,0.16,3284527.000427246,284527.0004272461,4180,198,0.04736842105263158
0.6,-0.03,0.07,0.08,3279904.0450000004,279904.0450000004,134,24,0.1791044776119403
0.6,0.0,0.07,0.08,3274921.0,274921.0,134,19,0.1417910447761194
0.6,0.0,0.07,0.12,3242969.0,242969.0,134,18,0.13432835820895522
0.6,-0.03,0.07,0.12,3228111.48,228111.47999999998,134,22,0.16417910447761194
0.6,-0.02,0.07,0.12,3211475.260000001,211475.26000000117,134,21,0.15671641791044777
0.6,-0.02,0.07,0.08,3203086.470000001,203086.47000000114,134,22,0.16417910447761194
0.55,0.0,0.07,0.2,3179064.000000001,179064.00000000093,359,76,0.2116991643454039
0.7,-0.03,0.05,0.2,3165554.4750000006,165554.47500000056,82,7,0.08536585365853659
0.7,-0.02,0.05,0.2,3150437.25,150437.25,82,6,0.07317073170731707
0.6,-0.01,0.07,0.12,3147689.630000001,147689.63000000082,134,18,0.13432835820895522
0.55,0.0,0.05,0.2,3145797.000427246,145797.0004272461,4180,187,0.04473684210526316
0.6,-0.01,0.07,0.08,3129403.7250000006,129403.72500000056,134,19,0.1417910447761194
0.65,-0.03,0.07,0.08,3120161.86,120161.85999999987,71,4,0.056338028169014086
0.65,-0.03,0.07,0.12,3120161.86,120161.85999999987,71,4,0.056338028169014086
0.65,-0.03,0.07,0.16,3120161.86,120161.85999999987,71,4,0.056338028169014086
0.65,-0.03,0.07,0.2,3120161.86,120161.85999999987,71,4,0.056338028169014086
0.55,0.0,0.07,0.16,3105495.000000001,105495.00000000093,359,78,0.21727019498607242
0.7,-0.01,0.05,0.16,3102477.125,102477.125,82,4,0.04878048780487805
0.7,-0.01,0.05,0.2,3102477.125,102477.125,82,4,0.04878048780487805
0.65,-0.02,0.07,0.08,3100081.3800000004,100081.38000000035,71,3,0.04225352112676056
0.65,-0.02,0.07,0.12,3100081.3800000004,100081.38000000035,71,3,0.04225352112676056
0.65,-0.02,0.07,0.16,3100081.3800000004,100081.38000000035,71,3,0.04225352112676056
0.65,-0.02,0.07,0.2,3100081.3800000004,100081.38000000035,71,3,0.04225352112676056
0.7,0.0,0.05,0.16,3077402.5,77402.5,82,3,0.036585365853658534
0.7,0.0,0.05,0.2,3077402.5,77402.5,82,3,0.036585365853658534
0.7,-0.03,0.05,0.12,3069249.4750000006,69249.47500000056,82,7,0.08536585365853659
0.65,0.0,0.05,0.08,3059682.0,59682.0,287,78,0.27177700348432055
0.7,-0.02,0.05,0.12,3055067.2500000005,55067.250000000466,82,6,0.07317073170731707
0.65,-0.01,0.05,0.16,3054701.500000001,54701.50000000093,287,76,0.26480836236933797
0.65,0.0,0.05,0.12,3054188.0,54188.0,287,72,0.2508710801393728
0.7,-0.03,0.05,0.16,3046589.4750000006,46589.47500000056,82,7,0.08536585365853659
0.65,-0.01,0.05,0.2,3043985.450000001,43985.45000000112,287,74,0.2578397212543554
0.65,-0.01,0.07,0.08,3034020.84,34020.83999999985,71,1,0.014084507042253521
0.65,-0.01,0.07,0.12,3034020.84,34020.83999999985,71,1,0.014084507042253521
0.65,-0.01,0.07,0.16,3034020.84,34020.83999999985,71,1,0.014084507042253521
0.65,-0.01,0.07,0.2,3034020.84,34020.83999999985,71,1,0.014084507042253521
0.7,-0.02,0.05,0.16,3032627.2500000005,32627.250000000466,82,6,0.07317073170731707
0.7,-0.03,0.05,0.08,3021210.2750000004,21210.275000000373,82,7,0.08536585365853659
0.55,0.0,0.05,0.12,3019163.000427246,19163.000427246094,4180,198,0.04736842105263158
0.55,-0.01,0.07,0.12,3010274.8199999994,10274.819999999367,359,82,0.22841225626740946
0.7,-0.01,0.05,0.12,3008042.125,8042.125,82,4,0.04878048780487805
0.7,-0.02,0.05,0.08,3007494.4500000007,7494.450000000652,82,6,0.07317073170731707
0.7,0.0,0.05,0.08,3005902.5,5902.5,82,3,0.036585365853658534
0.6,0.0,0.05,0.08,3001179.0,1179.0,985,178,0.18071065989847715
0.65,0.0,0.07,0.08,3000000.0,0.0,71,0,0.0
0.65,0.0,0.07,0.12,3000000.0,0.0,71,0,0.0
0.65,0.0,0.07,0.16,3000000.0,0.0,71,0,0.0
0.65,0.0,0.07,0.2,3000000.0,0.0,71,0,0.0
0.7,-0.03,0.07,0.08,3000000.0,0.0,20,0,0.0
0.7,-0.03,0.07,0.12,3000000.0,0.0,20,0,0.0
0.7,-0.03,0.07,0.16,3000000.0,0.0,20,0,0.0
0.7,-0.03,0.07,0.2,3000000.0,0.0,20,0,0.0
0.7,-0.02,0.07,0.08,3000000.0,0.0,20,0,0.0
0.7,-0.02,0.07,0.12,3000000.0,0.0,20,0,0.0
0.7,-0.02,0.07,0.16,3000000.0,0.0,20,0,0.0
0.7,-0.02,0.07,0.2,3000000.0,0.0,20,0,0.0
0.7,-0.01,0.07,0.08,3000000.0,0.0,20,0,0.0
0.7,-0.01,0.07,0.12,3000000.0,0.0,20,0,0.0
0.7,-0.01,0.07,0.16,3000000.0,0.0,20,0,0.0
0.7,-0.01,0.07,0.2,3000000.0,0.0,20,0,0.0
0.7,0.0,0.07,0.08,3000000.0,0.0,20,0,0.0
0.7,0.0,0.07,0.12,3000000.0,0.0,20,0,0.0
0.7,0.0,0.07,0.16,3000000.0,0.0,20,0,0.0
0.7,0.0,0.07,0.2,3000000.0,0.0,20,0,0.0
0.55,0.0,0.07,0.08,2998818.0000000005,-1181.9999999995343,359,88,0.24512534818941503
0.55,-0.01,0.07,0.16,2992354.2399999993,-7645.760000000708,359,78,0.21727019498607242
0.65,-0.01,0.05,0.12,2990583.5,-9416.5,287,74,0.2578397212543554
0.7,0.0,0.05,0.12,2983902.5,-16097.5,82,3,0.036585365853658534
0.55,-0.01,0.07,0.2,2961451.4600000004,-38548.53999999957,359,78,0.21727019498607242
0.7,-0.01,0.05,0.08,2960935.725,-39064.27499999991,82,4,0.04878048780487805
0.65,0.0,0.05,0.16,2947770.0,-52230.0,287,70,0.24390243902439024
0.55,0.0,0.07,0.12,2927744.0000000005,-72255.99999999953,359,76,0.2116991643454039
0.6,0.0,0.05,0.12,2922283.0,-77717.0,985,143,0.14517766497461929
0.55,-0.01,0.07,0.08,2906755.0650000023,-93244.93499999773,359,97,0.27019498607242337
0.65,0.0,0.05,0.2,2886850.0,-113150.0,287,67,0.23344947735191637
0.55,-0.03,0.07,0.2,2861104.8100000024,-138895.18999999762,359,74,0.20612813370473537
0.55,0.0,0.05,0.08,2859999.5004272466,-140000.49957275344,4180,221,0.052870813397129186
0.55,-0.02,0.07,0.2,2858566.8800000018,-141433.11999999825,359,74,0.20612813370473537
0.6,-0.01,0.05,0.16,2856024.250000002,-143975.74999999814,985,143,0.14517766497461929
0.55,-0.02,0.07,0.08,2852898.8500000024,-147101.14999999758,359,97,0.27019498607242337
