group,symbol
q4_regime,4221.T
q4_regime,3486.T
q4_regime,8361.T
q4_regime,9691.T
q4_regime,7419.T
q4_regime,343A.T
q4_regime,1384.T
q4_regime,1893.T
q4_regime,4016.T
q4_regime,7110.T
q4_regime,4495.T
q4_regime,8550.T
q4_regime,2981.T
q4_regime,9409.T
q4_regime,2975.T
q4_regime,6542.T
q4_regime,8600.T
q4_regime,3449.T
q4_regime,5105.T
q4_regime,1980.T
q4_regime,7235.T
q4_regime,8057.T
q4_regime,5352.T
q4_regime,6822.T
q4_regime,146A.T
q4_regime,8515.T
q4_regime,6231.T
q4_regime,8393.T
q4_regime,3922.T
q4_regime,6745.T
q4_regime,7989.T
q4_regime,8343.T
q4_regime,8345.T
q4_regime,1847.T
q4_regime,6332.T
q4_regime,3935.T
q4_regime,6853.T
q4_regime,1815.T
q4_regime,1961.T
q4_regime,4301.T
q4_regime,2970.T
q4_regime,1975.T
q4_regime,3712.T
q4_regime,1736.T
q4_regime,5971.T
q4_regime,3242.T
q4_regime,6331.T
q4_regime,256A.T
q4_regime,8336.T
q4_regime,7191.T
q4_regime,3465.T
q4_regime,6091.T
q4_regime,7130.T
q4_regime,6488.T
q4_regime,4633.T
q4_regime,3277.T
q4_regime,3467.T
q4_regime,6743.T
q4_regime,7242.T
q4_regime,6489.T
