ret_min,min_prob,ok,final_capital_mean,objective_mean,max_drawdown_mean
-0.004,0.56,True,3216919.75911499,3168246.7628850657,0.0324486641532829
-0.004,0.58,True,3216919.75911499,3168246.7628850657,0.0324486641532829
-0.004,0.6,True,3216919.75911499,3168246.7628850657,0.0324486641532829
-0.002,0.56,True,3201770.4091149904,3151415.4485423183,0.0335699737151145
-0.002,0.58,True,3201770.4091149904,3151415.4485423183,0.0335699737151145
-0.002,0.6,True,3201770.4091149904,3151415.4485423183,0.0335699737151145
0.0,0.56,True,3194451.7841149904,3144079.8498089486,0.0335812895373612
0.0,0.58,True,3194451.7841149904,3144079.8498089486,0.0335812895373612
0.0,0.6,True,3194451.7841149904,3144079.8498089486,0.0335812895373612
