phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
bo11,15,0.58,-0.005,0.06,0.1,3212534.3394030672,3283647.425,0.023704361865644133,4
init,25,0.6,-0.01,0.06,0.12,3193311.6446672827,3333615.6426849375,0.04676799933921816,4
init,15,0.64,-0.005,0.05,0.1,3152017.408042208,3224997.2031249995,0.02432659836093051,4
bo17,15,0.6,-0.005,0.04,0.1,3118851.648480984,3259269.1476226808,0.046805833047232376,4
init,15,0.6,-0.015,0.06,0.12,3093970.6450597215,3184472.76125,0.03016737206342621,4
init,15,0.62,0.0,0.04,0.08,3069290.6302164663,3172867.5002441406,0.03452562334255804,4
init,15,0.58,0.0,0.05,0.12,3068174.550128135,3172020.250152588,0.03461523334148444,4
init,15,0.58,-0.005,0.06,0.08,3062904.6958499746,3170177.10125,0.03575746846667502,4
bo20,15,0.58,-0.02,0.05,0.1,3059437.812752502,3185444.631250001,0.04200227283249944,4
bo04,15,0.64,-0.015,0.06,0.12,3053604.810996806,3125340.2612500004,0.023911816751064796,4
bo03,25,0.58,0.0,0.06,0.1,3053024.5933042658,3168422.25,0.03846588556524477,4
bo09,25,0.62,-0.005,0.05,0.08,3045395.671325448,3184715.3076533508,0.046439878775967676,4
bo15,20,0.6,-0.02,0.06,0.1,3044699.482470697,3179899.141279298,0.045066552936200335,4
bo07,15,0.62,-0.02,0.04,0.1,3039737.293494973,3166101.2603112804,0.04212132227210251,4
bo12,20,0.62,-0.01,0.04,0.1,3027345.3763275924,3185930.2439630134,0.052861622545140236,4
init,15,0.64,-0.02,0.06,0.12,3017655.5922438195,3096277.005,0.026207137585393725,4
bo02,25,0.58,0.0,0.06,0.08,3015278.3900302183,3134446.2501831055,0.03972262005096251,4
init,25,0.56,0.0,0.05,0.12,3005692.375692131,3209756.2496032715,0.06802129130371358,4
init,15,0.56,-0.01,0.04,0.1,2975586.1284992266,3141241.4713397226,0.05521844761349856,4
bo01,25,0.58,-0.005,0.05,0.08,2966680.2992928256,3133820.9025817877,0.05571353442965397,4
bo13,25,0.62,-0.01,0.04,0.1,2966429.3924515694,3184435.0962329116,0.0726685679271139,4
bo05,20,0.58,0.0,0.05,0.12,2931306.237234836,3109219.812652588,0.05930452513925066,4
bo14,15,0.58,-0.015,0.04,0.08,2913534.998754203,3096071.2416610727,0.06084541430228995,4
bo06,25,0.62,0.0,0.04,0.15,2901960.4474685844,3111881.6655273438,0.06997373935291983,4
bo08,15,0.6,-0.02,0.04,0.15,2877270.8751585335,3088571.6037792973,0.07043357620692148,4
init,25,0.6,-0.005,0.04,0.15,2877162.3789984137,3101690.894432068,0.07484283847788496,4
bo19,20,0.62,-0.02,0.04,0.1,2876524.930602901,3117130.308087159,0.08020179249475275,4
bo16,15,0.58,-0.01,0.04,0.08,2866316.4474159344,3048056.875369874,0.060580142651313326,4
bo18,25,0.62,0.0,0.05,0.12,2780675.5422218083,3018827.25,0.07938390259273063,4
bo10,25,0.58,-0.02,0.05,0.15,2759382.9773277557,3027053.247875978,0.08922342351607385,4
