threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
0.7,-0.01,0.07,0.16,3000000.0,0.0,35,0,0.0
0.7,-0.01,0.07,0.2,3000000.0,0.0,35,0,0.0
0.7,0.0,0.07,0.08,3000000.0,0.0,35,0,0.0
0.7,0.0,0.07,0.12,3000000.0,0.0,35,0,0.0
0.7,0.0,0.07,0.16,3000000.0,0.0,35,0,0.0
0.7,0.0,0.07,0.2,3000000.0,0.0,35,0,0.0
0.65,0.0,0.07,0.12,2999936.5,-63.5,76,3,0.039473684210526314
0.65,0.0,0.05,0.2,2997595.0,-2405.0,322,76,0.2360248447204969
0.6,0.0,0.05,0.08,2995663.0,-4337.0,1097,194,0.17684594348222424
0.7,-0.03,0.05,0.12,2995522.075000001,-4477.924999998882,94,13,0.13829787234042554
0.55,0.0,0.05,0.16,2992678.500427246,-7321.499572753906,4780,195,0.04079497907949791
0.7,-0.02,0.05,0.12,2991485.5500000003,-8514.44999999972,94,12,0.1276595744680851
0.7,0.0,0.05,0.08,2990647.5,-9352.5,94,9,0.09574468085106383
0.65,-0.01,0.07,0.08,2984683.855,-15316.145000000019,76,4,0.05263157894736842
0.55,-0.01,0.07,0.08,2982963.035000001,-17036.96499999892,395,101,0.25569620253164554
0.65,0.0,0.07,0.08,2951151.5,-48848.5,76,3,0.039473684210526314
0.7,-0.01,0.05,0.08,2945528.175,-54471.825000000186,94,10,0.10638297872340426
0.7,-0.01,0.05,0.12,2945083.7749999994,-54916.22500000056,94,10,0.10638297872340426
0.65,-0.01,0.07,0.12,2943399.0949999997,-56600.90500000026,76,4,0.05263157894736842
0.65,-0.02,0.05,0.12,2941814.120000002,-58185.879999998026,322,85,0.2639751552795031
0.65,-0.02,0.05,0.2,2929849.1000000015,-70150.89999999851,322,80,0.2484472049689441
0.7,-0.03,0.05,0.08,2927912.3600000003,-72087.63999999966,94,14,0.14893617021276595
0.6,0.0,0.05,0.12,2925949.0,-74051.0,1097,152,0.13855970829535097
0.7,0.0,0.03,0.08,2905827.2002563477,-94172.79974365234,1964,237,0.12067209775967414
0.7,-0.02,0.05,0.08,2900559.690000001,-99440.30999999912,94,12,0.1276595744680851
0.65,-0.02,0.05,0.08,2838482.510000002,-161517.4899999979,322,100,0.3105590062111801
0.65,-0.03,0.05,0.2,2814740.7750000013,-185259.2249999987,322,77,0.2391304347826087
