lambda_dd,phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
1.0,bo13,20,0.62,-0.01,0.06,0.14,3110559.457874548,3158363.990550403,0.015934844225284923,4
1.0,bo10,20,0.63,-0.005,0.06,0.14,3084353.4845270226,3129825.6500731,0.015157388515359272,4
1.0,bo07,20,0.61,-0.0025,0.07,0.12,3070793.380499028,3110972.5337700658,0.013393051090345958,4
1.0,init,20,0.61,0.002,0.06,0.14,3044693.2529154383,3130298.582740927,0.02853510994182946,4
1.0,init,10,0.62,0.0,0.06,0.14,3036522.141653265,3036522.141653265,0.0,4
1.0,bo04,10,0.62,-0.005,0.06,0.12,3036445.4076407887,3036445.407640789,3.7006803236400803e-17,4
1.0,init,10,0.61,-0.0025,0.06,0.14,3035531.244944157,3035544.088132652,4.281062831607035e-06,4
1.0,init,20,0.63,-0.0025,0.06,0.12,3035465.94182662,3103229.813502947,0.022587957225442115,4
1.0,init,10,0.63,-0.005,0.07,0.1,3026192.599162594,3026192.599162594,0.0,4
1.0,init,15,0.6,-0.0025,0.06,0.12,3003736.377797084,3046675.7196173863,0.014313113940100854,4
1.0,bo14,5,0.64,-0.01,0.07,0.1,3001250.0663085002,3001250.0663085002,0.0,4
1.0,init,5,0.61,0.002,0.06,0.1,3000000.0,3000000.0,0.0,4
1.0,bo06,35,0.64,-0.0025,0.07,0.1,2999723.1467202995,3086213.504514184,0.028830119264628102,4
1.0,bo12,15,0.62,-0.0025,0.06,0.1,2999361.4401858198,3039028.1842991323,0.013222248037770699,4
1.0,bo01,35,0.62,-0.01,0.07,0.14,2996443.759307246,3110664.7351454715,0.038073658612741694,4
1.0,bo02,40,0.6,0.002,0.05,0.12,2864509.7690224545,2964927.7905276404,0.0334726738350619,4
1.0,bo11,35,0.6,-0.005,0.05,0.1,2782867.2538752393,2902966.0429625222,0.040032929695760756,4
1.0,bo09,40,0.61,-0.0025,0.05,0.1,2773515.2873278884,2924994.452531546,0.05049305506788583,4
1.0,bo08,40,0.62,-0.01,0.05,0.1,2772748.9147373596,2920786.1726031518,0.049345752621930555,4
1.0,bo05,30,0.6,-0.01,0.06,0.12,2726674.5168230142,2937775.712492327,0.07036706522310424,4
1.0,bo03,35,0.6,-0.0025,0.05,0.14,2699714.5814134064,2857536.1224165726,0.052607180334388846,4
1.0,bo15,30,0.64,-0.01,0.05,0.12,2689807.3699753387,2918127.21381387,0.07610661461284374,4
1.0,bo16,40,0.61,-0.0025,0.06,0.1,2665377.434954971,2862177.7301838333,0.06560009840962079,4
1.0,init,25,0.6,0.002,0.05,0.12,2609697.4905831795,2868653.0657556783,0.08631852505749969,4
