phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
bo01,20,0.6,-0.015,0.06,0.08,2964740.472998935,3084043.241249999,0.053023452556028465,4
bo45,15,0.58,-0.015,0.06,0.08,2963103.7037323853,3082508.3937500003,0.053068751118939994,4
bo46,15,0.58,-0.015,0.04,0.08,2959169.0594809204,3096071.2416610727,0.06084541430228995,4
bo04,20,0.6,-0.01,0.04,0.15,2958849.063047911,3132432.658839723,0.07714826479636065,4
bo11,25,0.6,0.0,0.05,0.15,2955919.1160320505,3122620.312347412,0.07408942058460524,4
bo41,15,0.56,-0.01,0.04,0.15,2955311.3207032303,3113344.8073492446,0.07023710517600643,4
bo26,20,0.58,-0.01,0.04,0.1,2944803.889259749,3102186.5699505624,0.06994785808480597,4
init,25,0.6,-0.005,0.04,0.15,2933294.507856827,3101690.894432068,0.07484283847788496,4
bo15,25,0.64,-0.01,0.04,0.15,2927850.9820347433,3100560.451373291,0.07675976415046576,4
bo33,25,0.58,-0.01,0.04,0.08,2920321.897598278,3079338.2084338395,0.07067391592691645,4
bo60,20,0.62,0.0,0.04,0.15,2913703.7321884027,3085958.649963379,0.07655774123332297,4
bo48,15,0.58,-0.01,0.04,0.08,2911751.5544044194,3048056.875369874,0.060580142651313326,4
bo43,15,0.64,-0.015,0.06,0.08,2902056.1027846294,2993072.05375,0.040451533762387,4
bo27,20,0.56,-0.02,0.05,0.1,2891772.8776341295,3071313.441358949,0.07979580609991964,4
bo47,20,0.58,-0.015,0.04,0.12,2861571.2802760415,3057915.6735205087,0.08726417477531861,4
bo44,25,0.6,-0.02,0.04,0.08,2854330.025455378,3044815.641207277,0.08466027366751064,4
init,25,0.56,-0.02,0.05,0.08,2840928.405036487,3036841.938858949,0.08707268169887197,4
bo06,25,0.62,0.0,0.05,0.12,2840213.469166356,3018827.25,0.07938390259273063,4
bo57,25,0.6,-0.02,0.04,0.12,2825565.4597220095,3030428.534664308,0.09105025552991033,4
bo52,25,0.58,-0.015,0.05,0.12,2822618.7235227553,3038429.4749147035,0.09591588950753253,4
bo30,25,0.64,-0.015,0.04,0.15,2814226.6222052886,3013572.557440187,0.08859819343773234,4
bo12,20,0.58,-0.005,0.04,0.08,2811886.7486504307,3006459.4812344364,0.08647677003733577,4
