phase,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
bo32,20,0.62,0.0,0.06,0.12,3272610.9720437205,3336516.25,0.028402345758346277,4
bo51,20,0.64,0.0,0.06,0.15,3272539.409268203,3337438.25,0.028843929214131918,4
init,15,0.58,-0.01,0.05,0.1,3270924.2399366973,3345013.5083084106,0.03292856372076162,4
bo58,15,0.62,-0.005,0.05,0.1,3260085.63929918,3312392.878125,0.02324766170036417,4
bo10,20,0.62,0.0,0.06,0.15,3259827.498259314,3331891.75,0.03202855632919392,4
init,25,0.6,-0.01,0.06,0.12,3228387.644171696,3333615.6426849375,0.04676799933921816,4
bo37,25,0.58,-0.015,0.06,0.1,3210780.140811623,3302285.720185852,0.04066914638854616,4
bo22,15,0.62,-0.005,0.05,0.15,3199874.230460306,3271209.6812499994,0.031704644795419415,4
bo50,15,0.6,-0.005,0.05,0.1,3196649.7167809233,3273932.4812499993,0.03434789531958939,4
bo07,15,0.64,-0.005,0.05,0.12,3192975.8630100135,3249583.7981249997,0.025159082273327082,4
bo36,15,0.62,-0.015,0.05,0.15,3173276.943081156,3242746.8968749996,0.03087553501948631,4
init,15,0.64,-0.005,0.05,0.1,3170262.3568129055,3224997.2031249995,0.02432659836093051,4
bo59,25,0.6,-0.01,0.05,0.1,3166508.1642299574,3266422.400000001,0.044406327008908106,4
bo35,25,0.6,-0.005,0.06,0.15,3146116.226817103,3243254.3332797242,0.04317249176116483,4
bo18,25,0.6,-0.02,0.06,0.08,3141126.1599403764,3249158.232500001,0.04801425447094433,4
bo05,25,0.62,-0.01,0.05,0.1,3131515.6385358814,3230447.987654114,0.04396993294143671,4
bo56,20,0.62,-0.02,0.06,0.12,3129983.645771675,3212924.613779298,0.03686265244783244,4
bo54,20,0.64,0.0,0.05,0.15,3124581.756764272,3211635.625,0.03869060810476807,4
init,15,0.6,-0.015,0.06,0.12,3116596.174107291,3184472.76125,0.03016737206342621,4
bo55,25,0.62,-0.005,0.05,0.12,3116141.107367278,3230463.91875,0.050810138392320736,4
bo24,15,0.64,0.0,0.05,0.1,3116069.8576856293,3170216.875,0.024065341028609376,4
bo25,15,0.6,-0.02,0.05,0.12,3115647.8915822003,3201488.9387500007,0.0381515765190224,4
init,20,0.64,-0.015,0.05,0.12,3114913.4273121897,3202117.545654297,0.03875738592982543,4
bo28,15,0.58,0.0,0.05,0.15,3112110.7901246804,3193183.750152588,0.03603242667907016,4
bo34,15,0.58,-0.02,0.05,0.15,3110850.841976188,3217784.09375,0.04752588967724984,4
bo13,20,0.62,-0.02,0.06,0.1,3107107.994711687,3181724.0387792974,0.03316268625227131,4
bo39,15,0.64,-0.01,0.06,0.12,3103471.0844594967,3147798.2025000006,0.019700941351335016,4
init,15,0.62,0.0,0.04,0.08,3095184.847723385,3172867.5002441406,0.03452562334255804,4
init,15,0.58,0.0,0.05,0.12,3094135.975134248,3172020.250152588,0.03461523334148444,4
bo38,15,0.6,-0.005,0.04,0.15,3093181.714596973,3234299.7338726805,0.0627191196780924,4
init,15,0.58,-0.005,0.06,0.08,3089722.7971999813,3170177.10125,0.03575746846667502,4
bo20,15,0.62,-0.02,0.04,0.12,3089432.1946964446,3198829.7548754895,0.04862113785735315,4
bo17,20,0.58,-0.015,0.05,0.12,3083513.911595676,3203251.4809375005,0.05321669748525529,4
bo23,25,0.62,-0.005,0.05,0.1,3081178.409818885,3201991.63125,0.0536947650804956,4
bo14,25,0.64,-0.01,0.06,0.1,3070440.240349738,3170928.0024999995,0.04466122762233859,4
bo09,15,0.6,-0.02,0.06,0.12,3068971.156518881,3144357.1550000003,0.03350488821383086,4
bo16,25,0.64,-0.02,0.05,0.08,3061750.008073377,3171841.0200000005,0.048929338634055075,4
bo42,20,0.58,-0.02,0.06,0.1,3060093.5916908616,3172671.587500001,0.05003466480406181,4
init,25,0.56,0.0,0.05,0.12,3056708.344169916,3209756.2496032715,0.06802129130371358,4
init,25,0.6,-0.005,0.04,0.12,3052446.0661013937,3183850.9888317874,0.058402187880175024,4
bo40,25,0.64,-0.02,0.05,0.1,3050325.0774867004,3153052.400000001,0.04565658778368899,4
bo53,25,0.56,-0.02,0.06,0.12,3049556.903877,3189157.972500001,0.06204491938800056,4
init,25,0.58,-0.01,0.06,0.08,3045121.419177211,3155065.8451849376,0.048864189336767484,4
bo29,20,0.6,0.0,0.04,0.15,3043597.697846991,3164129.5416259766,0.053569708346215744,4
init,15,0.64,-0.02,0.06,0.12,3037310.9454328646,3096277.005,0.026207137585393725,4
bo49,20,0.56,-0.005,0.05,0.08,3030226.647578381,3164886.4466698463,0.059848799596206634,4
bo08,25,0.64,-0.015,0.05,0.08,3026502.8043883094,3141772.2965625003,0.051230885410751624,4
init,15,0.56,-0.01,0.04,0.1,3016999.964209351,3141241.4713397226,0.05521844761349856,4
bo21,20,0.64,-0.015,0.04,0.1,3003046.2208622396,3125138.11625,0.05426306461678246,4
bo03,20,0.6,-0.01,0.06,0.08,2994148.504031805,3096693.8825000003,0.045575723763642516,4
bo31,25,0.64,-0.01,0.04,0.1,2993004.506848787,3152267.3380670175,0.07078348054143581,4
bo19,25,0.56,-0.01,0.06,0.12,2990568.566425894,3119631.3576849373,0.057361240559574894,4
bo02,15,0.6,-0.02,0.04,0.12,2989441.9551803367,3148456.278779298,0.07067303271064954,4
