lambda_dd,horizon,threshold,limit,take_profit,stop_loss,objective_mean,final_capital_mean,max_drawdown_mean,folds
0.5,20,0.61,0.002,0.06,0.14,3167979.015897459,3212164.507,0.02945699406836047,4
0.75,25,0.62,-0.01,0.07,0.14,3147834.5116193406,3184663.6081250003,0.016368487335848617,4
