Date,phase_name,ret5,dd20,vol10
2024-08-02,crash,-0.0466639710616885,-0.1495433258746664,0.0233649944426308
2024-08-05,crash,-0.1822318388695171,-0.2549638743276768,0.0428067328220613
2024-08-06,crash,-0.0999453189170489,-0.1787740408788725,0.0580993252799189
2024-08-07,crash,-0.1026090137667423,-0.1689654020792557,0.0585778664078889
2024-08-08,crash,-0.0864279318138507,-0.1750868623078041,0.0579934632779587
2024-08-09,crash,-0.0246367760799305,-0.1514249859460441,0.0581259991339289
2025-04-03,crash,-0.0810593014709833,-0.0865525641228451,0.0155473792343611
2025-04-04,crash,-0.0899709180574491,-0.1116753532054386,0.0164833073663425
2025-04-07,crash,-0.1258081320714469,-0.1812043181161226,0.0265469081829367
2025-04-09,crash,-0.1122951428209358,-0.1660191909880507,0.0362205818702898
2026-03-09,crash,-0.0917804513097358,-0.1040190780774488,0.024916286715618
