mode,major_crash_definition,major_crash_rule,normal_after_major_crash_highvol_rule,etf_ticker,etf_activation,dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct,earnings_pre_days,earnings_post_days,gold_ticker,gold_phases,gold_allocation_ratio,gold_signal_name,gold_require_recent_phase,gold_require_recent_phase_days,phase_shift_days,gold_phase_shift_days,phase_pnl
stock_only_strict,phase=crash and (ret5<=-0.08 or dd20<=-0.14),downtrend(no_trade),downtrend(no_trade),1321.T,disabled,q2_2024,2608834.8006591797,-13.038839978027339,40,-15.021802068039303,1,5,1321.T,[],1.0,rebound_open,downtrend,10,1,1,"{'capitulation_end': 0.0, 'crash': -15611.099609375, 'downtrend': 0.0, 'high_vol': -329501.400390625, 'normal': -64246.650390625, 'overheated_range': -15901.19921875, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}"
nikkei1321_post_major_highvol,phase=crash and (ret5<=-0.08 or dd20<=-0.14),downtrend(no_trade),downtrend(no_trade),1321.T,high_vol with recent downtrend(major_crash transformed) within 10 days,q2_2024,2608834.8006591797,-13.038839978027339,40,-15.021802068039303,1,5,1321.T,['high_vol'],1.0,rebound_open,downtrend,10,1,1,"{'capitulation_end': 0.0, 'crash': -15611.099609375, 'downtrend': 0.0, 'high_vol': -329501.400390625, 'normal': -64246.650390625, 'overheated_range': -15901.19921875, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}"
