feature,spearman_with_base_rank_inv_q2,spearman_with_base_rank_inv_q3,pearson_with_base_rank_inv_q2,pearson_with_base_rank_inv_q3
annual_return_pct,0.3215732169156322,0.1324854920360538,0.2182534875054112,0.1136470563853355
article_score_raw,-0.1044312357798272,-0.1160532019702141,-0.1120305259652861,-0.1006645171636674
avg_monthly_high_low_change_pct,0.1097070271407532,0.0719841955797011,0.0249888142973791,0.0261251314779996
business_score_raw,-0.2421172033810983,0.0221519676496032,-0.2469999998061941,0.0520844706908513
chart_score_raw,0.5266147696191879,0.4175412602378894,0.5089492860202434,0.3592027511031864
dividend_score_raw,-0.0646435128553703,0.1407246849745884,-0.0569256974169906,0.1050190335598096
earnings_score_raw,-0.0762317256739743,-0.0544694354188685,-0.0880557626152605,-0.053645266449563
finance_score_raw,0.1082872274333494,-0.0568218298555377,0.0989262754762635,-0.066096439532478
max_drawdown_pct,-0.016463286345466,-0.1764909248055315,-0.0637156499884579,-0.1993173503214586
ocr_earnings_num_count,0.0211352757924904,0.0743840436412681,0.0596323153576013,-0.0090318043899665
ocr_earnings_num_mean,0.048795062887349,0.1060696860490028,0.0642088286186041,0.0854981483163768
ocr_negative_count,0.0825276896921367,-0.0470655193750108,0.0828458940178593,-0.0194002756262522
ocr_pbr,-0.0748776103314242,-0.0568321623882166,0.0025817870401819,-0.0614766900719312
ocr_per,-0.1141327935347267,-0.0633425684385289,-0.1068267737224166,0.0785397808273477
ocr_positive_count,-0.2206539114609846,0.0383599203362357,-0.2362342599500685,0.0635082992604309
ocr_roa,0.0095950232513841,-0.159795399675538,-0.0280115555960312,-0.1175658631929454
ocr_roe,0.0248942193780923,-0.153777763773226,-0.043097101787629,-0.1326628904108294
ocr_shareholder_count,-0.0926863489372204,0.1009609629191708,-0.0763297074025233,0.0675508638421645
ocr_theme_count,,,,
ocr_yield,0.0240873009359616,-0.027769138538975,0.0570983938950579,-0.0446167398580445
overall_shikiho_score,0.1146118241110877,0.1777421080791867,0.1041082066621961,0.1470598249257081
persistence_20d_pct,0.1919603277751957,0.0841996209801831,0.1592839114474584,0.0660955696776227
quarter_return_pct,0.2165868924889543,0.1755854632259126,0.1502434144951971,0.0529640673170867
trend_r2,0.4268356827266989,0.4208338478001399,0.4495932144217104,0.4034476778329764
