date,nikkei_phase,equity
2024-07-01,stable,2998604.6501464844
2024-07-02,stable,3025171.3005371094
2024-07-03,uptrend,3017537.9997558594
2024-07-04,uptrend,3015937.9997558594
2024-07-05,uptrend,3002504.6501464844
2024-07-08,uptrend,3010004.6501464844
2024-07-09,uptrend,3032304.6501464844
2024-07-10,uptrend,3064371.3005371094
2024-07-11,uptrend,3070937.9997558594
2024-07-12,uptrend,3062471.3005371094
2024-07-16,normal,3069076.324951172
2024-07-17,overheated_range,3062067.975341797
2024-07-18,normal,3038351.324951172
2024-07-19,normal,3011776.324951172
2024-07-22,normal,2952859.625732422
2024-07-23,normal,2972142.9997558594
2024-07-24,normal,2926917.9997558594
2024-07-25,normal,2888942.9997558594
2024-07-26,normal,2870082.9997558594
2024-07-29,normal,2898582.9997558594
2024-07-30,crash,2878705.6766967773
2024-07-31,crash,2857949.0202026367
2024-08-01,downtrend,2832949.0202026367
2024-08-02,crash,2791949.0202026367
2024-08-05,crash,2765369.0202026367
2024-08-06,crash,2765369.0202026367
2024-08-07,crash,2871389.0202026367
2024-08-08,crash,2880263.0202026367
2024-08-09,crash,2889263.0202026367
2024-08-13,crash,2880748.0202026367
2024-08-14,capitulation_end,2947638.1355590816
2024-08-15,capitulation_end,2941968.1740112305
2024-08-16,crash,3127587.0586547847
2024-08-19,downtrend,3118598.81685791
2024-08-20,downtrend,3222278.6996704102
2024-08-21,downtrend,3197318.73873291
2024-08-22,downtrend,3245958.77779541
2024-08-23,downtrend,3238918.73873291
2024-08-26,downtrend,3346018.73873291
2024-08-27,downtrend,3381928.8156372067
2024-08-28,downtrend,3299398.584924316
2024-08-29,downtrend,3299398.584924316
2024-08-30,normal,3299398.584924316
2024-09-02,normal,3272738.66060791
2024-09-03,normal,3345207.9362915037
2024-09-04,normal,3234607.9362915037
2024-09-05,normal,3234607.9362915037
2024-09-06,normal,3234607.9362915037
2024-09-09,crash,3241019.096630859
2024-09-10,crash,3264947.6677978514
2024-09-11,crash,3183035.1677978514
2024-09-12,downtrend,3218035.1677978514
2024-09-13,downtrend,3218035.1677978514
2024-09-17,downtrend,3218035.1677978514
2024-09-18,downtrend,3218035.1677978514
2024-09-19,downtrend,3218035.1677978514
2024-09-20,downtrend,3196075.3167236326
2024-09-24,downtrend,3171065.0933349608
2024-09-25,downtrend,3171065.0933349608
2024-09-26,downtrend,3171065.0933349608
2024-09-27,surge,3171065.0933349608
2024-09-30,surge,3171065.0933349608
