variant,dataset,total_return_pct,num_buys,max_drawdown_pct
every_15d,q2_2024,-0.7121987426757848,55,-8.027518406651957
every_15d,q3,27.462522837321004,84,-4.038395958270158
every_15d,q4,7.5220000000000065,47,-4.415725761506195
every_15d,4q2,1.2208499186198374,72,-6.184793744110451
every_10d,q2_2024,3.8899298726399634,47,-7.171855821565842
every_10d,q3,29.06162283732099,80,-3.62153171739128
every_10d,q4,7.150233329264344,43,-8.395131930715804
every_10d,4q2,4.316150000000008,82,-7.05801292641004
every_7d,q2_2024,0.786369875081383,50,-5.986939837831551
every_7d,q3,18.0512886657715,84,-2.3875161153054214
every_7d,q4,9.45474999593101,58,-7.010186062723389
every_7d,4q2,-2.0341500813801816,68,-13.679085961144866
monthly,q2_2024,1.6672850219726645,46,-7.906336220285592
monthly,q3,18.31381999104822,79,-3.2104134092463266
monthly,q4,9.649983333333378,49,-6.364159514395096
monthly,4q2,4.882133251953169,59,-6.798072149200807
every_5d,q2_2024,-4.909750414021796,38,-10.413505832904535
every_5d,q3,20.332467832438184,79,-3.247994192250592
every_5d,q4,6.526783333333341,53,-5.441106751406021
every_5d,4q2,4.723008333333389,72,-6.188162670221686
