dataset_id,learning_date,training_cutoff_date,price_axis,image_count_total,selected_count,output_dir,source_image_dir,source_library_csv
q3_pre_analysis_20250630_aligned,2025-06-30,2025-06-30,aligned_252_63_trading_days,3946,13.0,projects\quarterly_ranker\output\q3_pre_analysis_20250630_aligned,C:\Users\mitsu\OneDrive\ドキュメント\四季報DB2025\3Q,projects\quarterly_ranker\output\q3_pre_analysis_20250630_full\q3_image_library.csv
q3_pre_analysis_20250630_full,2025-06-30,2025-06-30,ytd_plus_calendar_quarter,3946,,projects/quarterly_ranker/output/q3_pre_analysis_20250630_full,C:\Users\mitsu\OneDrive\ドキュメント\四季報DB2025\3Q,projects\quarterly_ranker\output\q3_pre_analysis_20250630_full\q3_image_library.csv
