quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,selected_rank,selected,future_return_2024Q3_pct
2024Q2_PRE,45,7460.T,ヤギ,卸売業,0.9029874440358616,36.74623115577889,20.27624309392264,15.158158772827646,18.012422360248447,0.9373360935600732,8.796546141392337,66.66666666666666,98.06306306306305,70.0,2177.0,6469,63.07116104868913,2024-06-30,2024-06-30,7.8,7.8,25.3,7.8,7.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
7.8
(26.3>
7.6
实PER
高值平均
18.8
安值平均
14.0
PBR
0.42
株佰(5/27)
G2
2008月
CIEE
最低購人额
24
5.4
20万800F
7460
特
卸",6783.png,0.8741379310344828,0.5838367346938775,0.9094486463066447,0.8034332938575539,11,True,-15.459610027855152
2024Q2_PRE,160,4762.T,エックスネット,情報・通信業,0.8544030247482772,36.090909090909086,19.759999999999998,18.024135077575178,25.86206896551724,0.7536936123609467,8.082408874801905,75.0,94.26952141057934,75.0,1497.0,5719,44.08084696823869,2024-06-30,2024-06-30,11.0,11.0,25.3,11.0,11.0,medium,medium,low,low,low,"1588布E楼
株伍指标
予想PER
（倍）
<25.3>
11.0
(26.3>
9.2
实PER
高值平均
13.4
安值平均
11.2
PBR
1.46
株倡(5/27)
7
万补
1501月
最低購人额
24
9.0
15万100P
单老特
4762
情
增",5493.png,0.890652557319224,0.6455646258503401,0.880284096000948,0.8017876737804539,12,True,-1.4112903225806495
2024Q2_PRE,96,6772.T,東京コスモス電機,電気機器,0.8795570269479595,31.298904538341166,24.480712166172115,14.801444739581138,22.322775263951744,0.8750227984753629,13.569520202901087,66.66666666666666,98.47417840375586,90.0,839.0,6272,41.91474673146524,2024-06-30,2024-06-30,10.2,10.2,25.3,10.2,10.2,medium,medium,low,low,low,"4100布E校
株伍指标
予想PER
（倍）
<25.3>
10.2
(26.3>
8.6
实PER
高宿平均
4.4
安值平均
2.2
PBR
0-82
株佰(5/27)
4245P
最低購人额
21
14.9
42万4500P
6772",6395.png,0.8201754385964912,0.6168775510204082,0.9092697980662052,0.7974152455756391,13,True,-1.6786570743405282
2024Q2_PRE,112,4658.T,日本空調サービス,サービス業,0.8720221716122487,33.41463414634147,18.015102481121904,14.10897692410297,17.416378316032286,0.814199389291709,7.343412526997839,75.0,95.54585152838429,100.0,1094.0,4793,42.81984334203655,2024-06-30,2024-06-30,12.0,12.0,25.3,12.0,12.0,medium,medium,low,low,low,"959布E校
株伍指标
予想PER
（倍）
<25.3>
12.0
(26.3>
10.2
实PER
高值平均
13.2
安值平均
10.4
PBR
1.41
株倡(5/27)
3
980P
最低購人额
24
12.1
G000856
4658",5439.png,0.7755905511811023,0.6401836734693878,0.9020014035009758,0.7932549795399924,14,True,-2.332089552238803
2024Q2_PRE,25,7327.T,第四北越フィナンシャルグループ,銀行業,0.9230571243412989,32.90155860708155,18.06674006618094,10.936930086843947,15.323495602600712,0.892718399542461,9.673521408991892,91.66666666666666,98.46449366978723,75.0,855.0,1814,67.64705882352942,2024-06-30,2024-06-30,9.1,9.1,25.3,9.1,9.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
9.1
(26.3>
8.4
实PER
高值平均
9.0
安值平均
6.3
PBR
0.42
株佰(5/27)
4770m
最低購人额
24
4.6
47万7000P
7327
銀",6710.png,0.7098765432098766,0.5770204081632653,0.8965223319594577,0.7814805823603257,15,True,-9.402695143153906
2024Q2_PRE,15,9823.T,マミーマートホールディングス,小売業,0.9299913701354251,82.12290502793296,37.84355179704018,20.519284376035518,26.079136690647474,0.9303385519471913,20.077972709551663,83.33333333333334,93.00998573466477,100.0,1304.0,6533,169.75589914451663,2024-06-30,2024-06-30,12.3,12.3,24.9,12.3,12.3,medium,medium,low,low,low,"5810
株伍指标
予想PER
（倍）
<24.9>
12.3
<25.9>
12.3
实PER
高值平均
7.6
安值平均
5.9
PBR
1.51
株福(5/27)
5530m
最低購人额
24
55万3000P
9823
小",7794.png,0.7175925925925926,0.5017006802721089,0.9784824932694907,0.7787444986094602,16,True,-31.170886075949365
2024Q2_PRE,258,6231.T,木村工機,機械,0.8256384048230071,87.74193548387098,21.249999999999993,32.019913628885284,39.95584988962473,0.8124480189893186,24.598269468479607,66.66666666666666,77.60000000000001,65.0,5820.0,1463,161.69064748201438,2024-06-30,2024-06-30,9.6,9.6,25.3,9.6,9.6,medium,medium,low,low,low,"5750
株伍指标
予想PER
（倍）
<25.3>
9.6
(26.3>
8.7
实PER
高值平均
9.2
安值平均
4.6
PBR
2.08
2
株幅(5/27)
5610m
最低購人额
24
23.7
56万1000F
6231
概",6070.png,0.8162790697674419,0.6053741496598639,0.9218652490936495,0.7766117976292314,17,True,-17.013888888888886
2024Q2_PRE,14,5889.T,Ｊａｐａｎ Ｅｙｅｗｅａｒ Ｈｏｌｄｉｎｇｓ,小売業,0.9303885557271357,142.671009771987,41.837220371251796,33.80787825873227,52.70336093521675,0.9239372999624266,17.587273530711446,71.42857142857143,95.05582137161085,100.0,2980.0,563,168.22682268226822,2024-06-30,2024-06-30,18.6,18.6,25.1,18.6,18.6,medium,medium,low,low,low,"2320
株伍指标
予想PER
（倍）
<25.1>
18.6
<26.1>
16.7
实PER
高值平均
14.1
安值平均
9.1
PBR
3-91
株倡(5/27)
2169
最低購人额
24
24.7
21万6900m
更航特
5889",5864.png,0.5262345679012346,0.560625850340136,0.9847817130118242,0.7694127452701276,18,True,-1.2881355932203409
2024Q2_PRE,33,6489.T,前澤工業,機械,0.9144375856820682,42.59259259259258,29.928952042628776,16.864792596486524,21.278538812785385,0.7962908919732052,17.061611374407583,83.33333333333334,97.79411764705883,100.0,1463.0,6276,81.96517412935323,2024-06-30,2024-06-30,7.7,7.7,24.5,7.7,7.7,medium,medium,low,low,low,"1401
株伍指标
（倍）
予想PER
<24.5>
7.7
<25.5>
7.5
实PER
高值平均
6.0
安值平均
3.8
PBR
0.94
株倡(5/27)
5
1374m
十万件
mn
最低購人额
24
13万74009
可
又连特
6489
概
增
32克半色",6234.png,0.9162790697674419,0.41819727891156466,0.9306262762045483,0.7684947367602457,19,True,-14.295392953929543
2024Q2_PRE,130,2585.T,ライフドリンク カンパニー,食料品,0.8629362129173935,41.622760800843,34.400000000000006,22.649449877156595,32.50950570342206,0.7511463391526294,27.842809364548494,66.66666666666666,96.4131994261119,95.0,1680.0,1030,60.57347670250897,2024-06-30,2024-06-30,19.4,19.4,25.3,19.4,19.4,medium,medium,low,low,low,"0-0
株伍指标
予想PER
（倍）
<25.3>
19.4
(26.3>
18.7
实PER
高值平均
22.5
安值平均
9.2
PBR
6-58
株倡(5/27)
2
5720m
最低購人额
24
32.4
57万2000F
2585
食",4349.png,0.49193548387096775,0.6852857142857143,0.9173247567943889,0.7642211973085369,20,True,14.790419161676649
2024Q2_PRE,50,8541.T,愛媛銀行,銀行業,0.9016941434385403,30.22794846382557,18.699186991869922,11.668018309824452,15.146147032772372,0.8399737400499049,18.221447253705314,75.0,99.69650986342944,80.0,1314.0,6276,65.4911838790932,2024-06-30,2024-06-30,9.3,9.3,25.3,9.3,9.3,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
9.3
(26.3>
8.4
实PER
高值平均
7.9
安值平均
5.6
PBR
0-34
株幅(5/27)
1187A
最低購人额
24
3.8
11万87009
8541
銀",7302.png,0.6604938271604939,0.5695714285714286,0.885336047756065,0.7618785271016408,21,True,-20.928462709284624
2024Q2_PRE,90,8622.T,水戸証券,証券、商品先物取引業,0.8813581890023292,34.338747099767986,22.41014799154335,13.241178403962884,19.383259911894267,0.7546845554946516,18.145161290322577,66.66666666666666,99.65576592082617,65.0,579.0,6276,75.98784194528876,2024-06-30,2024-06-30,14.5,14.5,25.3,14.5,14.5,medium,medium,low,low,low,"556
株伍指标
予想PER
（倍）
<25.3>
14.5
(26.3>
13.9
实PER
高值平均
15.2
安值平均
10.0
PBR
0-81
株倡(5/27)
2
5399
最低購人额
24
5.7
5万3900F
8622",7331.png,0.5277777777777778,0.6332925170068027,0.8752909653790748,0.7523376408592832,22,True,-19.6551724137931
2024Q2_PRE,29,5020.T,ＥＮＥＯＳホールディングス,石油・石炭製品,0.9197206551646245,41.20258645586774,18.45800946491025,13.131075372221899,19.246257975197366,0.8845833170306729,18.255954804881814,75.0,99.11270690478867,85.0,826.5999755859375,6276,71.60057185771267,2024-06-30,2024-06-30,11.1,11.1,25.3,11.1,11.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
11.1
(26.3>
7.4
实PER
高值平均
7.8
安值平均
5.5
PBR
0.73
株幅(5/27)
20
百样
792.1F
最低購人额
21
9.5
7万92109
5020
石",5612.png,0.5,0.5696802721088436,0.9176851528853239,0.7512004843744793,23,True,-7.550751099092967
2024Q2_PRE,37,5393.T,ニチアス,ガラス・土石製品,0.9092018189965153,37.40902474526928,18.1476846057572,12.754105890237325,17.712177121771223,0.9097405256349959,6.955128205128203,75.0,96.91991786447639,75.0,4720.0,6276,61.42270861833106,2024-06-30,2024-06-30,11.7,11.7,25.3,11.7,11.7,medium,medium,low,low,low,"4540布E校
株伍指标
予想PER
（倍）
<25.3>
11.7
(26.3>
11.2
实PER
高值平均
9.4
安值平均
6.5
PBR
1.49
株佰(5/27)
2
4530m
最低購人额
24
14.5
45万3000F
5393",5736.png,0.5102040816326531,0.5825102040816326,0.9077337273504937,0.7508877902821445,24,True,19.663512092534184
2024Q2_PRE,47,8362.T,福井銀行,銀行業,0.9021688570910128,40.82876294942108,19.92734820965232,13.406465950591748,18.585858585858595,0.8656595768709912,11.577918905715679,66.66666666666666,98.42419080068143,95.0,2311.0,6276,60.82115518441198,2024-06-30,2024-06-30,11.5,11.5,25.3,11.5,11.5,medium,medium,low,low,low,"株伍指标
EK
予想PER
（倍）
<25.3>
11.5
<26.3>
10.7
实PER
高值平均
12.8
安值平均
8.7
PBR
0-33
株幅(5/27)
2
19469
最低購人额
21
2.8
19万4600P9
8362
銀",7268.png,0.46296296296296297,0.5690000000000001,0.9219020067471735,0.7402884809231259,25,True,-20.56277056277056
