date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,reason
2026-01-05,8346.T,銀行/地方銀行,銀行業,BUY,548.0,100,2945200.0,0.5577802614742857,buy_signal
2026-01-05,6343.T,機械/住宅建設,機械,BUY,169.0,500,2860700.0,0.5298495366567909,buy_signal
2026-01-05,8515.T,その他金融/リース・消費者金融,その他金融業,BUY,548.0,200,2751100.0,0.5076024163126068,buy_signal
2026-01-05,4977.T,化学/食品,化学,BUY,1229.0,100,2628200.0,0.5035742266048093,buy_signal
2026-01-05,9791.T,大幅強気/増額,サービス業,BUY,1413.0,100,2486900.0,0.48568754658838287,buy_signal
2026-01-05,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,816.0,300,2242100.0,0.4507347942253323,buy_signal
2026-01-05,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3155.0,100,1926600.0,0.43972316331024847,buy_signal
2026-01-05,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,744.0,500,1554600.0,0.4341231964453122,buy_signal
2026-01-05,3352.T,小売/他消費財小売り,小売業,BUY,1619.0,200,1230800.0,0.42759850266657845,buy_signal
2026-01-05,9405.T,大幅増額/情報通信,情報・通信業,BUY,848.0,400,891600.0,0.4166600859644206,buy_signal
2026-01-05,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1065.0,400,465600.0,0.4118235266703493,buy_signal
2026-01-05,8154.T,卸売/電子部品・産業用電子機器,卸売業,BUY,3915.0,100,74100.0,0.39736200106090647,buy_signal
2026-01-08,3352.T,小売/他消費財小売り,小売業,SELL,1610.0,200,396100.0,0.4163909637653241,sell_signal
2026-01-08,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1042.0,400,812900.0,0.38763988603524807,sell_signal
2026-01-08,9531.T,225/電気ガス,電気・ガス業,BUY,6232.0,100,189700.0,0.44394770769961206,buy_signal
2026-01-09,3352.T,小売/他消費財小売り,小売業,BUY,1624.0,100,27300.0,0.42042910752315493,buy_signal
2026-01-19,9791.T,大幅強気/増額,サービス業,SELL,1397.0,100,167000.0,0.46016311910329477,sell_signal
2026-01-22,3352.T,小売/他消費財小売り,小売業,SELL,1640.0,100,331000.0,0.4246380945299412,sell_signal
2026-01-22,7184.T,銀行/地方銀行,銀行業,BUY,2379.0,100,93100.0,0.7708377612436234,buy_signal
2026-01-23,7184.T,銀行/地方銀行,銀行業,SELL,2423.0,100,335400.0,0.7820240784191975,sell_signal
2026-01-23,9034.T,前号並み/陸運,陸運業,BUY,1608.0,100,174600.0,0.45021926318261496,buy_signal
2026-01-23,3352.T,小売/他消費財小売り,小売業,BUY,1639.0,100,10700.0,0.4293536283856753,buy_signal
2026-01-26,8154.T,卸売/電子部品・産業用電子機器,卸売業,SELL,3870.0,100,397700.0,0.3865930891789888,sell_signal
2026-01-26,9034.T,前号並み/陸運,陸運業,SELL,1582.0,100,555900.0,0.42849941095662114,sell_signal
2026-01-26,7184.T,銀行/地方銀行,銀行業,BUY,2285.0,200,98900.0,0.7283432207958643,buy_signal
2026-01-27,9405.T,大幅増額/情報通信,情報・通信業,SELL,826.0,400,429300.0,0.37027111988795824,sell_signal
2026-01-28,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3085.0,100,737800.0,0.40924979079080853,sell_signal
2026-01-28,3352.T,小売/他消費財小売り,小売業,SELL,1586.0,100,896400.0,0.4018665460270984,sell_signal
