mapping_name,mapping_ja,earnings_pre_days,earnings_post_days,phase_shift_days,phase_proxy_mode,high_vol_take_profit_pct,weak_uptrend_take_profit_pct,dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct,phase_pnl
practical_phase_adaptive_v31_pre1_post5_except_crash,実務向け局面切替v3.1_決算前1営業日_決算後5営業日見送り_crash除外,1,5,1,difficult_v11,,,q2_2024,3101242.5506591797,3.3747516886393214,45,-7.906336220285592,"{'capitulation_end': 27700.0, 'crash': 169861.900390625, 'downtrend': 32600.0, 'normal': -147113.30078125, 'overheated_range': -15901.19921875, 'stable': 14295.150268554688, 'surge': 0.0, 'uptrend': 19800.0}"
practical_phase_adaptive_v31_pre1_post5_except_crash,実務向け局面切替v3.1_決算前1営業日_決算後5営業日見送り_crash除外,1,5,1,difficult_v11,,,q3,3389265.087402345,12.975502913411496,54,-7.34951301320611,"{'normal': 303431.4877929697, 'overheated_range': 69604.66259765625, 'settling': 227320.9246826172, 'stable': 14800.0, 'uptrend': -225891.98767089797}"
practical_phase_adaptive_v31_pre1_post5_except_crash,実務向け局面切替v3.1_決算前1営業日_決算後5営業日見送り_crash除外,1,5,1,difficult_v11,,,q4,3935825.4998779316,31.19418332926438,50,-2.5782942328292813,"{'high_vol': 592328.4998779306, 'normal': 292734.50000000093, 'stable': 52462.5, 'surge': -1700.0, 'uptrend': 0.0}"
practical_phase_adaptive_v31_pre1_post5_except_crash,実務向け局面切替v3.1_決算前1営業日_決算後5営業日見送り_crash除外,1,5,1,difficult_v11,,,4q2,3105000.9975585947,3.5000332519531607,57,-9.472735046209891,"{'crash': -61006.00244140625, 'high_vol': 62045.50000000093, 'normal': 145598.0, 'settling': 14094.5, 'stable': -10831.0, 'surge': -44900.0}"
