"macro_confirm_min","macro_score_weight","final_capital","total_return_pct","win_rate_pct","num_roundtrips","avg_roundtrip_return_pct","max_drawdown_pct","output_dir"
"0.05","0","3053108.0000000005","1.7702666666666866","62.5","24","1.2988299124227318","-2.820122048261642","projects\shikiho_text_parser\output\macro_gate_search\m0p05_w0p00"
"0.05","0.06","3053108.0000000005","1.7702666666666866","62.5","24","1.2988299124227318","-2.820122048261642","projects\shikiho_text_parser\output\macro_gate_search\m0p05_w0p06"
"0.05","0.12","3051308.0000000005","1.7102666666666932","60.86956521739131","23","1.2614628050804604","-2.821738726102807","projects\shikiho_text_parser\output\macro_gate_search\m0p05_w0p12"
"0.05","0.2","3051308.0000000005","1.7102666666666932","60.86956521739131","23","1.2614628050804604","-2.821738726102807","projects\shikiho_text_parser\output\macro_gate_search\m0p05_w0p20"
"0","0","2948770.0000000005","-1.7076666666666518","60","25","0.9085899078573467","-5.5659280656638614","projects\shikiho_text_parser\output\macro_gate_search\m0p00_w0p00"
"0","0.06","2948770.0000000005","-1.7076666666666518","60","25","0.9085899078573467","-5.5659280656638614","projects\shikiho_text_parser\output\macro_gate_search\m0p00_w0p06"
"0","0.12","2946970.0000000005","-1.7676666666666563","58.333333333333336","24","0.8565197631307789","-5.569138385718908","projects\shikiho_text_parser\output\macro_gate_search\m0p00_w0p12"
"0","0.2","2946970.0000000005","-1.7676666666666563","58.333333333333336","24","0.8565197631307789","-5.569138385718908","projects\shikiho_text_parser\output\macro_gate_search\m0p00_w0p20"
"-0.2","0","2909812.5000000005","-3.006249999999988","63.33333333333333","30","0.557391414231217","-5.910951426066379","projects\shikiho_text_parser\output\macro_gate_search\mn0p20_w0p00"
"-0.2","0.06","2909812.5000000005","-3.006249999999988","63.33333333333333","30","0.557391414231217","-5.910951426066379","projects\shikiho_text_parser\output\macro_gate_search\mn0p20_w0p06"
"-0.2","0.12","2908012.5000000005","-3.0662499999999815","62.06896551724138","29","0.5021885877807428","-5.914393790247264","projects\shikiho_text_parser\output\macro_gate_search\mn0p20_w0p12"
"-0.2","0.2","2908012.5000000005","-3.0662499999999815","62.06896551724138","29","0.5021885877807428","-5.914393790247264","projects\shikiho_text_parser\output\macro_gate_search\mn0p20_w0p20"
"-0.1","0","2899240.0000000005","-3.3586666666666543","58.333333333333336","24","0.5608013663870698","-5.931228084747686","projects\shikiho_text_parser\output\macro_gate_search\mn0p10_w0p00"
"-0.1","0.06","2899240.0000000005","-3.3586666666666543","58.333333333333336","24","0.5608013663870698","-5.931228084747686","projects\shikiho_text_parser\output\macro_gate_search\mn0p10_w0p06"
"-0.1","0.12","2897440.0000000005","-3.4186666666666476","56.52173913043478","23","0.49134606139107384","-5.934694113418971","projects\shikiho_text_parser\output\macro_gate_search\mn0p10_w0p12"
"-0.1","0.2","2897440.0000000005","-3.4186666666666476","56.52173913043478","23","0.49134606139107384","-5.934694113418971","projects\shikiho_text_parser\output\macro_gate_search\mn0p10_w0p20"
