metric,top10_mean,bottom10_mean,diff_top_minus_bottom
actual_signal_count_oct_dec,52.7,15.3,37.400000000000006
persistence_20d_pct,81.0,57.0,24.0
positive_month_ratio_pct,78.33333333333334,65.66666666666667,12.666666666666671
ocr_pbr,10.686,9.795,0.891
ocr_roa,10.686,9.795,0.891
ocr_yield,10.686,9.795,0.891
ocr_roe,26.3,25.766000000000002,0.5339999999999989
sector_adjusted_per_score,0.5350608664518439,0.38116226541964665,0.15389860103219727
finance_quality_score,0.5382333333333333,0.39117619047619046,0.1470571428571429
score,0.8613295238095239,0.7987390476190477,0.0625904761904762
trend_r2,0.8338003355203158,0.7962509704542983,0.03754936506601758
growth_quality_score,0.8796809523809523,0.8433380952380952,0.03634285714285712
max_drawdown_pct,21.120116817321385,32.090930420951636,-10.970813603630251
ocr_per,16.240000000000002,28.68,-12.439999999999998
quarter_return_pct,34.25014398310831,54.96319245936745,-20.71304847625914
annual_return_pct,68.49729278178617,284.6179155388503,-216.12062275706413
