sector,ticker,entry_date,exit_date,entry_price,exit_price,return_pct,exit_reason
海運業,9110,2022-06-01,2022-06-10,4515.0,3950.0,-12.513842746400886,stop_loss
ガラス・土石製品,5344,2022-06-02,2022-06-17,15880.0,14440.0,-9.06801007556675,ma_signal
保険業,7181,2022-06-17,2022-09-01,2207.0,2107.0,-4.531037607612143,ma_signal
ゴム製品,5122,2022-06-01,2022-10-04,3905.0,3540.0,-9.346991037131883,stop_loss
電気・ガス業,9533,2022-05-25,2022-11-10,2867.0,2595.0,-9.487268922218346,ma_signal
小売業,9983,2022-09-01,2022-11-30,26920.0,26936.666015625,0.06190941911218425,ma_signal
ゴム製品,5122,2022-11-30,2023-01-06,3850.0,3650.0,-5.194805194805195,ma_signal
鉱業,1663,2022-10-04,2023-01-17,1698.0,1979.0,16.548881036513546,ma_signal
銀行業,8354,2023-01-06,2023-03-15,2948.0,2643.0,-10.345997286295795,stop_loss
海運業,9110,2023-01-17,2023-05-10,3785.0,3605.0,-4.7556142668428,ma_signal
電気機器,6861,2023-03-15,2023-08-08,58420.0,60440.0,3.457719958918179,ma_signal
医薬品,4523,2023-08-08,2023-08-09,9327.0,9458.0,1.4045244987670205,ma_signal
医薬品,4523,2023-08-15,2023-09-22,9535.0,8479.0,-11.074986890403775,stop_loss
水産・農林業,1377,2023-09-22,2023-10-31,4395.0,4045.0,-7.963594994311718,stop_loss
鉄鋼,5444,2022-11-10,2024-05-10,4735.0,8606.0,81.75290390707497,ma_signal
小売業,9983,2023-10-31,2024-05-15,33020.0,40750.0,23.410054512416718,ma_signal
鉄鋼,5444,2024-05-22,2024-06-25,8250.0,7894.0,-4.3151515151515145,ma_signal
サービス業,6098,2024-07-10,2024-07-26,9484.0,8027.0,-15.362716153521722,stop_loss
医薬品,4523,2024-05-31,2024-07-30,6753.0,5870.0,-13.075670072560344,stop_loss
ガラス・土石製品,5344,2024-05-10,2024-08-06,34600.0,34250.0,-1.0115606936416186,stop_loss
倉庫・運輸関連業,9311,2024-08-30,2024-09-03,6200.0,5980.0,-3.5483870967741935,ma_signal
海運業,9104,2024-09-10,2024-09-12,4688.0,4683.0,-0.10665529010238908,ma_signal
海運業,9104,2024-09-16,2024-09-20,4802.0,5000.0,4.123281965847563,ma_signal
化学,4957,2023-05-10,2024-10-04,627669696.0,854295232.0,36.10585909184948,ma_signal
非鉄金属,5805,2024-10-10,2024-10-24,5700.0,5120.0,-10.175438596491228,stop_loss
精密機器,7741,2024-10-31,2024-11-04,20725.0,20825.0,0.48250904704463204,ma_signal
小売業,9983,2024-08-26,2025-01-30,46360.0,50650.0,9.253666954270923,ma_signal
建設業,1949,2024-09-24,2025-03-10,4357629952.0,4556895744.0,4.572802055129623,ma_signal
水産・農林業,1301,2025-02-04,2025-04-08,4240.0,3920.0,-7.547169811320755,stop_loss
化学,4957,2024-11-05,2025-04-08,1000237312.0,995491200.0,-0.47449859578923603,stop_loss
倉庫・運輸関連業,9311,2024-09-10,2025-04-09,5880.0,5450.0,-7.312925170068027,ma_signal
輸送用機器,7309,2025-03-13,2025-04-25,21595.0,20055.0,-7.13128038897893,stop_loss
建設業,1949,2025-04-18,2025-04-28,5186156032.0,5506030592.0,6.167854534770774,ma_signal
輸送用機器,7309,2025-05-09,2025-07-31,20050.0,16575.0,-17.331670822942645,stop_loss
不動産業,2992,2025-04-17,2025-11-12,11460.0,11460.0,0.0,ma_signal
